Metagenome	Bin Name	Completeness	Contamination	Domain	Phylum	Class	Order	Family	Genus	Species	BinContigLenSum	gcMean
C2	bin.018	10.66	0	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	FEN-1251		317573	64
C2	bin.019	75.18	15.45	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae			1626507	62
C2	bin.020	1.22	0	NA	NA	NA	NA	NA	NA	NA	206237	23
C2	bin.021	4.17	0	NA	NA	NA	NA	NA	NA	NA	51116	61
C2	bin.022	91.84	2.61	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Palsa-89		5366756	61
C2	bin.023	0	0	NA	NA	NA	NA	NA	NA	NA	437424	39
C2	bin.024	12.07	0	NA	NA	NA	NA	NA	NA	NA	109752	41
C2	bin.025	65.26	31.45	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	Rhizomicrobium		1959653	61
C2	bin.026	0	0	NA	NA	NA	NA	NA	NA	NA	228046	58
C2	bin.027	20.83	0	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	FEN-1191		257414	64
C2	bin.028	46.69	13.59	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	VBCK01		1017128	66
C2	bin.029	29.96	0	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	PALSA-1337	PALSA-1337		185174	52
C2	bin.030	93.54	6.35	Bacteria	Firmicutes_C	Negativicutes	Sporomusales	UPPP01			3702316	47
C2	bin.031	80.7	13.07	Bacteria	Firmicutes_C	Negativicutes	Propionisporales	Propionisporaceae			2804264	37
C2	bin.032	36.21	1.72	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Rhabdochlamydiaceae	CAJCIW01		496329	43
C2	bin.033	62.18	0.99	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		828550	52
C2	bin.034	81.25	2.95	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E		2486689	65
C2	bin.035	0.31	0	NA	NA	NA	NA	NA	NA	NA	312699	45
C2	bin.036	61.08	1.44	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae			1182774	62
C2	bin.037	47.55	4.27	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		549133	51
C2	bin.038	0	0	NA	NA	NA	NA	NA	NA	NA	77120	56
C2	bin.039	0	0	NA	NA	NA	NA	NA	NA	NA	263195	60
C2	bin.040	0	0	NA	NA	NA	NA	NA	NA	NA	125651	69
C2	bin.041	7.26	0	NA	NA	NA	NA	NA	NA	NA	441527	62
C2	bin.042	0	0	NA	NA	NA	NA	NA	NA	NA	127582	30
C2	bin.043	29.32	0	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20			285055	49
C2	bin.044	70.69	9.48	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Palsa-343		4162789	62
C2	bin.045	57.16	2.59	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	CAIVDV01		4511306	59
C2	bin.046	89.86	2.03	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	UBA11358	UBA11358		2869705	54
C2	bin.047	99.84	2318.34	NA	NA	NA	NA	NA	NA	NA	151005832	58
C2	bin.048	0	0	NA	NA	NA	NA	NA	NA	NA	238261	48
C2	bin.049	1.73	0	NA	NA	NA	NA	NA	NA	NA	149981	33
C2	bin.050	90.79	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	BGMRC-2031		5486325	53
C2	bin.051	98.25	4.84	Bacteria	Firmicutes	Bacilli	Bacillales_B	DSM-18226	Neobacillus		4517051	39
C2	bin.052	98.44	2.16	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		4300849	63
C2	bin.053	63.66	1.1	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		860642	52
C2	bin.054	1.65	0	NA	NA	NA	NA	NA	NA	NA	365464	48
C2	bin.055	57.66	0	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		882058	51
C2	bin.056	61.51	0.57	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		876203	52
C2	bin.057	43.49	0.56	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella		1323330	65
C2	bin.058	12.5	0	Bacteria	Proteobacteria	Gammaproteobacteria	LLD-282	LLD-282			2257743	36
C2	bin.059	84.07	69.86	Bacteria	Proteobacteria	Alphaproteobacteria	ATCC43930	Stellaceae			3530168	63
C2	bin.060	81.18	1.75	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae			2769723	58
C2	bin.061	80.46	0	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	UBA6065			601555	51
C2	bin.062	70.5	47.02	Bacteria	Bacteroidota	Bacteroidia	AKYH767	Palsa-948	JABEUT01		2816105	39
C2	bin.063	0	0	NA	NA	NA	NA	NA	NA	NA	204174	31
C2	bin.064	66.86	1.12	Bacteria	Elusimicrobiota	Elusimicrobia	UBA1565	UBA9628	GWA2-66-18		1806839	68
C2	bin.065	0	0	NA	NA	NA	NA	NA	NA	NA	260841	51
C2	bin.066	0	0	NA	NA	NA	NA	NA	NA	NA	530803	61
C2	bin.067	89.24	0.47	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	UBA11358	UBA11358		2048041	54
C2	bin.068	19.36	0	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Bog-1198		1289938	65
C2	bin.069	73.61	0.93	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	UBA4665	UBA5150		1048499	45
C2	bin.070	0	0	NA	NA	NA	NA	NA	NA	NA	216371	49
C2	bin.071	81.54	0	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Rhabdochlamydiaceae	PALSA-1444		1756559	44
C2	bin.072	40.42	1.08	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	UBA2163	UBA10103		306525	54
C2	bin.073	74.53	0	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20			792132	54
C2	bin.074	65.28	2.93	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		2577173	62
C2	bin.075	92.63	3.82	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	BOG-931		3819641	61
C2	bin.076	38.28	3.45	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia		5312929	62
C2	bin.077	85.39	0.91	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Silvibacterium		5159012	60
C2	bin.078	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae			359944	64
C2	bin.079	76.75	66.27	Bacteria	Patescibacteria	Microgenomatia	Levybacterales	UBA12049	JACDET01		1785297	36
C2	bin.080	0	0	NA	NA	NA	NA	NA	NA	NA	353766	58
C2	bin.081	73.56	33.84	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		1047230	50
C2	bin.082	4.17	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
C2	bin.083	0	0	NA	NA	NA	NA	NA	NA	NA	499497	58
C2	bin.084	65.2	39.7	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	UBA2163	UBA10103		1000299	55
C2	bin.085	0	0	NA	NA	NA	NA	NA	NA	NA	367226	59
C2	bin.086	78.97	1.87	Archaea	Micrarchaeota	Micrarchaeia	Micrarchaeales	Micrarchaeaceae	UBA12276		1007921	52
C2	bin.087	4.17	0	NA	NA	NA	NA	NA	NA	NA	281533	54
C2	bin.088	62.79	0	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	UBA2163	UBA10103		954136	55
C2	bin.089	64.33	23.41	Bacteria	Acidobacteriota	Acidobacteriae	UBA7541	UBA7541	Palsa-295		2379332	58
C2	bin.090	0.31	0	NA	NA	NA	NA	NA	NA	NA	308271	53
C2	bin.091	86.64	9.25	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Bog-1198		3652242	64
C2	bin.092	0	0	NA	NA	NA	NA	NA	NA	NA	310192	45
C2	bin.093	44.21	0.89	Bacteria	Bdellovibrionota	Bdellovibrionia_A	UBA1018	UBA1018			622792	48
C2	bin.094	56.93	0.36	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SXRF01	JABCZZ01		851341	56
C2	bin.095	76.21	0	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dyella		4244067	59
C2	bin.096	64.53	2.82	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	BOG-931		2456066	63
C2	bin.097	10.34	0	NA	NA	NA	NA	NA	NA	NA	167908	55
C2	bin.098	9.21	0.09	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	UBA2999	Gp6-AA45		26528	66
C2	bin.099	76.09	36.84	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Palsa-1447		3849657	65
C2	bin.100	61.21	1.72	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	PKWO01		4834838	59
C2	bin.101	97.4	2.03	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae			3894420	46
C2	bin.102	0	0	NA	NA	NA	NA	NA	NA	NA	203060	59
C2	bin.103	55.58	0	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		815139	54
C2	bin.104	85.65	4.89	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		4318288	59
C2	bin.105	0	0	NA	NA	NA	NA	NA	NA	NA	219660	64
C2	bin.106	68.97	3.37	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		798222	47
C2	bin.107	0	0	NA	NA	NA	NA	NA	NA	NA	232636	63
C2	bin.108	95.08	1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae			5714287	64
C2	bin.109	85.88	6.23	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Fen-1231		3599760	63
C2	bin.110	49.37	10.34	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae			2869620	65
C2	bin.111	94.17	10.44	Bacteria	Proteobacteria	Alphaproteobacteria	ATCC43930	Stellaceae	Aliidongia		6615335	66
C2	bin.112	60.25	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Rahnella	Rahnella chamberiensis_A	2329658	52
C2	bin.113	0	0	NA	NA	NA	NA	NA	NA	NA	118833	40
C2	bin.114	2.44	0	NA	NA	NA	NA	NA	NA	NA	575694	50
C2	bin.115	0	0	NA	NA	NA	NA	NA	NA	NA	359293	34
C2	bin.116	58.25	2.5	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium		1658401	64
C2	bin.117	0	0	NA	NA	NA	NA	NA	NA	NA	247111	57
C2	bin.118	0	0	NA	NA	NA	NA	NA	NA	NA	301053	53
C2	bin.119	25.44	1.75	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae			170350	36
C2	bin.120	59.12	13.51	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Palsa-1447		2500901	65
C2	bin.121	34.92	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Roseiarcus		959490	63
C2	bin.122	62.87	1.71	Bacteria	Patescibacteria	Microgenomatia	Levybacterales	UBA12049	JACDET01		1596750	37
C2	bin.123	97.95	0	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	CAITEC01		2287052	62
C2	bin.124	91.87	1.71	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Palsa-343		5093738	61
C2	bin.125	0	0	NA	NA	NA	NA	NA	NA	NA	250442	62
C2	bin.126	0	0	NA	NA	NA	NA	NA	NA	NA	294470	54
C2	bin.127	26.52	6.03	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae			331662	67
C2	bin.128	81	0.93	Archaea	Micrarchaeota	Micrarchaeia	Micrarchaeales	Micrarchaeaceae	UBA12276		1037696	49
C2	bin.129	0	0	NA	NA	NA	NA	NA	NA	NA	340438	44
C2	bin.130	1.83	0	NA	NA	NA	NA	NA	NA	NA	283971	47
C2	bin.131	0	0	NA	NA	NA	NA	NA	NA	NA	162736	61
C2	bin.132	0	0	NA	NA	NA	NA	NA	NA	NA	289621	25
C2	bin.133	0	0	NA	NA	NA	NA	NA	NA	NA	16988	62
C2	bin.134	21.16	7.76	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales				633934	67
C2	bin.135	19.12	0	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	PALSA-1152		228634	69
C2	bin.136	33.62	0	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia phenazinium_B	4509338	61
C2	bin.137	74.29	0	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter		5719770	41
C2	bin.138	89.97	133.4	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Bog-1198		12817030	61
C2	bin.139	95.01	1.71	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Koribacteraceae	JABCZH01		5812021	56
C2	bin.140	98.62	5.78	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae			4539601	34
C2	bin.141	0	0	NA	NA	NA	NA	NA	NA	NA	353786	57
C2	bin.142	81.34	45.05	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae			4340679	60
C2	bin.143	0	0	NA	NA	NA	NA	NA	NA	NA	5743	68
B1	bin.001	100	693.32	NA	NA	NA	NA	NA	NA	NA	29091175	58
B1	bin.002	67.22	1.72	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	UBA6065			524458	52
B1	bin.003	0	0	NA	NA	NA	NA	NA	NA	NA	400370	61
B1	bin.004	29.39	3.45	Bacteria	Bacteroidota	Bacteroidia	AKYH767	Palsa-948	JABEUT01		76135	37
B1	bin.005	0	0	NA	NA	NA	NA	NA	NA	NA	28849	63
B1	bin.006	51.91	6.93	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		502076	52
B1	bin.007	58.22	1.32	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		730648	52
B1	bin.008	64.18	21.69	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	BOG-931		651006	61
B1	bin.009	0	0	NA	NA	NA	NA	NA	NA	NA	216371	49
B1	bin.010	55.07	12.57	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	UBA2163	UBA10103		364639	54
B1	bin.011	37.23	0.86	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Collimonas		979920	59
B1	bin.012	57.83	26.01	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae			1762919	60
B1	bin.013	0	0	NA	NA	NA	NA	NA	NA	NA	236900	61
B1	bin.014	22.81	1.75	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Palsa-1447		383692	67
B1	bin.015	88.98	20.95	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	UBA11358	UBA11358		2854704	54
B1	bin.016	28.22	0	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20			279335	47
B1	bin.017	25.16	0	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella		163447	65
B1	bin.018	95.85	1.29	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		4386541	62
B1	bin.019	9.48	0	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	Rhizomicrobium		NA	NA
B1	bin.020	51.95	2.28	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae			1218009	59
B1	bin.021	18.34	0	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	UBA11358	UBA11358		424450	53
B2	bin.001	24.14	0	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	UBA11358	PLZL01		232828	54
B2	bin.002	20.95	0	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	SG8-39	RBG-16-66-20		124581	65
B2	bin.003	0	0	NA	NA	NA	NA	NA	NA	NA	146810	62
B2	bin.004	13.79	0	NA	NA	NA	NA	NA	NA	NA	230550	65
B2	bin.005	0	0	NA	NA	NA	NA	NA	NA	NA	160154	63
B2	bin.006	52.53	2.38	Bacteria	Bacteroidota	Bacteroidia	AKYH767	Palsa-948	JABEUT01		717231	39
B2	bin.007	62.54	27.59	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	Elsteraceae			4674284	68
B2	bin.008	0	0	NA	NA	NA	NA	NA	NA	NA	33774	63
B2	bin.009	0	0	NA	NA	NA	NA	NA	NA	NA	800982	54
B2	bin.010	50.89	45.78	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20			1247495	51
B2	bin.011	16.38	0	NA	NA	NA	NA	NA	NA	NA	41117	60
B2	bin.012	91.78	3.24	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Collimonas		4884450	60
B2	bin.013	80.46	0	Bacteria	Patescibacteria	Paceibacteria	UBA9983_A	UBA6065			606032	51
B2	bin.014	84.93	1.37	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	CAITEC01		1863504	63
B2	bin.015	83.83	5.48	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Palsa-89		4850605	61
B2	bin.016	1.83	0	NA	NA	NA	NA	NA	NA	NA	285026	47
B2	bin.017	0	0	NA	NA	NA	NA	NA	NA	NA	138166	30
B2	bin.018	25.54	8.12	Bacteria	Eremiobacterota	Eremiobacteria	Baltobacterales	Baltobacteraceae	Lustribacter		179643	63
B2	bin.019	0	0	NA	NA	NA	NA	NA	NA	NA	234673	30
B2	bin.020	98.44	2.16	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		4396232	63
B2	bin.021	64.81	4.46	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	UBA4665	PMNU01		1548596	49
B2	bin.022	47.57	0	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae			5291034	62
B2	bin.023	50.89	3.68	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae			891049	62
B2	bin.024	41.38	0	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Bog-1198		1651863	61
B2	bin.025	0	0	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Palsa-343		735991	62
B2	bin.026	21.86	1.98	Bacteria	Patescibacteria	Paceibacteria	Paceibacterales	Staskawiczbacteraceae	2-02-FULL-43-16		46003	42
B2	bin.027	57.71	0.03	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Rhabdochlamydiaceae	JABDFI01		546489	50
B2	bin.028	8.93	0	NA	NA	NA	NA	NA	NA	NA	471336	34
B2	bin.029	62.29	2.16	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	UBA4665	UBA5150		962689	45
B2	bin.030	92.41	2.59	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium		3328393	41
B2	bin.031	20.68	0	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae			168055	40
B2	bin.032	93.97	76.23	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		15225398	57
B2	bin.033	28.07	0	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Palsa-1447		240012	64
B2	bin.034	4.17	0	NA	NA	NA	NA	NA	NA	NA	200872	62
B2	bin.035	80.54	7.02	Bacteria	Dependentiae	Babeliae	Babeliales				807762	35
B2	bin.036	0.9	0	NA	NA	NA	NA	NA	NA	NA	147707	39
B2	bin.037	32.39	0	Bacteria	Patescibacteria	Microgenomatia	Levybacterales	UBA12049	JACDET01		632608	37
B2	bin.038	8.33	0	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales				330779	66
B2	bin.039	0	0	NA	NA	NA	NA	NA	NA	NA	269659	38
B2	bin.040	0	0	NA	NA	NA	NA	NA	NA	NA	625317	47
B2	bin.041	38.6	0	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae			855570	60
B2	bin.042	99.84	1208.48	NA	NA	NA	NA	NA	NA	NA	77342142	58
B2	bin.043	64.62	0.86	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae			1295907	62
B2	bin.044	58.52	0.85	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	CAJAQL01		931206	51
B2	bin.045	52.71	34.87	Bacteria	Patescibacteria	Microgenomatia	Levybacterales	UBA12049			3261521	35
B2	bin.046	0	0	NA	NA	NA	NA	NA	NA	NA	347700	36
B2	bin.047	0	0	NA	NA	NA	NA	NA	NA	NA	170722	61
B2	bin.048	42.4	5.17	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	UBA4665	PMNU01		360082	52
B2	bin.049	70.82	3.33	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	Rhizomicrobium		2933075	62
B2	bin.050	0	0	NA	NA	NA	NA	NA	NA	NA	216371	49
B2	bin.051	72.03	6.78	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Methylacidiphilales	UBA1321	JABDGH01		2219984	58
B2	bin.052	93.01	72.99	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Palsa-343		9625335	61
B2	bin.053	56.71	21.75	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	UBA4665	CAJCIR01		617921	41
B2	bin.054	78.81	2.59	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		3251551	62
B2	bin.055	89.08	2.77	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Palsa-1447		2779932	67
