bin	Marker Lineage	# Genomes	# Markers	# Marker Sets	0	1	2	3	4	5	Completeness	Contamination	user_genome	Domain	Phylum	Class	Order	Family	Genus	Species	bin_length	bin_%GC	contig_count	min_contig_length
bin.358	k__Bacteria	2258	188	117	90	98	0	0	0	0	66.56	0	id357	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Silvibacterium	Silvibacterium sp013289875	3820072	58	196	10k
bin.030	k__Bacteria	2258	187	116	111	73	3	0	0	0	43.14	1.72	id29	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Silvibacterium		2056525	59	264	2.5k
bin.398	k__Bacteria	5449	104	58	92	11	1	0	0	0	11.99	1.72	id397	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Silvibacterium		1776974	59	245	2.5k
bin.325	k__Bacteria	2258	188	117	152	36	0	0	0	0	12.46	0	id324	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Silvibacterium		557473	59	41	10k
bin.046	k__Bacteria	5449	104	58	2	72	30	0	0	0	98.28	9.48	id45	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		8354268	58	129	2.5k
bin.069	k__Bacteria	2258	187	116	102	83	2	0	0	0	41.74	1.72	id68	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		2109662	58	271	2.5k
bin.158	k__Bacteria	5449	104	58	80	24	0	0	0	0	32.07	0	id157	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		1357215	64	179	2.5k
bin.176	k__Bacteria	2258	187	116	5	180	2	0	0	0	97.2	0.22	id175	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		4119809	58	126	2.5k
bin.188	k__Bacteria	2258	187	116	97	89	1	0	0	0	50.54	0.86	id187	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		2914104	59	346	2.5k
bin.216	k__Bacteria	2258	187	116	15	153	19	0	0	0	89.66	14.18	id215	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		10088241	58	518	2.5k
bin.230	k__Bacteria	2258	187	116	6	169	12	0	0	0	95.47	4.66	id229	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		4568995	58	120	2.5k
bin.233	k__Bacteria	5449	104	58	82	21	1	0	0	0	32.18	0.86	id232	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		1665833	60	212	2.5k
bin.237	k__Bacteria	2258	187	116	9	158	19	1	0	0	94.13	15.57	id236	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		9980966	57	732	2.5k
bin.243	k__Bacteria	2258	187	116	62	118	7	0	0	0	65.11	2.46	id242	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		3962679	60	388	2.5k
bin.284	k__Bacteria	5449	104	58	3	22	53	25	1	0	94.83	89.12	id283	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		11080817	59	794	2.5k
bin.300	k__Bacteria	5449	104	58	88	16	0	0	0	0	15.52	0	id299	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		477754	62	70	2.5k
bin.328	k__Bacteria	2258	187	116	91	91	5	0	0	0	65.87	2.59	id327	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		7013008	59	662	2.5k
bin.350	k__Bacteria	2258	187	116	95	88	4	0	0	0	44.02	1.72	id349	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		1921013	57	221	2.5k
bin.351	k__Bacteria	2258	187	116	111	75	1	0	0	0	46.52	0.86	id350	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		2485738	60	291	2.5k
bin.353	root	5656	56	24	53	3	0	0	0	0	12.5	0	id352	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		547593	58	74	2.5k
bin.380	k__Bacteria	5449	104	58	91	12	1	0	0	0	9.72	1.72	id379	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		252102	59	39	2.5k
bin.393	k__Bacteria	2258	187	116	30	154	3	0	0	0	97.63	2.59	id392	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		5513829	61	36	2.5k
bin.429	k__Bacteria	5449	104	58	73	31	0	0	0	0	40.1	0	id428	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		1618818	61	211	2.5k
bin.085	k__Bacteria	5449	104	58	96	8	0	0	0	0	12.93	0	id84	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		464313	60	36	10k
bin.092	k__Bacteria	5449	104	58	2	71	31	0	0	0	98.28	11.21	id91	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		8325231	58	107	10k
bin.097	k__Bacteria	2258	187	116	36	150	1	0	0	0	92.46	0.86	id96	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		5218641	61	25	10k
bin.119	k__Bacteria	2258	187	116	18	168	1	0	0	0	94.95	0.17	id118	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		4026064	58	112	10k
bin.132	k__Bacteria	2258	187	116	60	116	11	0	0	0	85.49	9.48	id131	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		7003962	57	291	10k
bin.158	k__Bacteria	5449	104	58	81	23	0	0	0	0	25.39	0	id157	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		2014941	60	130	10k
bin.198	k__Bacteria	2258	187	116	18	161	8	0	0	0	86.42	5.34	id197	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		8240664	58	291	10k
bin.246	k__Bacteria	2258	187	116	6	174	7	0	0	0	95.47	2.78	id245	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		4411621	58	73	10k
bin.255	k__Bacteria	5449	104	58	91	13	0	0	0	0	17.24	0	id254	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		1146536	59	86	10k
bin.265	k__Bacteria	5449	104	58	81	23	0	0	0	0	31.03	0	id264	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		4018767	59	238	10k
bin.278	k__Bacteria	5449	104	58	88	16	0	0	0	0	19.75	0	id277	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		776364	60	57	10k
bin.374	k__Bacteria	5449	104	58	65	37	2	0	0	0	53.33	3.45	id373	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		2992817	59	160	10k
bin.380	k__Bacteria	2258	187	116	58	123	6	0	0	0	78.04	4.31	id379	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terracidiphilus		6135034	57	270	10k
bin.100	k__Bacteria	2258	187	116	36	148	3	0	0	0	92.47	1.34	id99	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	UBA5172		3113568	59	163	2.5k
bin.410	k__Bacteria	2258	187	116	73	113	1	0	0	0	76.65	0.86	id409	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	UBA5172		2743915	58	141	2.5k
bin.079	k__Bacteria	2258	187	116	55	130	2	0	0	0	82.13	0.48	id78	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	UBA5172		2853767	59	117	10k
bin.268	k__Bacteria	2258	187	116	91	94	2	0	0	0	63.58	1.72	id267	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	UBA5172		2253376	58	68	10k
bin.301	k__Bacteria	5449	104	58	86	17	1	0	0	0	27.59	1.72	id300	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae			909978	62	118	2.5k
bin.340	k__Bacteria	2258	187	116	28	158	1	0	0	0	96.56	0.29	id339	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae			2403746	62	47	2.5k
bin.033	k__Bacteria	2258	187	116	32	155	0	0	0	0	94.26	0	id32	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae			2381809	62	44	10k
bin.452	k__Bacteria	5449	104	58	90	14	0	0	0	0	22.41	0	id451	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	DSPA01	DSPA01		447428	57	60	2.5k
bin.463	k__Bacteria	2258	188	117	55	111	22	0	0	0	73.5	11.3	id462	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	SbA1	JABCYV01		4106607	57	326	2.5k
bin.109	k__Bacteria	2258	188	117	73	105	10	0	0	0	64.32	6.84	id108	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	SbA1	JABCYV01		5308060	56	293	10k
bin.202	k__Bacteria	2258	188	117	14	167	7	0	0	0	94.89	4.7	id201	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	SbA1	JABCZH01		5152567	57	265	2.5k
bin.320	k__Bacteria	5449	104	58	2	55	47	0	0	0	98.28	28.45	id319	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	SbA1	JABCZH01		7403911	57	326	2.5k
bin.347	k__Bacteria	2258	188	117	67	115	6	0	0	0	78.25	5.13	id346	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	SbA1	JABCZH01		3750963	58	125	2.5k
bin.105	k__Bacteria	2258	188	117	48	139	1	0	0	0	76.01	0.85	id104	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	SbA1	JABCZH01		2695154	58	61	10k
bin.230	k__Bacteria	5449	104	58	15	67	22	0	0	0	93.1	15.52	id229	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	SbA1	JABCZH01		6528099	57	189	10k
bin.324	k__Bacteria	2258	188	117	43	140	5	0	0	0	75.8	2.99	id323	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	SbA1	JABCZH01		4559633	57	184	10k
bin.114	k__Bacteria	5449	104	58	15	65	20	4	0	0	87.7	19.78	id113	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	SbA1	JABDBE01		6893590	57	453	2.5k
bin.251	k__Bacteria	2258	188	117	57	131	0	0	0	0	77.67	0	id250	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	SbA1	JABDBE01		5240658	57	247	10k
bin.185	k__Bacteria	5449	104	58	44	39	21	0	0	0	55.17	4.37	id184	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	SbA1	Sulfotelmatobacter		3531498	55	317	2.5k
bin.270	k__Bacteria	2258	188	117	85	86	15	2	0	0	53.7	12.61	id269	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	SbA1	Sulfotelmatobacter		3008872	58	375	2.5k
bin.376	k__Bacteria	5449	104	58	93	11	0	0	0	0	13.79	0	id375	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	SbA1	Sulfotelmatobacter		589365	56	83	2.5k
bin.031	k__Bacteria	5449	104	58	55	29	20	0	0	0	39.66	3.51	id30	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	SbA1	Sulfotelmatobacter		2383822	55	144	10k
bin.088	k__Bacteria	2258	188	117	146	41	1	0	0	0	14.81	0.85	id87	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	SbA1	Sulfotelmatobacter		880158	58	59	10k
bin.034	k__Bacteria	2258	188	117	121	59	7	1	0	0	36.47	5.77	id33	Bacteria	Acidobacteriota	Acidobacteriae	Acidoferrales	UBA7541	Acidoferrum	Acidoferrum sp013289835	2202579	58	309	2.5k
bin.105	k__Bacteria	2258	188	117	16	170	2	0	0	0	94.23	1.71	id104	Bacteria	Acidobacteriota	Acidobacteriae	Acidoferrales	UBA7541	Acidoferrum		5302393	58	83	2.5k
bin.163	k__Bacteria	5449	104	58	86	18	0	0	0	0	25.86	0	id162	Bacteria	Acidobacteriota	Acidobacteriae	Acidoferrales	UBA7541	Acidoferrum		2246899	58	260	2.5k
bin.259	k__Bacteria	5449	104	58	53	51	0	0	0	0	68.97	0	id258	Bacteria	Acidobacteriota	Acidobacteriae	Acidoferrales	UBA7541	Acidoferrum		4845605	58	442	2.5k
bin.384	k__Bacteria	5449	104	58	2	28	28	18	15	13	98.28	221.58	id383	Bacteria	Acidobacteriota	Acidobacteriae	Acidoferrales	UBA7541	Acidoferrum		22071582	58	2527	2.5k
bin.426	k__Bacteria	5449	104	58	83	21	0	0	0	0	29.31	0	id425	Bacteria	Acidobacteriota	Acidobacteriae	Acidoferrales	UBA7541	Acidoferrum		2367454	57	309	2.5k
bin.196	k__Bacteria	5449	104	58	34	29	27	14	0	0	86.21	66.38	id195	Bacteria	Acidobacteriota	Acidobacteriae	Acidoferrales	UBA7541	Acidoferrum		6229290	58	386	10k
bin.267	k__Bacteria	5449	104	58	81	23	0	0	0	0	31.03	0	id266	Bacteria	Acidobacteriota	Acidobacteriae	Acidoferrales	UBA7541	Acidoferrum		3192449	58	199	10k
bin.384	k__Bacteria	2258	188	117	16	171	1	0	0	0	94.23	0.85	id383	Bacteria	Acidobacteriota	Acidobacteriae	Acidoferrales	UBA7541	Acidoferrum		5212654	58	60	10k
bin.397	k__Bacteria	2258	188	117	7	179	2	0	0	0	94.87	1.71	id396	Bacteria	Acidobacteriota	Acidobacteriae	Acidoferrales	UBA7541	Palsa-295		3011734	60	36	2.5k
bin.074	k__Bacteria	2258	188	117	7	179	2	0	0	0	94.87	1.71	id73	Bacteria	Acidobacteriota	Acidobacteriae	Acidoferrales	UBA7541	Palsa-295		3011235	60	35	10k
bin.053	k__Bacteria	5449	104	58	91	13	0	0	0	0	22.41	0	id52	Bacteria	Acidobacteriota	Acidobacteriae	Acidoferrales	UBA7541	Palsa-360		1329970	60	184	2.5k
bin.175	k__Bacteria	2258	188	117	39	146	3	0	0	0	87.39	2.56	id174	Bacteria	Acidobacteriota	Acidobacteriae	Acidoferrales	UBA7541	Palsa-360		5753683	58	352	2.5k
bin.135	k__Bacteria	2258	188	117	67	111	10	0	0	0	69.94	3.23	id134	Bacteria	Acidobacteriota	Acidobacteriae	Acidoferrales	UBA7541	Palsa-360		4382958	58	184	10k
bin.460	k__Bacteria	5449	104	58	84	20	0	0	0	0	22.88	0	id459	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Palsa-89		3082727	58	395	2.5k
bin.497	k__Bacteria	2258	185	115	6	176	3	0	0	0	94.78	1.74	id496	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Palsa-89		6224671	61	34	2.5k
bin.044	k__Bacteria	2258	185	115	5	177	3	0	0	0	95.65	1.74	id43	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Palsa-89		5884205	61	23	10k
bin.206	k__Bacteria	2258	188	117	64	117	7	0	0	0	76.57	5.34	id205	Bacteria	Acidobacteriota	Blastocatellia	UBA7656	UBA7656			9020328	57	716	2.5k
bin.194	k__Bacteria	2258	188	117	99	85	4	0	0	0	54.9	2.78	id193	Bacteria	Acidobacteriota	Blastocatellia	UBA7656	UBA7656			6100334	57	343	10k
bin.268	k__Bacteria	2258	188	117	60	123	5	0	0	0	61.37	3.42	id267	Bacteria	Acidobacteriota	Thermoanaerobaculia	UBA5704	UBA5704			5274845	70	589	2.5k
bin.320	root	5656	56	24	56	0	0	0	0	0	0	0	id319	Bacteria	Acidobacteriota	Thermoanaerobaculia	UBA5704	UBA5704			2284284	70	155	10k
bin.205	k__Bacteria	901	171	117	80	83	8	0	0	0	53.01	3.93	id204	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	JAFATL01			2740368	68	315	2.5k
bin.182	k__Bacteria	901	171	117	132	38	1	0	0	0	19.14	0.85	id181	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	JAFATL01			1091597	68	77	10k
bin.115	k__Bacteria	901	171	117	129	42	0	0	0	0	18.62	0	id114	Bacteria	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	RAAP-2	Bog-473		723791	66	105	2.5k
bin.224	k__Bacteria	5449	104	58	80	22	2	0	0	0	13.79	0.69	id223	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Palsa-744		1230597	66	160	2.5k
bin.065	k__Bacteria	5449	104	58	91	13	0	0	0	0	13.79	0	id64	Bacteria	Bacteroidota	Bacteroidia	AKYH767	Palsa-948_A	JABEUT01		644844	38	99	2.5k
bin.120	p__Bacteroidetes	350	316	210	97	216	3	0	0	0	77.27	1.05	id119	Bacteria	Bacteroidota	Bacteroidia	AKYH767	Palsa-948_A	JABEUT01		3279024	39	238	2.5k
bin.178	k__Bacteria	5449	104	58	90	14	0	0	0	0	22.41	0	id177	Bacteria	Bacteroidota	Bacteroidia	AKYH767	Palsa-948_A	JABEUT01		671960	40	94	2.5k
bin.221	k__Bacteria	5449	104	58	53	47	4	0	0	0	68.03	6.9	id220	Bacteria	Bacteroidota	Bacteroidia	AKYH767	Palsa-948_A	JABEUT01		2722709	40	275	2.5k
bin.232	k__Bacteria	5449	104	58	97	7	0	0	0	0	10.34	0	id231	Bacteria	Bacteroidota	Bacteroidia	AKYH767	Palsa-948_A	JABEUT01		442630	39	67	2.5k
bin.311	k__Bacteria	5449	104	58	39	30	28	7	0	0	82.79	62.57	id310	Bacteria	Bacteroidota	Bacteroidia	AKYH767	Palsa-948_A	JABEUT01		4908008	39	534	2.5k
bin.345	p__Bacteroidetes	350	316	210	9	304	3	0	0	0	96.1	0.95	id344	Bacteria	Bacteroidota	Bacteroidia	AKYH767	Palsa-948_A	JABEUT01		3588740	40	92	2.5k
bin.106	k__Bacteria	5449	104	58	74	30	0	0	0	0	38.71	0	id105	Bacteria	Bacteroidota	Bacteroidia	AKYH767	Palsa-948_A	JABEUT01		1509582	40	101	10k
bin.110	k__Bacteria	5449	104	58	75	29	0	0	0	0	41.38	0	id109	Bacteria	Bacteroidota	Bacteroidia	AKYH767	Palsa-948_A	JABEUT01		2501599	39	132	10k
bin.141	p__Bacteroidetes	350	316	210	154	115	44	3	0	0	50.95	15.16	id140	Bacteria	Bacteroidota	Bacteroidia	AKYH767	Palsa-948_A	JABEUT01		2131573	39	144	10k
bin.154	p__Bacteroidetes	350	316	210	18	297	1	0	0	0	92.29	0.48	id153	Bacteria	Bacteroidota	Bacteroidia	AKYH767	Palsa-948_A	JABEUT01		3311497	39	65	10k
bin.369	k__Bacteria	5449	104	58	72	32	0	0	0	0	48.28	0	id368	Bacteria	Bacteroidota	Bacteroidia	AKYH767	Palsa-965	Palsa-965		2381833	45	254	2.5k
bin.199	root	5656	56	24	55	1	0	0	0	0	4.17	0	id198	Bacteria	Bacteroidota	Bacteroidia	AKYH767	Palsa-965			1120158	45	80	10k
bin.365	p__Bacteroidetes	364	303	203	99	196	8	0	0	0	71.61	2.76	id364	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter		2611334	35	219	2.5k
bin.256	p__Bacteroidetes	364	303	203	161	140	2	0	0	0	50.64	0.99	id255	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter		1788888	35	104	10k
bin.104	p__Bacteroidetes	364	303	203	53	246	4	0	0	0	83.71	1.23	id103	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium		3575477	41	277	2.5k
bin.023	p__Bacteroidetes	364	303	203	104	196	3	0	0	0	66.34	0.74	id22	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium		2655371	41	148	10k
bin.156	p__Bacteroidetes	350	316	210	23	287	6	0	0	0	95.58	2.3	id155	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter		6116630	41	158	2.5k
bin.421	k__Bacteria	5449	104	58	88	16	0	0	0	0	23.28	0	id420	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter		1846024	40	217	2.5k
bin.458	p__Bacteroidetes	350	316	210	35	273	8	0	0	0	88.31	2.73	id457	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter		3959529	44	221	2.5k
bin.103	p__Bacteroidetes	350	316	210	100	211	5	0	0	0	74.57	1.76	id102	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter		3324229	44	148	10k
bin.290	p__Bacteroidetes	350	316	210	39	274	3	0	0	0	88.68	1.19	id289	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter		5812457	41	116	10k
