Bin Name	Marker Lineage	# Genomes	# Markers	# Marker Sets	0	1	2	3	4	5+	Completeness	Contamination
bin.053	k__Bacteria	5449	104	58	65	28	9	2	0	0	52.23	19.12
bin.054	root	5656	56	24	56	0	0	0	0	0	0.0	0.0
bin.055	root	5656	56	24	55	1	0	0	0	0	4.17	0.0
bin.056	k__Bacteria	88	230	148	50	174	5	1	0	0	82.5	4.73
bin.057	root	5656	56	24	56	0	0	0	0	0	0.0	0.0
bin.058	k__Bacteria	88	230	148	31	194	5	0	0	0	89.56	3.04
bin.059	root	5656	56	24	56	0	0	0	0	0	0.0	0.0
bin.060	k__Bacteria	5449	104	58	53	34	13	3	1	0	69.94	34.83
bin.061	k__Bacteria	5449	104	58	91	12	1	0	0	0	18.45	1.72
bin.062	o__Rhodospirillales	63	336	201	73	234	28	1	0	0	85.42	9.25
bin.063	k__Bacteria	5449	104	58	99	5	0	0	0	0	6.9	0.0
bin.064	p__Bacteroidetes	350	316	210	33	269	14	0	0	0	92.52	4.79
bin.065	k__Archaea	207	149	107	137	12	0	0	0	0	1.1	0.0
bin.066	o__Rhodospirillales	63	336	201	47	289	0	0	0	0	94.66	0.0
bin.067	p__Bacteroidetes	350	316	210	110	197	9	0	0	0	72.2	2.94
bin.068	root	5656	56	24	56	0	0	0	0	0	0.0	0.0
bin.069	root	5656	56	24	56	0	0	0	0	0	0.0	0.0
bin.070	k__Bacteria	5449	104	58	52	32	9	4	7	0	49.53	13.48
bin.071	k__Bacteria	5449	104	58	97	6	1	0	0	0	6.72	1.72
bin.072	k__Bacteria	5449	104	58	68	36	0	0	0	0	51.72	0.0
bin.073	root	5656	56	24	54	2	0	0	0	0	8.33	0.0
bin.074	root	5656	56	24	56	0	0	0	0	0	0.0	0.0
bin.075	k__Bacteria	5449	104	58	71	33	0	0	0	0	46.03	0.0
bin.076	k__Bacteria	5449	104	58	90	14	0	0	0	0	20.69	0.0
bin.077	k__Bacteria	5449	104	58	93	11	0	0	0	0	16.38	0.0
