"User Genome","Classification","FastANI Reference","FastANI Reference Radius","FastANI Taxonomy","FastANI ANI","FastANI Alignment Fraction","Closest Placement Reference","Closest Placement Taxonomy","Closest Placement ANI","Closest Placement Alignment Fraction","Classification Method","Note","Other Related References","MSA AA Percent","RED Value","Warnings"
"bin.023.fa","d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Holophagales;f__Holophagaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","44.59","0.8640580663","-"
"bin.025.fa","d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Palsa-1295;f__Palsa-1295;g__PALSA-1296;s__","-","-","-","-","-","GCA_003151215.1","d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Palsa-1295;f__Palsa-1295;g__PALSA-1296;s__PALSA-1296 sp003151215","78.29","0.32","taxonomic classification defined by topology and ANI","-","-","28.21","0.9254240012","Genome has more than 21.7% of markers with multiple hits"
"bin.026.fa","d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__AG2;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","19.44","0.8536523221","Genome has more than 60.8% of markers with multiple hits"
"bin.027.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA11359_C;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","40.28","0.8039363648","-"
"bin.028.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA6186;f__UBA6186;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","79.59","0.8407739175","-"
"bin.029.fa","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__AP-16;s__","-","-","-","-","-","GCA_005884745.1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__AP-16;s__AP-16 sp005884745","78.46","0.28","taxonomic classification defined by topology and ANI","-","-","52.49","0.9431688947","-"
"bin.030.fa","d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__UBA4664;f__UBA4664;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","23.55","0.8505132843","-"
"bin.031.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Nevskiaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","23.21","0.8970866362","-"
"bin.032.fa","d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__UBA1565;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","25.53","0.6473501874","-"
"bin.033.fa","d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","42.9","0.7674915224","-"
"bin.034.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Nevskiaceae;g__Nevskia;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCF_000711955.1, s__Nevskia soli, 95.0...","54.77","0.9277485295","-"
"bin.035.fa","d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Rhabdochlamydiaceae;g__PALSA-1444;s__","-","-","-","-","-","GCA_013286675.1","d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Rhabdochlamydiaceae;g__PALSA-1444;s__PALSA-1444 sp013286675","83.87","0.41","taxonomic classification defined by topology and ANI","-","GCA_003153295.1, s__PALSA-1444 sp00315...","29.82","0.9838977911","-"
"bin.037.fa","d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","59.16","0.7559518936","Genome has more than 11.7% of markers with multiple hits"
"bin.038.fa","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","53.64","0.6927347562","-"
"bin.040.fa","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__Palsa-1382;s__","-","-","-","-","-","GCA_003167365.1","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__Palsa-1382;s__Palsa-1382 sp003167365","78.55","0.4","taxonomic classification defined by topology and ANI","-","-","25.89","0.9138886468","Genome has more than 62.5% of markers with multiple hits"
"bin.041.fa","d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","31.78","0.8029795923","-"
"bin.042.fa","d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__Binatales;f__Binataceae;g__Binatus;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCA_002479255.1, s__Binatus soli, 95.0...","13.36","0.939364775","-"
"bin.043.fa","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__Rhizomicrobium;s__","-","-","-","-","-","GCA_902825865.1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__Rhizomicrobium;s__Rhizomicrobium sp902825865","80.84","0.63","taxonomic classification defined by topology and ANI","-","GCA_013697055.1, s__Rhizomicrobium sp0...","20.03","0.9755865448","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"bin.044.fa","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Gp1-AA112;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","46.87","0.8981636735","Genome has more than 38.3% of markers with multiple hits"
"bin.045.fa","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","48.78","0.8808864373","Genome has more than 10.8% of markers with multiple hits"
"bin.046.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__13-2-20CM-66-19;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","-","GCA_003136935.1, s__13-2-20CM-66-19 sp...","79.55","0.9727107885","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"bin.049.fa","d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","85.92","0.821097758","-"
"bin.050.fa","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Gp1-AA112;g__DSPA01;s__","-","-","-","-","-","GCA_011046795.1","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Gp1-AA112;g__DSPA01;s__DSPA01 sp011046795","77.52","0.22","taxonomic classification defined by topology and ANI","-","-","63.53","0.8718381989","-"
"bin.051.fa","d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","16.26","0.6970320032","-"
"bin.052.fa","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__Udaeobacter;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","-","GCA_003219415.1, s__Udaeobacter sp0032...","83.18","0.9803665889","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"bin.053.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Bog-1198;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCA_003165495.1, s__Bog-1198 sp0031654...","18.09","0.9498813058","Genome has more than 64.2% of markers with multiple hits"
"bin.054.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pandoraea;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","-","GCF_902459565.1, s__Pandoraea aquatica...","63.15","0.9881532203","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"bin.055.fa","d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Fen-336;f__Fen-336;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","28.69","0.8278985925","-"
"bin.056.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Trinickia;s__","-","-","-","-","-","GCF_002934455.1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Trinickia;s__Trinickia symbiotica","81.33","0.55","taxonomic classification defined by topology and ANI","-","GCF_003628145.1, s__Trinickia sp003628...","15.51","0.9816251853","-"
"bin.058.fa","d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__CF-121;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","87.85","0.5765577338","-"
"bin.060.fa","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7541;f__UBA7541;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","24.88","0.8705768203","Genome has more than 66.7% of markers with multiple hits"
"bin.061.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2163;g__C7867-001;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","58.19","0.9009070132","-"
"bin.063.fa","d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__;s__","-","-","-","-","-","GCA_002420005.1","d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__UBA5704;s__UBA5704 sp002420005","77.1","0.32","taxonomic classification defined by topology and ANI","-","-","62.62","0.8365818778","-"
"bin.064.fa","d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Levybacterales;f__UBA12049;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","36.09","0.8415370803","Genome has more than 30.0% of markers with multiple hits"
"bin.066.fa","d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__UBA4664;f__UBA4664;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","59.78","0.7247501666","-"
"bin.068.fa","d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__40CM-4-68-19;g__40CM-4-68-19;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCA_005879315.1, s__40CM-4-68-19 sp005...","38.08","0.9085978442","Genome has more than 25.8% of markers with multiple hits"
"bin.069.fa","d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__2-01-FULL-59-12;f__2-01-FULL-59-12;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","55.73","0.8102690349","-"
"bin.072.fa","d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__UBA7656;f__UBA7656;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","85.47","0.845022335","-"
"bin.074.fa","d__Bacteria;p__Patescibacteria;c__Doudnabacteria;o__UBA920;f__UBA920;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","57.81","0.8142142667","-"
"bin.075.fa","d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__Bog-473;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCA_003169675.1, s__Bog-473 sp00316967...","17.95","0.9044876386","-"
"bin.076.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__2-01-FULL-56-20;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","28.23","0.842893202","-"
"bin.077.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","21.2","0.9073882593","-"
"bin.078.fa","d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","48.54","0.8301026373","-"
"bin.079.fa","d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__Dormibacterales;f__Dormibacteraceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","23.98","0.909369527","Genome has more than 37.5% of markers with multiple hits"
"bin.080.fa","d__Bacteria;p__Patescibacteria;c__Dojkabacteria;o__B142;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","13.02","0.6134552754","Genome domain questionable ( 14.2% Bacterial, 4.9% Archaeal)"
"bin.081.fa","d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__GWA2-44-7;f__UBA8517;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","62.06","0.7752498028","-"
"bin.082.fa","d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Fen-1231;s__","-","-","-","-","-","GCA_903910555.1","d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Fen-1231;s__Fen-1231 sp903910555","80.69","0.56","taxonomic classification defined by topology and ANI","-","GCA_003171215.1, s__Fen-1231 sp0031712...","57.34","0.975916501","-"
"bin.083.fa","d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__UBA12411;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","73.99","0.7694985387","-"
"bin.084.fa","d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","36.83","0.627495823","Genome has more than 50.0% of markers with multiple hits"
"bin.086.fa","d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Palsa-1315;s__Palsa-1315 sp005887945","GCA_005887945.1","95","d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Palsa-1315;s__Palsa-1315 sp005887945","95.21","0.71","GCA_005887945.1","d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Palsa-1315;s__Palsa-1315 sp005887945","95.21","0.71","taxonomic classification defined by topology and ANI","topological placement and ANI have congruent species assignments","GCA_005877535.1, s__Palsa-1315 sp00587...","78.44","-","-"
"bin.087.fa","d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__SHZT01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","63.15","0.8651071082","-"
"bin.088.fa","d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__Aquilonibacter;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","22.14","0.9300380574","-"
"bin.089.fa","d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__;s__","-","-","-","-","-","GCA_002420005.1","d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__UBA5704;s__UBA5704 sp002420005","77.81","0.22","taxonomic classification defined by topology and ANI","-","-","29.64","0.8270710126","Genome has more than 30.0% of markers with multiple hits"
"bin.090.fa","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Lacunisphaera;s__Lacunisphaera sp900104925","GCF_900104925.1","95","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Lacunisphaera;s__Lacunisphaera sp900104925","99.39","0.94","GCF_900104925.1","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Lacunisphaera;s__Lacunisphaera sp900104925","99.39","0.94","taxonomic classification defined by topology and ANI","topological placement and ANI have congruent species assignments","GCA_001464505.1, s__Lacunisphaera sp00...","68.49","-","-"
"bin.091.fa","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__UBA4765;g__UBA4765;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","53.03","0.8746021586","-"
"bin.093.fa","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7541;f__UBA7541;g__UBA7541;s__","-","-","-","-","-","GCA_013289585.1","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7541;f__UBA7541;g__UBA7541;s__UBA7541 sp013289585","81.28","0.56","taxonomic classification defined by topology and ANI","-","GCA_003224055.1, s__UBA7541 sp00322405...","61.62","0.9717965692","Genome has more than 15.0% of markers with multiple hits"
"bin.094.fa","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCA_013288235.1, s__Mucilaginibacter s...","85.43","0.9642789302","-"
"bin.095.fa","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__Palsa-965;g__Palsa-965;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","88.7","0.9106506331","-"
"bin.096.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__13-2-20CM-66-19;s__","-","-","-","-","-","GCA_005877965.1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__13-2-20CM-66-19;s__13-2-20CM-66-19 sp005877965","88.21","0.58","taxonomic classification defined by topology and ANI","-","GCA_005878095.1, s__13-2-20CM-66-19 sp...","11.1","0.9823819072","Genome domain questionable ( 11.7% Bacterial, 6.6% Archaeal)"
"bin.097.fa","d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia_A;o__CAIPTA01;f__CAIPTA01;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","16.36","0.8001659727","-"
"bin.099.fa","d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__CADCTF01;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","26.25","0.7216178079","-"
"bin.100.fa","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__JABCYV01;s__","-","-","-","-","-","GCA_013290025.1","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__JABCYV01;s__JABCYV01 sp013290025","92.4","0.66","taxonomic classification defined by topology and ANI","-","-","52.23","0.9843887564","Genome has more than 24.2% of markers with multiple hits"
"bin.013.fa","d__Archaea;p__Thermoplasmatota;c__SW-10-69-26;o__;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-",18.62,0.3621459931,"-"
"bin.047.fa","d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__TA-20;s__TA-20 sp013287585","GCA_013287585.1",95,"d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__TA-20;s__TA-20 sp013287585",97.6,0.76,"GCA_013287585.1","d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__TA-20;s__TA-20 sp013287585",97.6,0.76,"taxonomic classification defined by topology and ANI","topological placement and ANI have congruent species assignments","GCA_007280335.1, s__TA-20 sp007280335,...",62.9,"-","-"
"bin.059.fa","d__Archaea;p__Thermoplasmatota;c__SW-10-69-26;o__;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-",66.71,0.3743157143,"-"
