"User Genome","Classification","FastANI Reference","FastANI Reference Radius","FastANI Taxonomy","FastANI ANI","FastANI Alignment Fraction","Closest Placement Reference","Closest Placement Taxonomy","Closest Placement ANI","Closest Placement Alignment Fraction","Classification Method","Note","Other Related References","MSA AA Percent","RED Value","Warnings"
"bin.011.fa","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Palsa-89;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCA_003166865.1, s__Palsa-89 sp0031668...","83.03","0.9194501698","-"
"bin.012.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__2-01-FULL-56-20;g__CAJAQL01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","50.43","0.8794886725","-"
"bin.013.fa","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__","-","-","-","-","-","GCA_003140785.1","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__Terracidiphilus sp003140785","78.01","0.31","taxonomic classification defined by topology and ANI","-","GCA_002314435.1, s__Terracidiphilus sp...","76.41","0.9539151783","-"
"bin.014.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__2-01-FULL-56-20;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","67.64","0.8429384672","-"
"bin.016.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","-","GCF_000497835.1, s__Pseudomonas_E sp00...","87.29","0.9890037538","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"bin.017.fa","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Palsa-1447;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","63.15","0.9298927089","Genome has more than 10.8% of markers with multiple hits"
"bin.018.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__2-01-FULL-56-20;g__CAJAQL01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","66.21","0.8829949074","-"
"bin.019.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__2-01-FULL-56-20;g__CAJAQL01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","67.78","0.8770926389","-"
"bin.020.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__2-01-FULL-56-20;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","33.25","0.794013964","-"
"bin.021.fa","d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Levybacterales;f__UBA12049;g__JACDET01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","61.72","0.8771752799","-"
"bin.022.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__2-01-FULL-56-20;g__CAJAQL01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","63.79","0.8744799211","-"
"bin.023.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rahnella;s__Rahnella chamberiensis_A","GCF_009295505.1","95","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rahnella;s__Rahnella chamberiensis_A","99.16","0.94","GCF_009295505.1","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rahnella;s__Rahnella chamberiensis_A","99.16","0.94","taxonomic classification defined by topology and ANI","topological placement and ANI have congruent species assignments","GCF_002951615.1, s__Rahnella sp0029516...","95.1","-","-"
"bin.024.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__2-01-FULL-56-20;g__CAJAQL01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","65.14","0.8769087249","-"
"bin.025.fa","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__CAITEC01;s__","-","-","-","-","-","GCA_903891325.1","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__CAITEC01;s__CAITEC01 sp903891325","77.07","0.2","taxonomic classification defined by topology and ANI","-","-","86.56","0.947163093","-"
"bin.026.fa","d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","91.34","0.8758737039","-"
"bin.027.fa","d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Levybacterales;f__UBA12049;g__JACDET01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","28.43","0.8877918844","-"
"bin.028.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2163;g__UBA10103;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","69.57","0.9212676146","-"
"bin.029.fa","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__","-","-","-","-","-","-","-","-","-","ANI","-","GCA_003170825.1, s__Terracidiphilus sp...","92.38","0.924854903","-"
"bin.030.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__PALSA-1337;g__PALSA-1337;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","42.74","0.9142626978","-"
"bin.031.fa","d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Sporomusales;f__UPPP01;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","82.95","0.759844174","-"
"bin.032.fa","d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_B;f__DSM-18226;g__Neobacillus;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","94.28","0.8428571747","-"
"bin.033.fa","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","93.51","0.8172518237","-"
"bin.035.fa","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__ATCC43930;f__Stellaceae;g__Aliidongia;s__","-","-","-","-","-","GCA_014643535.1","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__ATCC43930;f__Stellaceae;g__Aliidongia;s__Aliidongia dinghuensis","84.22","0.61","taxonomic classification defined by topology and ANI","-","-","76.04","0.9564340907","-"
"bin.036.fa","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Silvibacterium;s__","-","-","-","-","-","GCF_001006305.1","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Silvibacterium;s__Silvibacterium bohemicum","79.21","0.39","taxonomic classification defined by topology and ANI","-","GCF_004123295.1, s__Silvibacterium din...","75.16","0.961717367","-"
"bin.037.fa","d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__UBA1565;f__UBA9628;g__GWA2-66-18;s__","-","-","-","-","-","GCA_013044195.1","d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__UBA1565;f__UBA9628;g__GWA2-66-18;s__GWA2-66-18 sp013044195","80.97","0.56","taxonomic classification defined by topology and ANI","-","GCA_903874575.1, s__GWA2-66-18 sp90387...","61.25","0.9627405093","-"
"bin.038.fa","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA11358;g__UBA11358;s__","-","-","-","-","-","GCA_003133815.1","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA11358;g__UBA11358;s__UBA11358 sp003133815","83.38","0.52","taxonomic classification defined by topology and ANI","-","GCA_003139955.1, s__UBA11358 sp0031399...","83.88","0.9580364656","-"
"bin.039.fa","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA6065;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","63.27","0.8278299985","-"
"bin.040.fa","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","55.61","0.8265779611","-"
"bin.041.fa","d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__UBA5150;s__","-","-","-","-","-","GCA_003133385.1","d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__UBA5150;s__UBA5150 sp003133385","78.08","0.31","taxonomic classification defined by topology and ANI","-","-","74.67","0.9625811398","-"
"bin.015.fa","d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__Micrarchaeaceae;g__UBA12276;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","68.15","0.8406976504","-"
"bin.034.fa","d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__Micrarchaeaceae;g__UBA12276;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","69.61","0.8287011349","-"
