"User Genome","Classification","FastANI Reference","FastANI Reference Radius","FastANI Taxonomy","FastANI ANI","FastANI Alignment Fraction","Closest Placement Reference","Closest Placement Taxonomy","Closest Placement ANI","Closest Placement Alignment Fraction","Classification Method","Note","Other Related References","MSA AA Percent","RED Value","Warnings"
"bin.018.fa","d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__2-01-FULL-59-12;f__2-01-FULL-59-12;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","55.73","0.8102690349","-"
"bin.019.fa","d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Levybacterales;f__UBA12049;g__PJMG01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","59.86","0.8743537188","-"
"bin.020.fa","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","53.64","0.6927347562","-"
"bin.021.fa","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Gp1-AA112;g__DSPA01;s__","-","-","-","-","-","GCA_011046795.1","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Gp1-AA112;g__DSPA01;s__DSPA01 sp011046795","77.69","0.22","taxonomic classification defined by topology and ANI","-","-","78.2","0.8787138128","-"
"bin.023.fa","d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__;s__","-","-","-","-","-","GCA_002420005.1","d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__UBA5704;s__UBA5704 sp002420005","77.1","0.32","taxonomic classification defined by topology and ANI","-","-","62.62","0.8365818853","-"
"bin.025.fa","d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","64.09","0.7591008838","-"
"bin.026.fa","d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__UBA4664;f__UBA4664;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","59.78","0.7247501666","-"
"bin.027.fa","d__Bacteria;p__Patescibacteria;c__Doudnabacteria;o__UBA920;f__O2-02-FULL-48-8;g__2-01-FULL-45-18;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","51.76","0.8735670615","-"
"bin.028.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Nevskiaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","50.49","0.8987859944","-"
"bin.029.fa","d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__Fen-1088;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","55.71","0.8104146741","-"
"bin.030.fa","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","45.07","0.8653404501","-"
"bin.031.fa","d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__UBA7656;f__UBA7656;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","85.47","0.8455979747","-"
"bin.032.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pandoraea;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","-","GCF_902459565.1, s__Pandoraea aquatica...","81","0.9872785788","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"bin.033.fa","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Lacunisphaera;s__Lacunisphaera sp900104925","GCF_900104925.1","95","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Lacunisphaera;s__Lacunisphaera sp900104925","99.29","0.91","GCF_900104925.1","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Lacunisphaera;s__Lacunisphaera sp900104925","99.29","0.91","taxonomic classification defined by topology and ANI","topological placement and ANI have congruent species assignments","GCA_001464505.1, s__Lacunisphaera sp00...","74.11","-","-"
"bin.034.fa","d__Bacteria;p__Patescibacteria;c__Doudnabacteria;o__UBA920;f__UBA920;g__PALSA-1336;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","-","-","75.2","0.915368689","-"
"bin.035.fa","d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Holophagales;f__Holophagaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","45.11","0.863889534","-"
"bin.036.fa","d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","48.28","0.6807391792","Genome has more than 39.2% of markers with multiple hits"
"bin.037.fa","d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__UBA12411;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","73.99","0.7694985387","-"
"bin.038.fa","d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__CF-121;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","87.85","0.5765577338","-"
"bin.039.fa","d__Bacteria;p__Patescibacteria;c__Doudnabacteria;o__UBA920;f__UBA920;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","57.81","0.8142142667","-"
"bin.040.fa","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA6186;f__UBA6186;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","84.85","0.8394506481","-"
"bin.041.fa","d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7541;f__UBA7541;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-","53.44","0.8755625347","-"
"bin.022.fa","d__Archaea;p__Thermoplasmatota;c__SW-10-69-26;o__;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","-","-",66.71,0.374315888,"-"
"bin.024.fa","d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__TA-20;s__","-","-","-","-","-","GCA_013287585.1","d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__TA-20;s__TA-20 sp013287585",97.21,0.38,"taxonomic classification defined by topology and ANI","-","GCA_007280335.1, s__TA-20 sp007280335,...",59.7,0.993095,"-"
