locus_tag	ftype	length_bp	gene	EC_number	COG	product
FGCHFFMF_00092	CDS	834	hisK	3.1.3.15	COG1387	Histidinol-phosphatase
FGCHFFMF_00093	CDS	1167				hypothetical protein
FGCHFFMF_00094	CDS	1134	mgtA_2	2.4.1.-	COG0438	GDP-mannose-dependent alpha-mannosyltransferase
FGCHFFMF_00095	CDS	1815				hypothetical protein
FGCHFFMF_00096	CDS	1764				hypothetical protein
FGCHFFMF_00097	CDS	759	rssB_1			Regulator of RpoS
FGCHFFMF_00098	CDS	834	rssB_2			Regulator of RpoS
FGCHFFMF_00099	CDS	1191				hypothetical protein
FGCHFFMF_00100	CDS	507				hypothetical protein
FGCHFFMF_00101	CDS	1959	rssB_3			Regulator of RpoS
FGCHFFMF_00102	CDS	1053	cheB_1	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
FGCHFFMF_00103	CDS	2025				hypothetical protein
FGCHFFMF_00104	CDS	552				hypothetical protein
FGCHFFMF_00105	CDS	1182				hypothetical protein
FGCHFFMF_00106	CDS	549	yajL	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
FGCHFFMF_00107	CDS	249				hypothetical protein
FGCHFFMF_00108	CDS	240				hypothetical protein
FGCHFFMF_00109	CDS	1377	atoC_1		COG2204	Regulatory protein AtoC
FGCHFFMF_00110	CDS	1791	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
FGCHFFMF_00111	CDS	687	phoP		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
FGCHFFMF_00112	CDS	942	dagK	2.7.1.107	COG1597	Diacylglycerol kinase
FGCHFFMF_00113	CDS	1161	phoR_1	2.7.13.3	COG0642	Alkaline phosphatase synthesis sensor protein PhoR
FGCHFFMF_00114	CDS	867				hypothetical protein
FGCHFFMF_00115	CDS	696	sphR		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein SphR
FGCHFFMF_00116	CDS	714	baeR		COG0745	Transcriptional regulatory protein BaeR
FGCHFFMF_00117	CDS	537				hypothetical protein
FGCHFFMF_00118	CDS	1284				hypothetical protein
FGCHFFMF_00119	CDS	1035	pstS_1		COG0226	Phosphate-binding protein PstS
FGCHFFMF_00120	CDS	960	pstC		COG0573	Phosphate transport system permease protein PstC
FGCHFFMF_00121	CDS	867	pstA		COG0581	Phosphate transport system permease protein PstA
FGCHFFMF_00122	CDS	846	pstB	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB
FGCHFFMF_00123	CDS	693	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU 
FGCHFFMF_00124	CDS	954	pstS_2		COG0226	Phosphate-binding protein PstS
FGCHFFMF_00125	CDS	864				hypothetical protein
FGCHFFMF_00126	CDS	411				hypothetical protein
FGCHFFMF_00127	CDS	1287				hypothetical protein
FGCHFFMF_00128	CDS	1077				hypothetical protein
FGCHFFMF_00129	CDS	672	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
FGCHFFMF_00130	CDS	744	ppm1_1		COG0815	Bifunctional apolipoprotein N-acyltransferase/polyprenol monophosphomannose synthase
FGCHFFMF_00131	CDS	1314				hypothetical protein
FGCHFFMF_00132	CDS	1032	pknD_1	2.7.11.1	COG0515	Serine/threonine-protein kinase PknD
FGCHFFMF_00133	CDS	960	pknD_2	2.7.11.1	COG0515	Serine/threonine-protein kinase PknD
FGCHFFMF_00134	CDS	2553				hypothetical protein
FGCHFFMF_00135	CDS	2559				hypothetical protein
FGCHFFMF_00136	CDS	507				hypothetical protein
FGCHFFMF_00137	CDS	741	ppm1_2	2.4.1.-		Polyprenol monophosphomannose synthase
FGCHFFMF_00138	CDS	567	lemA_1		COG1704	Protein LemA
FGCHFFMF_00139	CDS	741				hypothetical protein
FGCHFFMF_00140	CDS	828				hypothetical protein
FGCHFFMF_00141	CDS	4683				hypothetical protein
FGCHFFMF_00142	CDS	891		2.4.2.45	COG0382	Decaprenyl-phosphate phosphoribosyltransferase
FGCHFFMF_00143	CDS	675				hypothetical protein
FGCHFFMF_00144	CDS	1740				hypothetical protein
FGCHFFMF_00145	CDS	1767				hypothetical protein
FGCHFFMF_00146	CDS	351	rpoS			RNA polymerase sigma factor RpoS
FGCHFFMF_00147	CDS	972				hypothetical protein
FGCHFFMF_00148	CDS	621	algU_1		COG1595	RNA polymerase sigma-H factor
FGCHFFMF_00149	CDS	804				hypothetical protein
FGCHFFMF_00150	CDS	1341	accC	6.3.4.14	COG0439	Biotin carboxylase
FGCHFFMF_00151	CDS	513	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
FGCHFFMF_00152	CDS	564	efp		COG0231	Elongation factor P
FGCHFFMF_00153	CDS	1071	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
FGCHFFMF_00154	CDS	1668				hypothetical protein
FGCHFFMF_00155	CDS	1638	ybiT		COG0488	putative ABC transporter ATP-binding protein YbiT
FGCHFFMF_00156	CDS	2295				hypothetical protein
FGCHFFMF_00157	CDS	672	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
FGCHFFMF_00158	CDS	657				hypothetical protein
FGCHFFMF_00159	CDS	792	queE_1	4.3.99.3	COG0602	7-carboxy-7-deazaguanine synthase
FGCHFFMF_00160	CDS	648	gloC	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
FGCHFFMF_00161	tRNA	92				tRNA-Ser(gct)
FGCHFFMF_00162	CDS	1029				hypothetical protein
FGCHFFMF_00163	CDS	627				hypothetical protein
FGCHFFMF_00164	CDS	1773	phoR_2	2.7.13.3	COG0642	Alkaline phosphatase synthesis sensor protein PhoR
FGCHFFMF_00165	CDS	723	livF		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
FGCHFFMF_00166	CDS	783	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
FGCHFFMF_00167	CDS	981				hypothetical protein
FGCHFFMF_00168	CDS	906	livH		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
FGCHFFMF_00169	CDS	2667				hypothetical protein
FGCHFFMF_00170	CDS	1071	ccpA_1		COG1609	Catabolite control protein A
FGCHFFMF_00171	CDS	1140				hypothetical protein
FGCHFFMF_00172	CDS	1224				hypothetical protein
FGCHFFMF_00173	CDS	591				hypothetical protein
FGCHFFMF_00174	CDS	552	sigW_1		COG1595	ECF RNA polymerase sigma factor SigW
FGCHFFMF_00175	CDS	630				hypothetical protein
FGCHFFMF_00176	CDS	342				hypothetical protein
FGCHFFMF_00177	CDS	1338				hypothetical protein
FGCHFFMF_00178	CDS	1242	htpX_1	3.4.24.-		Protease HtpX
FGCHFFMF_00179	CDS	2178	glnA_1	6.3.1.2		Glutamine synthetase
FGCHFFMF_00180	CDS	2193	glgB	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
FGCHFFMF_00181	CDS	624				hypothetical protein
FGCHFFMF_00182	CDS	2244				hypothetical protein
FGCHFFMF_00183	CDS	1272				hypothetical protein
FGCHFFMF_00184	CDS	1239				hypothetical protein
FGCHFFMF_00185	CDS	1125	rip3		COG0517	Putative zinc metalloprotease Rip3
FGCHFFMF_00186	CDS	2199				hypothetical protein
FGCHFFMF_00187	CDS	354				hypothetical protein
FGCHFFMF_00188	CDS	681				hypothetical protein
FGCHFFMF_00189	CDS	486				hypothetical protein
FGCHFFMF_00190	CDS	1032				hypothetical protein
FGCHFFMF_00191	CDS	1770				hypothetical protein
FGCHFFMF_00192	tRNA	76				tRNA-Met(cat)
FGCHFFMF_00193	CDS	159				hypothetical protein
FGCHFFMF_00194	CDS	912	rhaS			HTH-type transcriptional activator RhaS
FGCHFFMF_00195	CDS	411				hypothetical protein
FGCHFFMF_00196	CDS	1056	adhC	1.1.1.2	COG1064	NADP-dependent alcohol dehydrogenase C
FGCHFFMF_00197	CDS	1008	iolS_1	1.1.1.-	COG0667	Aldo-keto reductase IolS
FGCHFFMF_00198	CDS	1440	modF		COG1119	ABC transporter ATP-binding protein ModF
FGCHFFMF_00199	CDS	1179				hypothetical protein
FGCHFFMF_00200	CDS	1155			COG3177	putative protein
FGCHFFMF_00201	CDS	1293				hypothetical protein
FGCHFFMF_00202	CDS	1233				hypothetical protein
FGCHFFMF_00203	CDS	1827	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
FGCHFFMF_00204	CDS	762	mlaE_1		COG0767	Intermembrane phospholipid transport system permease protein MlaE
FGCHFFMF_00205	CDS	798	mkl_1		COG1127	putative ribonucleotide transport ATP-binding protein mkl
FGCHFFMF_00206	CDS	1251				hypothetical protein
FGCHFFMF_00207	CDS	1746		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
FGCHFFMF_00208	CDS	318				hypothetical protein
FGCHFFMF_00209	CDS	1776	aspS	6.1.1.12		Aspartate--tRNA ligase
FGCHFFMF_00210	CDS	624				hypothetical protein
FGCHFFMF_00211	CDS	195				hypothetical protein
FGCHFFMF_00212	CDS	1278	serS	6.1.1.11	COG0172	Serine--tRNA ligase
FGCHFFMF_00213	CDS	2505	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
FGCHFFMF_00214	CDS	405				hypothetical protein
FGCHFFMF_00215	CDS	1350	cca	2.7.7.72		CCA-adding enzyme
FGCHFFMF_00216	CDS	750	rluB_1	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
FGCHFFMF_00217	CDS	468	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
FGCHFFMF_00218	CDS	192				hypothetical protein
FGCHFFMF_00219	CDS	270	rpsO		COG0184	30S ribosomal protein S15
FGCHFFMF_00220	CDS	948	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
FGCHFFMF_00221	CDS	909	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
FGCHFFMF_00222	CDS	969	nrnA	3.1.-.-	COG0618	Bifunctional oligoribonuclease and PAP phosphatase NrnA
FGCHFFMF_00223	CDS	384	rbfA			Ribosome-binding factor A
FGCHFFMF_00224	CDS	2532	infB			Translation initiation factor IF-2
FGCHFFMF_00225	CDS	1398	nusA			Transcription termination/antitermination protein NusA
FGCHFFMF_00226	CDS	1191				hypothetical protein
FGCHFFMF_00227	CDS	1728				hypothetical protein
FGCHFFMF_00228	CDS	1017	cpoB_1			Cell division coordinator CpoB
FGCHFFMF_00229	CDS	1023	pyrD_1	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
FGCHFFMF_00230	CDS	3222	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
FGCHFFMF_00231	CDS	1179	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
FGCHFFMF_00232	CDS	489	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
FGCHFFMF_00233	CDS	891	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
FGCHFFMF_00234	CDS	1293	pyrC	3.5.2.3	COG0044	Dihydroorotase
FGCHFFMF_00235	CDS	957	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase
FGCHFFMF_00236	CDS	534	pyrR			Bifunctional protein PyrR
FGCHFFMF_00237	CDS	1434	patA	2.3.1.-	COG1696	Peptidoglycan O-acetyltransferase
FGCHFFMF_00238	CDS	1701				hypothetical protein
FGCHFFMF_00239	CDS	741				hypothetical protein
FGCHFFMF_00240	CDS	762				hypothetical protein
FGCHFFMF_00241	CDS	1017				hypothetical protein
FGCHFFMF_00242	CDS	1551				hypothetical protein
FGCHFFMF_00243	CDS	1818				hypothetical protein
FGCHFFMF_00244	CDS	972	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
FGCHFFMF_00245	CDS	1155				hypothetical protein
FGCHFFMF_00246	CDS	744	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
FGCHFFMF_00247	CDS	486	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
FGCHFFMF_00248	CDS	363				hypothetical protein
FGCHFFMF_00249	CDS	1668	ilvD_1	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
FGCHFFMF_00250	CDS	2826	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
FGCHFFMF_00251	CDS	1059				hypothetical protein
FGCHFFMF_00252	CDS	318				hypothetical protein
FGCHFFMF_00253	CDS	2277				hypothetical protein
FGCHFFMF_00254	CDS	1242	ubiB	2.7.-.-		protein kinase UbiB
FGCHFFMF_00255	CDS	1533	crtN	1.3.8.2		4,4'-diapophytoene desaturase (4,4'-diapolycopene-forming)
FGCHFFMF_00256	CDS	2445				hypothetical protein
FGCHFFMF_00257	CDS	792				hypothetical protein
FGCHFFMF_00258	CDS	1140				hypothetical protein
FGCHFFMF_00259	CDS	594	algU_2		COG1595	RNA polymerase sigma-H factor
FGCHFFMF_00260	CDS	579	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
FGCHFFMF_00261	CDS	759	rplY			50S ribosomal protein L25
FGCHFFMF_00262	CDS	939	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
FGCHFFMF_00263	CDS	1365	glmU			Bifunctional protein GlmU
FGCHFFMF_00264	CDS	450	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
FGCHFFMF_00265	CDS	357			COG0662	Oxalate-binding protein
FGCHFFMF_00266	CDS	1524				hypothetical protein
FGCHFFMF_00267	CDS	717	ppm1_3	2.4.1.-		Polyprenol monophosphomannose synthase
FGCHFFMF_00268	CDS	2301				hypothetical protein
FGCHFFMF_00269	CDS	1071	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
FGCHFFMF_00270	CDS	321	cutA		COG1324	Divalent-cation tolerance protein CutA
FGCHFFMF_00271	CDS	1296				hypothetical protein
FGCHFFMF_00272	CDS	948				hypothetical protein
FGCHFFMF_00273	CDS	1725				hypothetical protein
FGCHFFMF_00274	CDS	858	plqA	2.5.1.39		4-hydroxybenzoate solanesyltransferase
FGCHFFMF_00275	CDS	561	vdcB	2.5.1.129		putative UbiX-like flavin prenyltransferase
FGCHFFMF_00276	CDS	1800		4.1.1.61	COG0043	4-hydroxybenzoate decarboxylase subunit C
FGCHFFMF_00277	CDS	1092	mqnE	2.5.1.120	COG1060	Aminodeoxyfutalosine synthase
FGCHFFMF_00278	CDS	1227				hypothetical protein
FGCHFFMF_00279	CDS	780	mqnA	4.2.1.151		Chorismate dehydratase
FGCHFFMF_00280	CDS	1107	mqnC_2	1.21.98.1	COG1060	Cyclic dehypoxanthine futalosine synthase
FGCHFFMF_00281	CDS	1140				hypothetical protein
FGCHFFMF_00282	CDS	711				hypothetical protein
FGCHFFMF_00283	CDS	723			COG0586	putative membrane protein
FGCHFFMF_00284	CDS	840	mqnD	4.1.-.-	COG2107	1,4-dihydroxy-6-naphtoate synthase
FGCHFFMF_00285	CDS	1419	ahcY	3.3.1.1		Adenosylhomocysteinase
FGCHFFMF_00286	CDS	1170	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
FGCHFFMF_00287	CDS	219				hypothetical protein
FGCHFFMF_00288	CDS	1401	rlmCD	2.1.1.189	COG2265	23S rRNA (uracil-C(5))-methyltransferase RlmCD
FGCHFFMF_00289	CDS	1458	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
FGCHFFMF_00290	CDS	261				hypothetical protein
FGCHFFMF_00291	CDS	1455	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
FGCHFFMF_00292	CDS	288	gatC	6.3.5.-		Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C
FGCHFFMF_00293	CDS	273				hypothetical protein
FGCHFFMF_00294	CDS	2823				hypothetical protein
FGCHFFMF_00295	CDS	600	rdgB	3.6.1.66	COG0127	dITP/XTP pyrophosphatase
FGCHFFMF_00296	CDS	729	rph	2.7.7.56	COG0689	Ribonuclease PH
FGCHFFMF_00297	CDS	726				hypothetical protein
FGCHFFMF_00298	CDS	405	exbD_1		COG0848	Biopolymer transport protein ExbD
FGCHFFMF_00299	CDS	648	tolQ_1		COG0811	Tol-Pal system protein TolQ
FGCHFFMF_00300	CDS	1746				hypothetical protein
FGCHFFMF_00301	CDS	3096	cpoB_2			Cell division coordinator CpoB
FGCHFFMF_00302	CDS	930				hypothetical protein
FGCHFFMF_00303	CDS	786	xynR		COG1414	HTH-type transcriptional regulator XynR
FGCHFFMF_00304	CDS	555	cobO	2.5.1.17		Corrinoid adenosyltransferase
FGCHFFMF_00305	CDS	1038	capA			Capsule biosynthesis protein CapA
FGCHFFMF_00306	CDS	807	hdpA	3.1.3.-		Dihydroxyacetone phosphatase
FGCHFFMF_00307	CDS	2289				hypothetical protein
FGCHFFMF_00308	CDS	591				hypothetical protein
FGCHFFMF_00309	CDS	2319				hypothetical protein
FGCHFFMF_00310	CDS	258				hypothetical protein
FGCHFFMF_00311	CDS	246				hypothetical protein
FGCHFFMF_00312	CDS	1071	recA		COG0468	Protein RecA
FGCHFFMF_00313	CDS	2940	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
FGCHFFMF_00314	CDS	768				hypothetical protein
FGCHFFMF_00315	CDS	816				hypothetical protein
FGCHFFMF_00316	CDS	903				hypothetical protein
FGCHFFMF_00317	CDS	411	prfB_1			Peptide chain release factor 2
FGCHFFMF_00318	CDS	1395	bglA	3.2.1.21		Beta-glucosidase
FGCHFFMF_00319	CDS	402				hypothetical protein
FGCHFFMF_00320	CDS	3396	aas	6.2.1.20		Bifunctional protein Aas
FGCHFFMF_00321	CDS	213				hypothetical protein
FGCHFFMF_00322	CDS	285				hypothetical protein
FGCHFFMF_00323	CDS	2895				hypothetical protein
FGCHFFMF_00324	CDS	975	rssB_4			Regulator of RpoS
FGCHFFMF_00325	CDS	993	rluC	5.4.99.24	COG0564	Ribosomal large subunit pseudouridine synthase C
FGCHFFMF_00326	CDS	2409				hypothetical protein
FGCHFFMF_00327	CDS	1170				hypothetical protein
FGCHFFMF_00328	CDS	762				hypothetical protein
FGCHFFMF_00329	CDS	2544	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
FGCHFFMF_00330	CDS	1437	atoC_2		COG2204	Regulatory protein AtoC
FGCHFFMF_00331	CDS	828	zraS	2.7.13.3		Sensor protein ZraS
FGCHFFMF_00332	CDS	99				hypothetical protein
FGCHFFMF_00333	CDS	204				hypothetical protein
FGCHFFMF_00334	CDS	651	lexA	3.4.21.88	COG1974	LexA repressor
FGCHFFMF_00335	CDS	288	spoVG			Putative septation protein SpoVG
FGCHFFMF_00336	CDS	483	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
FGCHFFMF_00337	CDS	888	nadE_1	6.3.5.1	COG0171	Glutamine-dependent NAD(+) synthetase
FGCHFFMF_00338	CDS	477				hypothetical protein
FGCHFFMF_00339	CDS	918				hypothetical protein
FGCHFFMF_00340	CDS	927	cpoB_3			Cell division coordinator CpoB
FGCHFFMF_00341	CDS	1002	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
FGCHFFMF_00342	CDS	1023	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
FGCHFFMF_00343	CDS	1083				hypothetical protein
FGCHFFMF_00344	CDS	1497				hypothetical protein
FGCHFFMF_00345	CDS	1314	envC		COG4942	Murein hydrolase activator EnvC
FGCHFFMF_00346	CDS	891	ftsX		COG2177	Cell division protein FtsX
FGCHFFMF_00347	CDS	711	ftsE		COG2884	Cell division ATP-binding protein FtsE
FGCHFFMF_00348	CDS	270				hypothetical protein
FGCHFFMF_00349	CDS	681				hypothetical protein
FGCHFFMF_00350	CDS	435				hypothetical protein
FGCHFFMF_00351	CDS	792				hypothetical protein
FGCHFFMF_00352	CDS	828	yciV	3.1.13.-	COG0613	5'-3' exoribonuclease
FGCHFFMF_00353	CDS	708				hypothetical protein
FGCHFFMF_00354	CDS	222				hypothetical protein
FGCHFFMF_00355	CDS	1281	hisS	6.1.1.21		Histidine--tRNA ligase
FGCHFFMF_00356	CDS	2355				hypothetical protein
FGCHFFMF_00357	CDS	1302				hypothetical protein
FGCHFFMF_00358	CDS	870	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
