	locus_tag	ftype	length_bp	gene	EC_number	COG	product	COG_category_ID	COG_name	COG_Gene	COG_pathway	PubMed_ID	PDB_ID	Hexadecimal	COG_category_desc
28	FGCHFFMF_00029	CDS	501	hndA_1	1.12.1.3	COG1905	NADP-reducing hydrogenase subunit HndA	C	NADH:ubiquinone oxidoreductase 24 kD subunit (chain E)	NuoE	NADH dehydrogenase		5XF9	BCFCFC	Energy production and conversion
29	FGCHFFMF_00030	CDS	1896	rsxC	7.-.-.-		Ion-translocating oxidoreductase complex subunit C								
30	FGCHFFMF_00031	CDS	2025	hndD	1.12.1.3	COG3383	NADP-reducing hydrogenase subunit HndD	R	Predicted molibdopterin-dependent oxidoreductase YjgC	YjgC			1AA6	E0E0E0	General function prediction only
31	FGCHFFMF_00032	CDS	1713	rsxB	7.-.-.-		Ion-translocating oxidoreductase complex subunit B								
32	FGCHFFMF_00033	CDS	1149				hypothetical protein								
33	FGCHFFMF_00034	CDS	1380	aspA	4.3.1.1	COG1027	Aspartate ammonia-lyase	E	Aspartate ammonia-lyase	AspA			6WNG	DCFCFC	Amino acid transport and metabolism
34	FGCHFFMF_00035	CDS	1248	der_1			GTPase Der								
35	FGCHFFMF_00036	CDS	1506	mqnC_1	1.21.98.1		Cyclic dehypoxanthine futalosine synthase								
36	FGCHFFMF_00037	CDS	1116		1.8.-.-	COG0502	[FeFe] hydrogenase maturase subunit HydE	H	Biotin synthase or related enzyme	BioB	Biotin biosynthesis		1R30	DCDCFC	Coenzyme transport and metabolism
37	FGCHFFMF_00038	CDS	396	crcB			Putative fluoride ion transporter CrcB								
38	FGCHFFMF_00039	CDS	330				hypothetical protein								
39	FGCHFFMF_00040	CDS	1020	cbiM			Cobalt transport protein CbiM								
40	FGCHFFMF_00041	CDS	1137				hypothetical protein								
41	FGCHFFMF_00042	CDS	489	fur_1		COG0735	Ferric uptake regulation protein	P	Fe2+ or Zn2+ uptake regulation protein Fur/Zur	Fur			1MZB	CCCCFC	Inorganic ion transport and metabolism
42	FGCHFFMF_00043	CDS	1161		2.6.1.51	COG0075	Serine-pyruvate aminotransferase	F	Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG	PucG	Serine biosynthesis		3NNK	DCECFC	Nucleotide transport and metabolism
43	FGCHFFMF_00043	CDS	1161		2.6.1.51	COG0075	Serine-pyruvate aminotransferase	E	Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG	PucG	Serine biosynthesis		3NNK	DCFCFC	Amino acid transport and metabolism
44	FGCHFFMF_00044	CDS	1593	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase	H	Phosphoglycerate dehydrogenase or related dehydrogenase	SerA	Serine biosynthesis		3OET	DCDCFC	Coenzyme transport and metabolism
45	FGCHFFMF_00045	CDS	1305	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase	F	Adenylosuccinate synthase	PurA	Purine biosynthesis		1ADE	DCECFC	Nucleotide transport and metabolism
46	FGCHFFMF_00046	CDS	1026				hypothetical protein								
47	FGCHFFMF_00047	tRNA	76				tRNA-Lys(ttt)								
48	FGCHFFMF_00048	CDS	507				hypothetical protein								
49	FGCHFFMF_00049	CDS	336				hypothetical protein								
50	FGCHFFMF_00050	CDS	759	esiB_1			Secretory immunoglobulin A-binding protein EsiB								
51	FGCHFFMF_00051	CDS	552				hypothetical protein								
52	FGCHFFMF_00052	CDS	1422	rhlE_1	3.6.4.13		ATP-dependent RNA helicase RhlE								
53	FGCHFFMF_00053	CDS	993	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase	H	Delta-aminolevulinic acid dehydratase, porphobilinogen synthase	HemB	Heme biosynthesis		1I8J	DCDCFC	Coenzyme transport and metabolism
54	FGCHFFMF_00054	CDS	885	hemA	1.2.1.70		Glutamyl-tRNA reductase								
55	FGCHFFMF_00055	CDS	1509	hemC	2.5.1.61		Porphobilinogen deaminase								
56	FGCHFFMF_00056	CDS	1278	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase	H	Glutamate-1-semialdehyde aminotransferase	HemL	Heme biosynthesis		2CFB	DCDCFC	Coenzyme transport and metabolism
57	FGCHFFMF_00057	CDS	861				hypothetical protein								
58	FGCHFFMF_00058	CDS	699	arlR		COG0745	Response regulator ArlR	K	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	OmpR			1XHF	FCDCEC	Transcription
59	FGCHFFMF_00058	CDS	699	arlR		COG0745	Response regulator ArlR	T	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	OmpR			1XHF	FCFCAC	Signal transduction mechanisms
60	FGCHFFMF_00059	CDS	1020	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase	H	Uroporphyrinogen-III decarboxylase HemE	HemE	Heme biosynthesis		2DG5	DCDCFC	Coenzyme transport and metabolism
61	FGCHFFMF_00060	CDS	1353	hemN	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase	H	Coproporphyrinogen-III oxidase HemN  (oxygen-independent) or related Fe-S oxidoreductase	HemN	Heme biosynthesis		1OLT	DCDCFC	Coenzyme transport and metabolism
62	FGCHFFMF_00061	CDS	1218	hemY	1.3.3.4	COG1232	Protoporphyrinogen oxidase	H	Protoporphyrinogen oxidase HemY/PPOX	HemY	Heme biosynthesis		3LOV	DCDCFC	Coenzyme transport and metabolism
63	FGCHFFMF_00062	CDS	1011	hemH	4.99.1.1	COG0276	Ferrochelatase	H	Protoheme ferro-lyase (ferrochelatase)	HemH	Heme biosynthesis		1AK1	DCDCFC	Coenzyme transport and metabolism
64	FGCHFFMF_00063	CDS	438			COG0864	Putative nickel-responsive regulator	K	Metal-responsive transcriptional regulator, contains CopG/Arc/MetJ DNA-binding domain	NikR			1Q5V	FCDCEC	Transcription
65	FGCHFFMF_00064	CDS	687	larMN		COG0310	putative fused nickel transport protein LarMN	P	ABC-type Co2+ transport system, permease component	CbiM		25313401	4M58	CCCCFC	Inorganic ion transport and metabolism
66	FGCHFFMF_00065	CDS	336				hypothetical protein								
67	FGCHFFMF_00066	CDS	705	nikQ		COG0619	Nickel transport protein NikQ	H	ECF-type transporter transmembrane protein EcfT	EcfT			4HZU	DCDCFC	Coenzyme transport and metabolism
68	FGCHFFMF_00067	CDS	789	nikO	3.6.3.-	COG1122	Nickel import ATP-binding protein NikO	P	Energy-coupling factor transporter ATP-binding protein EcfA2	EcfA2			4HUQ	CCCCFC	Inorganic ion transport and metabolism
69	FGCHFFMF_00067	CDS	789	nikO	3.6.3.-	COG1122	Nickel import ATP-binding protein NikO	R	Energy-coupling factor transporter ATP-binding protein EcfA2	EcfA2			4HUQ	E0E0E0	General function prediction only
70	FGCHFFMF_00068	CDS	3231				hypothetical protein								
71	FGCHFFMF_00069	CDS	855				hypothetical protein								
72	FGCHFFMF_00070	CDS	873				hypothetical protein								
73	FGCHFFMF_00071	CDS	363				hypothetical protein								
74	FGCHFFMF_00072	CDS	1266				hypothetical protein								
75	FGCHFFMF_00073	CDS	483	smpB		COG0691	SsrA-binding protein	O	tmRNA-binding protein	SmpB		26251518	1J1H	9CFCAC	Posttranslational modification, protein turnover, chaperones
76	FGCHFFMF_00074	tmRNA	352	ssrA			transfer-messenger RNA, SsrA								
77	FGCHFFMF_00075	CDS	501	rbr2	1.11.1.1	COG1592	Rubrerythrin-2	C	Rubrerythrin	YotD			1B71	BCFCFC	Energy production and conversion
78	FGCHFFMF_00076	CDS	792	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase	I	Undecaprenyl pyrophosphate phosphatase	UppP			5OON	DCCCFC	Lipid transport and metabolism
79	FGCHFFMF_00077	CDS	567	gpx1	1.11.1.22		Hydroperoxy fatty acid reductase gpx1								
80	FGCHFFMF_00078	CDS	564	yceI			Protein YceI								
81	FGCHFFMF_00079	CDS	456	bcp_1	1.11.1.15	COG1225	Putative peroxiredoxin bcp	O	Peroxiredoxin	Bcp			5IPH	9CFCAC	Posttranslational modification, protein turnover, chaperones
82	FGCHFFMF_00080	CDS	1284				hypothetical protein								
83	FGCHFFMF_00081	CDS	1401	fumC	4.2.1.2	COG0114	Fumarate hydratase class II	C	Fumarate hydratase class II	FumC	TCA cycle		1KQ7	BCFCFC	Energy production and conversion
84	FGCHFFMF_00082	CDS	792	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI	I	Enoyl-[acyl-carrier-protein] reductase FabI	FabI	Fatty acid biosynthesis		1C14	DCCCFC	Lipid transport and metabolism
85	FGCHFFMF_00083	CDS	1362	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA								
86	FGCHFFMF_00084	CDS	699	ompR			Transcriptional regulatory protein OmpR								
87	FGCHFFMF_00085	CDS	1374				hypothetical protein								
88	FGCHFFMF_00086	CDS	990				hypothetical protein								
89	FGCHFFMF_00087	CDS	1992	macB	3.6.3.-		Macrolide export ATP-binding/permease protein MacB								
90	FGCHFFMF_00088	CDS	963	yajO_1	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO	R	Pyridoxal reductase PdxI or related oxidoreductase, aldo/keto reductase family	PdxI		32253339	1LQA	E0E0E0	General function prediction only
91	FGCHFFMF_00088	CDS	963	yajO_1	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO	H	Pyridoxal reductase PdxI or related oxidoreductase, aldo/keto reductase family	PdxI		32253339	1LQA	DCDCFC	Coenzyme transport and metabolism
92	FGCHFFMF_00089	CDS	741				hypothetical protein								
93	FGCHFFMF_00090	CDS	2583	mgtA_1	7.2.2.14	COG0474	Magnesium-transporting ATPase, P-type 1	P	Magnesium-transporting ATPase (P-type)	MgtA			1IWO	CCCCFC	Inorganic ion transport and metabolism
94	FGCHFFMF_00091	CDS	1131	thiO	1.4.3.19	COG0665	Glycine oxidase	E	Glycine/D-amino acid oxidase (deaminating)	DadA			3AWI	DCFCFC	Amino acid transport and metabolism
95	FGCHFFMF_00092	CDS	834	hisK	3.1.3.15	COG1387	Histidinol-phosphatase	E	Histidinol phosphatase or related hydrolase of the PHP family	HIS2	Histidine biosynthesis		1M65	DCFCFC	Amino acid transport and metabolism
96	FGCHFFMF_00092	CDS	834	hisK	3.1.3.15	COG1387	Histidinol-phosphatase	R	Histidinol phosphatase or related hydrolase of the PHP family	HIS2	Histidine biosynthesis		1M65	E0E0E0	General function prediction only
97	FGCHFFMF_00093	CDS	1167				hypothetical protein								
98	FGCHFFMF_00094	CDS	1134	mgtA_2	2.4.1.-	COG0438	GDP-mannose-dependent alpha-mannosyltransferase	M	Glycosyltransferase involved in cell wall bisynthesis	RfaB			2IV7	ECFCAC	Cell wall/membrane/envelope biogenesis
99	FGCHFFMF_00095	CDS	1815				hypothetical protein								
100	FGCHFFMF_00096	CDS	1764				hypothetical protein								
101	FGCHFFMF_00097	CDS	759	rssB_1			Regulator of RpoS								
102	FGCHFFMF_00098	CDS	834	rssB_2			Regulator of RpoS								
103	FGCHFFMF_00099	CDS	1191				hypothetical protein								
104	FGCHFFMF_00100	CDS	507				hypothetical protein								
105	FGCHFFMF_00101	CDS	1959	rssB_3			Regulator of RpoS								
106	FGCHFFMF_00102	CDS	1053	cheB_1	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase	T	Chemotaxis response regulator CheB, contains REC and protein-glutamate methylesterase domains	CheB			1A2O	FCFCAC	Signal transduction mechanisms
107	FGCHFFMF_00103	CDS	2025				hypothetical protein								
108	FGCHFFMF_00104	CDS	552				hypothetical protein								
109	FGCHFFMF_00105	CDS	1182				hypothetical protein								
110	FGCHFFMF_00106	CDS	549	yajL	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3	V	Protein/nucleotide deglycase, PfpI/YajL/DJ-1 family (repair of methylglyoxal-glycated proteins and nucleic acids)	YajL		19028889;28596309;26678554	5SY4	FCFCBC	Defense mechanisms
111	FGCHFFMF_00107	CDS	249				hypothetical protein								
112	FGCHFFMF_00108	CDS	240				hypothetical protein								
113	FGCHFFMF_00109	CDS	1377	atoC_1		COG2204	Regulatory protein AtoC	T	DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains	AtoC			1ZY2	FCFCAC	Signal transduction mechanisms
114	FGCHFFMF_00110	CDS	1791	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA								
115	FGCHFFMF_00111	CDS	687	phoP		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP	T	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	OmpR			1XHF	FCFCAC	Signal transduction mechanisms
116	FGCHFFMF_00111	CDS	687	phoP		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP	K	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	OmpR			1XHF	FCDCEC	Transcription
117	FGCHFFMF_00112	CDS	942	dagK	2.7.1.107	COG1597	Diacylglycerol kinase	R	Phosphatidylglycerol kinase, diacylglycerol kinase family	LCB5		17351295	2BON	E0E0E0	General function prediction only
118	FGCHFFMF_00112	CDS	942	dagK	2.7.1.107	COG1597	Diacylglycerol kinase	I	Phosphatidylglycerol kinase, diacylglycerol kinase family	LCB5		17351295	2BON	DCCCFC	Lipid transport and metabolism
119	FGCHFFMF_00113	CDS	1161	phoR_1	2.7.13.3	COG0642	Alkaline phosphatase synthesis sensor protein PhoR	T	Signal transduction histidine kinase	BaeS			1JOY	FCFCAC	Signal transduction mechanisms
120	FGCHFFMF_00114	CDS	867				hypothetical protein								
121	FGCHFFMF_00115	CDS	696	sphR		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein SphR	T	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	OmpR			1XHF	FCFCAC	Signal transduction mechanisms
122	FGCHFFMF_00115	CDS	696	sphR		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein SphR	K	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	OmpR			1XHF	FCDCEC	Transcription
123	FGCHFFMF_00116	CDS	714	baeR		COG0745	Transcriptional regulatory protein BaeR	T	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	OmpR			1XHF	FCFCAC	Signal transduction mechanisms
124	FGCHFFMF_00116	CDS	714	baeR		COG0745	Transcriptional regulatory protein BaeR	K	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	OmpR			1XHF	FCDCEC	Transcription
125	FGCHFFMF_00117	CDS	537				hypothetical protein								
126	FGCHFFMF_00118	CDS	1284				hypothetical protein								
127	FGCHFFMF_00119	CDS	1035	pstS_1		COG0226	Phosphate-binding protein PstS	P	ABC-type phosphate transport system, periplasmic component	PstS			2Q9T	CCCCFC	Inorganic ion transport and metabolism
128	FGCHFFMF_00120	CDS	960	pstC		COG0573	Phosphate transport system permease protein PstC	P	ABC-type phosphate transport system, permease component	PstC				CCCCFC	Inorganic ion transport and metabolism
129	FGCHFFMF_00121	CDS	867	pstA		COG0581	Phosphate transport system permease protein PstA	P	ABC-type phosphate transport system, permease component	PstA				CCCCFC	Inorganic ion transport and metabolism
130	FGCHFFMF_00122	CDS	846	pstB	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB	P	ABC-type phosphate transport system, ATPase component	PstB				CCCCFC	Inorganic ion transport and metabolism
131	FGCHFFMF_00123	CDS	693	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU 	P	Phosphate uptake regulator PhoU	PhoU			1T8B	CCCCFC	Inorganic ion transport and metabolism
132	FGCHFFMF_00124	CDS	954	pstS_2		COG0226	Phosphate-binding protein PstS	P	ABC-type phosphate transport system, periplasmic component	PstS			2Q9T	CCCCFC	Inorganic ion transport and metabolism
133	FGCHFFMF_00125	CDS	864				hypothetical protein								
134	FGCHFFMF_00126	CDS	411				hypothetical protein								
135	FGCHFFMF_00127	CDS	1287				hypothetical protein								
136	FGCHFFMF_00128	CDS	1077				hypothetical protein								
137	FGCHFFMF_00129	CDS	672	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial								
138	FGCHFFMF_00130	CDS	744	ppm1_1		COG0815	Bifunctional apolipoprotein N-acyltransferase/polyprenol monophosphomannose synthase	M	Apolipoprotein N-acyltransferase	Lnt			6NWR	ECFCAC	Cell wall/membrane/envelope biogenesis
139	FGCHFFMF_00131	CDS	1314				hypothetical protein								
140	FGCHFFMF_00132	CDS	1032	pknD_1	2.7.11.1	COG0515	Serine/threonine-protein kinase PknD	T	Serine/threonine protein kinase	SPS1			6G4J	FCFCAC	Signal transduction mechanisms
141	FGCHFFMF_00133	CDS	960	pknD_2	2.7.11.1	COG0515	Serine/threonine-protein kinase PknD	T	Serine/threonine protein kinase	SPS1			6G4J	FCFCAC	Signal transduction mechanisms
142	FGCHFFMF_00134	CDS	2553				hypothetical protein								
143	FGCHFFMF_00135	CDS	2559				hypothetical protein								
144	FGCHFFMF_00136	CDS	507				hypothetical protein								
145	FGCHFFMF_00137	CDS	741	ppm1_2	2.4.1.-		Polyprenol monophosphomannose synthase								
146	FGCHFFMF_00138	CDS	567	lemA_1		COG1704	Protein LemA	M	Magnetosome formation protein MamQ, lipoprotein antigen LemA family	LemA		14638756;20212111;26884433	2ETD	ECFCAC	Cell wall/membrane/envelope biogenesis
147	FGCHFFMF_00139	CDS	741				hypothetical protein								
148	FGCHFFMF_00140	CDS	828				hypothetical protein								
149	FGCHFFMF_00141	CDS	4683				hypothetical protein								
150	FGCHFFMF_00142	CDS	891		2.4.2.45	COG0382	Decaprenyl-phosphate phosphoribosyltransferase	H	4-hydroxybenzoate polyprenyltransferase	UbiA	Ubiquinone biosynthesis	28830929	4OD4	DCDCFC	Coenzyme transport and metabolism
151	FGCHFFMF_00143	CDS	675				hypothetical protein								
152	FGCHFFMF_00144	CDS	1740				hypothetical protein								
153	FGCHFFMF_00145	CDS	1767				hypothetical protein								
154	FGCHFFMF_00146	CDS	351	rpoS			RNA polymerase sigma factor RpoS								
155	FGCHFFMF_00147	CDS	972				hypothetical protein								
156	FGCHFFMF_00148	CDS	621	algU_1		COG1595	RNA polymerase sigma-H factor	K	DNA-directed RNA polymerase specialized sigma subunit, sigma24 family	RpoE	RNA polymerase		2Q1Z	FCDCEC	Transcription
157	FGCHFFMF_00149	CDS	804				hypothetical protein								
158	FGCHFFMF_00150	CDS	1341	accC	6.3.4.14	COG0439	Biotin carboxylase	I	Biotin carboxylase	AccC	Fatty acid biosynthesis		1BNC	DCCCFC	Lipid transport and metabolism
159	FGCHFFMF_00151	CDS	513	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase	I	Biotin carboxyl carrier protein	AccB	Fatty acid biosynthesis		1A6X	DCCCFC	Lipid transport and metabolism
160	FGCHFFMF_00152	CDS	564	efp		COG0231	Elongation factor P	J	Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)	Efp	Translation factors		1UEB	FCCCFC	Translation, ribosomal structure and biogenesis
161	FGCHFFMF_00153	CDS	1071	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF	E	Xaa-Pro aminopeptidase	PepP			1A16	DCFCFC	Amino acid transport and metabolism
162	FGCHFFMF_00154	CDS	1668				hypothetical protein								
163	FGCHFFMF_00155	CDS	1638	ybiT		COG0488	putative ABC transporter ATP-binding protein YbiT	R	ATPase components of ABC transporters with duplicated ATPase domains	Uup			5ZXD	E0E0E0	General function prediction only
164	FGCHFFMF_00156	CDS	2295				hypothetical protein								
165	FGCHFFMF_00157	CDS	672	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase	J	7-cyano-7-deazaguanine synthase (queuosine biosynthesis)	QueC	tRNA modification	14660578;17384645	2PG3	FCCCFC	Translation, ribosomal structure and biogenesis
166	FGCHFFMF_00158	CDS	657				hypothetical protein								
167	FGCHFFMF_00159	CDS	792	queE_1	4.3.99.3	COG0602	7-carboxy-7-deazaguanine synthase	H	Organic radical activating enzyme NrdG/QueE	QueE	tRNA modification	14660578;17384645		DCDCFC	Coenzyme transport and metabolism
168	FGCHFFMF_00160	CDS	648	gloC	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC	R	Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II	GloB		25670698	1QH3	E0E0E0	General function prediction only
169	FGCHFFMF_00161	tRNA	92				tRNA-Ser(gct)								
170	FGCHFFMF_00162	CDS	1029				hypothetical protein								
171	FGCHFFMF_00163	CDS	627				hypothetical protein								
172	FGCHFFMF_00164	CDS	1773	phoR_2	2.7.13.3	COG0642	Alkaline phosphatase synthesis sensor protein PhoR	T	Signal transduction histidine kinase	BaeS			1JOY	FCFCAC	Signal transduction mechanisms
173	FGCHFFMF_00165	CDS	723	livF		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF	E	ABC-type branched-chain amino acid transport system, ATPase component LivF	LivF		26527648;32250026	1JI0	DCFCFC	Amino acid transport and metabolism
174	FGCHFFMF_00166	CDS	783	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB	M	ABC-type lipopolysaccharide export system, ATPase component	LptB		12029038	5L75	ECFCAC	Cell wall/membrane/envelope biogenesis
175	FGCHFFMF_00167	CDS	981				hypothetical protein								
176	FGCHFFMF_00168	CDS	906	livH		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH	E	Branched-chain amino acid ABC-type transport system, permease component	LivH				DCFCFC	Amino acid transport and metabolism
177	FGCHFFMF_00169	CDS	2667				hypothetical protein								
178	FGCHFFMF_00170	CDS	1071	ccpA_1		COG1609	Catabolite control protein A	K	DNA-binding transcriptional regulator, LacI/PurR family	PurR			1BDH	FCDCEC	Transcription
179	FGCHFFMF_00171	CDS	1140				hypothetical protein								
180	FGCHFFMF_00172	CDS	1224				hypothetical protein								
181	FGCHFFMF_00173	CDS	591				hypothetical protein								
182	FGCHFFMF_00174	CDS	552	sigW_1		COG1595	ECF RNA polymerase sigma factor SigW	K	DNA-directed RNA polymerase specialized sigma subunit, sigma24 family	RpoE	RNA polymerase		2Q1Z	FCDCEC	Transcription
183	FGCHFFMF_00175	CDS	630				hypothetical protein								
184	FGCHFFMF_00176	CDS	342				hypothetical protein								
185	FGCHFFMF_00177	CDS	1338				hypothetical protein								
186	FGCHFFMF_00178	CDS	1242	htpX_1	3.4.24.-		Protease HtpX								
187	FGCHFFMF_00179	CDS	2178	glnA_1	6.3.1.2		Glutamine synthetase								
188	FGCHFFMF_00180	CDS	2193	glgB	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB	G	1,4-alpha-glucan branching enzyme	GlgB		25871919	4LPC	CCFCFC	Carbohydrate transport and metabolism
189	FGCHFFMF_00181	CDS	624				hypothetical protein								
190	FGCHFFMF_00182	CDS	2244				hypothetical protein								
191	FGCHFFMF_00183	CDS	1272				hypothetical protein								
192	FGCHFFMF_00184	CDS	1239				hypothetical protein								
193	FGCHFFMF_00185	CDS	1125	rip3		COG0517	Putative zinc metalloprotease Rip3	T	CBS domain	CBS			1B3O	FCFCAC	Signal transduction mechanisms
194	FGCHFFMF_00186	CDS	2199				hypothetical protein								
195	FGCHFFMF_00187	CDS	354				hypothetical protein								
196	FGCHFFMF_00188	CDS	681				hypothetical protein								
197	FGCHFFMF_00189	CDS	486				hypothetical protein								
198	FGCHFFMF_00190	CDS	1032				hypothetical protein								
199	FGCHFFMF_00191	CDS	1770				hypothetical protein								
200	FGCHFFMF_00192	tRNA	76				tRNA-Met(cat)								
201	FGCHFFMF_00193	CDS	159				hypothetical protein								
202	FGCHFFMF_00194	CDS	912	rhaS			HTH-type transcriptional activator RhaS								
203	FGCHFFMF_00195	CDS	411				hypothetical protein								
204	FGCHFFMF_00196	CDS	1056	adhC	1.1.1.2	COG1064	NADP-dependent alcohol dehydrogenase C	G	D-arabinose 1-dehydrogenase, Zn-dependent alcohol dehydrogenase family	AdhP			5O8Q	CCFCFC	Carbohydrate transport and metabolism
