	seqname	contigLen	totalAvgDepth	29a45e09-e5c8-45c0-9213-0cc1e124c5aa.inter.fastq.sam.sorted.bam	29a45e09-e5c8-45c0-9213-0cc1e124c5aa.inter.fastq.sam.sorted.bam-var	bin	%GC	bin_y	dsDNAphage	ssDNA	lavidaviridae	NCLDV	max_score	max_score_group	length	hallmark	viral	cellular	full-partial
14967	NODE_14968_length_6789_cov_2.956786	6789	4.70959	4.70959	3.43719	bin.002	30.0	bin.002	0.427	0.3	0.88	0.74	0.88	lavidaviridae	6724.0	0.0	11.1	0.0	|full
15235	NODE_15236_length_6729_cov_2.788133	6729	4.44308	4.44308	4.16506	bin.002	30.0							Bacteria?					
15879	NODE_15880_length_6572_cov_3.378855	6572	5.36313	5.36313	5.0212	bin.002	33.0	bin.002	0.507	0.2	0.953	0.38	0.953	lavidaviridae	6358.0	0.0	28.6	0.0	|full
16801	NODE_16802_length_6371_cov_2.932711	6371	4.60537	4.60537	5.82204	bin.002	30.0	bin.002	0.12	0.04	0.707	0.96	0.96	NCLDV	6357.0	0.0	10.0	0.0	|full
17079	NODE_17080_length_6323_cov_3.428366	6323	5.503	5.503	5.90397	bin.002	32.0							Bacteria?					
17214	NODE_17215_length_6295_cov_3.184936	6295	5.06054	5.06054	4.89202	bin.002	31.0							Bacteria?					
17979	NODE_17980_length_6151_cov_2.868766	6151	4.50308	4.50308	5.04763	bin.002	35.0	bin.002	0.673	0.013	0.433	0.86	0.86	NCLDV	6137.0	0.0	14.3	0.0	|full
19397	NODE_19398_length_5911_cov_2.895492	5911	4.59972	4.59972	3.63908	bin.002	33.0							Bacteria?					
20779	NODE_20780_length_5698_cov_3.446571	5698	5.28371	5.28371	5.51715	bin.002	31.0							Bacteria?					
22756	NODE_22757_length_5423_cov_3.069672	5423	4.86118	4.86118	4.04567	bin.002	31.0							Bacteria?					
23857	NODE_23858_length_5289_cov_3.402178	5289	5.43802	5.43802	6.76553	bin.002	31.0							Bacteria?					
24741	NODE_24742_length_5190_cov_3.173126	5190	5.04087	5.04087	3.34702	bin.002	33.0	bin.002	0.2	0.053	0.767	0.867	0.867	NCLDV	5189.0	0.0	33.3	0.0	|full
25284	NODE_25285_length_5130_cov_3.026601	5130	4.81446	4.81446	4.58356	bin.002	32.0							Bacteria?					
26553	NODE_26554_length_5004_cov_2.962215	5004	4.69242	4.69242	6.37665	bin.002	34.0	bin.002	0.447	0.153	0.813	0.7	0.813	lavidaviridae	4895.0	0.0	14.3	0.0	|full
2226	NODE_2227_length_19361_cov_4.155030	19361	6.60278	6.60278	5.90769	bin.003	45.0							Bacteria?					
2469	NODE_2470_length_18327_cov_3.540773	18327	5.63531	5.63531	6.13296	bin.003	47.0							Bacteria?					
2584	NODE_2585_length_17891_cov_3.941691	17891	6.2479	6.2479	8.22252	bin.003	48.0							Bacteria?					
2940	NODE_2941_length_16790_cov_3.705169	16790	5.89183	5.89183	7.17295	bin.003	46.0							Bacteria?					
3012	NODE_3013_length_16550_cov_4.080934	16550	6.40018	6.40018	6.14123	bin.003	46.0							Bacteria?					
3602	NODE_3603_length_14942_cov_4.034997	14942	6.43375	6.43375	6.82795	bin.003	49.0							Bacteria?					
3610	NODE_3611_length_14927_cov_3.811189	14927	6.09488	6.09488	6.45524	bin.003	48.0							Bacteria?					
3611	NODE_3612_length_14927_cov_3.691165	14927	5.85166	5.85166	5.93859	bin.003	46.0							Bacteria?					
3624	NODE_3625_length_14900_cov_3.382957	14900	5.38922	5.38922	4.3036	bin.003	48.0							Bacteria?					
3689	NODE_3690_length_14740_cov_3.802111	14740	6.02975	6.02975	6.35919	bin.003	50.0							Bacteria?					
3847	NODE_3848_length_14396_cov_4.064640	14396	6.40608	6.40608	5.7437	bin.003	51.0							Bacteria?					
3963	NODE_3964_length_14180_cov_3.618690	14180	5.83371	5.83371	5.8211	bin.003	46.0							Bacteria?					
4111	NODE_4112_length_13908_cov_4.345846	13908	6.91983	6.91983	9.22576	bin.003	49.0							Bacteria?					
4556	NODE_4557_length_13099_cov_3.942502	13099	6.20457	6.20457	5.93737	bin.003	49.0							Bacteria?					
5314	NODE_5315_length_12080_cov_3.818628	12080	6.09455	6.09455	6.47283	bin.003	49.0							Bacteria?					
5528	NODE_5529_length_11815_cov_3.959609	11815	6.27252	6.27252	8.8033	bin.003	51.0							Bacteria?					
5577	NODE_5578_length_11764_cov_4.050645	11764	6.43206	6.43206	5.39949	bin.003	49.0							Bacteria?					
5752	NODE_5753_length_11560_cov_3.818948	11560	6.0624	6.0624	5.40537	bin.003	49.0							Bacteria?					
6074	NODE_6075_length_11209_cov_4.065358	11209	6.46071	6.46071	7.11011	bin.003	48.0							Bacteria?					
6451	NODE_6452_length_10863_cov_4.229275	10863	6.54868	6.54868	10.6138	bin.003	45.0							Bacteria?					
6631	NODE_6632_length_10683_cov_4.190534	10683	6.60629	6.60629	5.96408	bin.003	51.0							Bacteria?					
6641	NODE_6642_length_10677_cov_3.793071	10677	6.04313	6.04313	8.71056	bin.003	46.0							Bacteria?					
6991	NODE_6992_length_10372_cov_4.201318	10372	6.69761	6.69761	7.37326	bin.003	48.0							Bacteria?					
7013	NODE_7014_length_10348_cov_3.903721	10348	6.20926	6.20926	7.8213	bin.003	46.0							Bacteria?					
7360	NODE_7361_length_10071_cov_3.752396	10071	5.87017	5.87017	9.4433	bin.003	49.0							Bacteria?					
7448	NODE_7449_length_10002_cov_3.627224	10002	5.75102	5.75102	6.87013	bin.003	48.0							Bacteria?					
7558	NODE_7559_length_9913_cov_3.726922	9913	5.88774	5.88774	6.06992	bin.003	48.0							Bacteria?					
7561	NODE_7562_length_9909_cov_3.899635	9909	6.19152	6.19152	7.57866	bin.003	47.0							Bacteria?					
7711	NODE_7712_length_9798_cov_4.123884	9798	6.36225	6.36225	6.58796	bin.003	49.0	bin.003	0.2	0.047	0.3	0.847	0.847	NCLDV	6727.0	0.0	33.3	0.0	|full
7995	NODE_7996_length_9595_cov_3.766562	9595	6.03261	6.03261	7.4883	bin.003	48.0							Bacteria?					
8445	NODE_8446_length_9316_cov_3.844509	9316	6.04768	6.04768	6.72806	bin.003	48.0							Bacteria?					
8462	NODE_8463_length_9306_cov_3.777970	9306	5.98973	5.98973	6.95892	bin.003	47.0							Bacteria?					
8716	NODE_8717_length_9157_cov_3.976928	9157	6.32786	6.32786	5.36722	bin.003	47.0							Bacteria?					
8719	NODE_8720_length_9156_cov_3.979123	9156	6.36842	6.36842	8.64478	bin.003	45.0							Bacteria?					
8843	NODE_8844_length_9080_cov_4.067922	9080	6.44367	6.44367	7.07669	bin.003	47.0							Bacteria?					
9472	NODE_9473_length_8731_cov_4.079530	8731	6.40625	6.40625	6.68756	bin.003	47.0							Bacteria?					
9613	NODE_9614_length_8652_cov_4.141794	8652	6.61009	6.61009	12.2475	bin.003	45.0							Bacteria?					
10689	NODE_10690_length_8134_cov_3.306350	8134	5.39041	5.39041	5.99551	bin.003	48.0							Bacteria?					
10927	NODE_10928_length_8034_cov_3.857877	8034	6.1262	6.1262	8.10309	bin.003	48.0							Bacteria?					
11159	NODE_11160_length_7937_cov_3.732048	7937	5.96969	5.96969	8.97369	bin.003	48.0							Bacteria?					
11301	NODE_11302_length_7872_cov_3.275297	7872	5.115	5.115	5.95032	bin.003	48.0							Bacteria?					
11538	NODE_11539_length_7800_cov_3.745771	7800	5.98471	5.98471	5.73601	bin.003	50.0							Bacteria?					
14134	NODE_14135_length_6990_cov_3.950541	6990	6.32412	6.32412	9.16641	bin.003	50.0							Bacteria?					
14192	NODE_14193_length_6976_cov_4.180465	6976	6.65544	6.65544	8.37908	bin.003	44.0							Bacteria?					
14346	NODE_14347_length_6942_cov_3.403804	6942	5.42638	5.42638	4.83561	bin.003	52.0							Bacteria?					
15992	NODE_15993_length_6548_cov_3.977206	6548	6.28587	6.28587	5.70271	bin.003	46.0							Bacteria?					
16619	NODE_16620_length_6406_cov_3.402299	6406	5.46771	5.46771	8.00425	bin.003	45.0							Bacteria?					
17363	NODE_17364_length_6265_cov_3.669565	6265	5.8211	5.8211	7.21369	bin.003	47.0							Bacteria?					
18661	NODE_18662_length_6032_cov_4.180358	6032	6.74804	6.74804	7.55239	bin.003	48.0	bin.003	0.087	0.0	0.18	0.58	0.58	NCLDV	5901.0	0.0	25.0	0.0	|full
18754	NODE_18755_length_6015_cov_3.186913	6015	5.07928	5.07928	7.83569	bin.003	48.0							Bacteria?					
19352	NODE_19353_length_5917_cov_3.883828	5917	6.26444	6.26444	7.59697	bin.003	47.0							Bacteria?					
19845	NODE_19846_length_5840_cov_3.866206	5840	6.19086	6.19086	6.73309	bin.003	46.0							Bacteria?					
20043	NODE_20044_length_5809_cov_3.828815	5809	6.05284	6.05284	6.75253	bin.003	45.0							Bacteria?					
20196	NODE_20197_length_5787_cov_3.917655	5787	6.33795	6.33795	5.70629	bin.003	45.0							Bacteria?					
20242	NODE_20243_length_5781_cov_3.976249	5781	6.40153	6.40153	5.37459	bin.003	47.0							Bacteria?					
20297	NODE_20298_length_5774_cov_3.820423	5774	6.01067	6.01067	8.08913	bin.003	48.0							Bacteria?					
21026	NODE_21027_length_5662_cov_3.789905	5662	5.96861	5.96861	5.39607	bin.003	51.0							Bacteria?					
22294	NODE_22295_length_5487_cov_3.403903	5487	5.45007	5.45007	5.63289	bin.003	50.0							Bacteria?					
24948	NODE_24949_length_5169_cov_4.065702	5169	6.50747	6.50747	6.83519	bin.003	48.0							Bacteria?					
362	NODE_363_length_47168_cov_4.733534	47168	7.34551	7.34551	9.84694	bin.004	47.0							Bacteria?					
410	NODE_411_length_44561_cov_5.043298	44561	7.75806	7.75806	7.73198	bin.004	46.0							Bacteria?					
716	NODE_717_length_35699_cov_4.565088	35699	7.18729	7.18729	9.30884	bin.004	46.0							Bacteria?					
974	NODE_975_length_30117_cov_4.701683	30117	7.43314	7.43314	8.68352	bin.004	46.0							Bacteria?					
1124	NODE_1125_length_27973_cov_4.791962	27973	7.52996	7.52996	8.18317	bin.004	47.0							Bacteria?					
1418	NODE_1419_length_24342_cov_4.835344	24342	7.60404	7.60404	8.38278	bin.004	46.0							Bacteria?					
1518	NODE_1519_length_23438_cov_4.503828	23438	6.90214	6.90214	8.65663	bin.004	46.0							Bacteria?					
1528	NODE_1529_length_23349_cov_4.466429	23349	6.96564	6.96564	8.15484	bin.004	46.0							Bacteria?					
1763	NODE_1764_length_21815_cov_4.690211	21815	7.48714	7.48714	7.74599	bin.004	46.0							Bacteria?					
1834	NODE_1835_length_21400_cov_4.829562	21400	7.59021	7.59021	8.52868	bin.004	46.0							Bacteria?					
1844	NODE_1845_length_21356_cov_4.336745	21356	6.87235	6.87235	6.93096	bin.004	45.0							Bacteria?					
1896	NODE_1897_length_21002_cov_4.585764	21002	7.19797	7.19797	9.69604	bin.004	45.0							Bacteria?					
1946	NODE_1947_length_20728_cov_4.920718	20728	7.75493	7.75493	9.04445	bin.004	46.0							Bacteria?					
1999	NODE_2000_length_20495_cov_4.861204	20495	7.33433	7.33433	8.0071	bin.004	44.0							Bacteria?					
2027	NODE_2028_length_20297_cov_4.913941	20297	7.67916	7.67916	7.27293	bin.004	45.0							Bacteria?					
2075	NODE_2076_length_20019_cov_4.278050	20019	6.82173	6.82173	7.69	bin.004	46.0							Bacteria?					
2098	NODE_2099_length_19910_cov_4.510652	19910	7.06533	7.06533	9.03522	bin.004	46.0							Bacteria?					
2346	NODE_2347_length_18807_cov_4.738695	18807	7.449	7.449	8.77055	bin.004	46.0							Bacteria?					
2405	NODE_2406_length_18616_cov_4.784925	18616	7.61074	7.61074	8.5797	bin.004	46.0							Bacteria?					
2718	NODE_2719_length_17420_cov_4.705500	17420	7.46207	7.46207	9.1046	bin.004	46.0							Bacteria?					
2784	NODE_2785_length_17289_cov_4.433562	17289	6.95706	6.95706	7.72955	bin.004	46.0							Bacteria?					
3072	NODE_3073_length_16365_cov_4.631821	16365	7.07758	7.07758	8.65144	bin.004	47.0							Bacteria?					
3169	NODE_3170_length_16023_cov_4.680611	16023	7.42153	7.42153	7.46891	bin.004	46.0							Bacteria?					
3218	NODE_3219_length_15912_cov_4.413130	15912	6.97221	6.97221	7.62119	bin.004	46.0							Bacteria?					
3235	NODE_3236_length_15877_cov_4.835103	15877	7.63401	7.63401	9.883	bin.004	47.0							Bacteria?					
3263	NODE_3264_length_15809_cov_4.812111	15809	7.42365	7.42365	8.47586	bin.004	47.0							Bacteria?					
3308	NODE_3309_length_15685_cov_4.386948	15685	6.92379	6.92379	7.20108	bin.004	46.0							Bacteria?					
3463	NODE_3464_length_15292_cov_4.813677	15292	7.60217	7.60217	9.85808	bin.004	48.0							Bacteria?					
3655	NODE_3656_length_14822_cov_4.463601	14822	7.00859	7.00859	6.95064	bin.004	46.0							Bacteria?					
3882	NODE_3883_length_14327_cov_4.637052	14327	7.3342	7.3342	8.66057	bin.004	46.0							Bacteria?					
3980	NODE_3981_length_14151_cov_5.824844	14151	9.19699	9.19699	13.454	bin.004	42.0							Bacteria?					
3981	NODE_3982_length_14148_cov_4.712978	14148	7.40506	7.40506	9.56229	bin.004	45.0							Bacteria?					
4007	NODE_4008_length_14107_cov_4.852192	14107	7.65028	7.65028	8.32298	bin.004	46.0							Bacteria?					
4011	NODE_4012_length_14096_cov_4.672246	14096	7.23591	7.23591	8.43725	bin.004	46.0							Bacteria?					
4038	NODE_4039_length_14031_cov_4.879794	14031	7.74274	7.74274	10.207	bin.004	46.0							Bacteria?					
4310	NODE_4311_length_13560_cov_4.784376	13560	7.58106	7.58106	8.20053	bin.004	46.0							Bacteria?					
4311	NODE_4312_length_13558_cov_4.900393	13558	7.74403	7.74403	7.95483	bin.004	46.0							Bacteria?					
4365	NODE_4366_length_13447_cov_4.361335	13447	6.92367	6.92367	7.53122	bin.004	48.0							Bacteria?					
4585	NODE_4586_length_13047_cov_4.427571	13047	7.02132	7.02132	7.07394	bin.004	46.0							Bacteria?					
4590	NODE_4591_length_13035_cov_5.122958	13035	8.11859	8.11859	12.1707	bin.004	46.0							Bacteria?					
4641	NODE_4642_length_12959_cov_4.841909	12959	7.50066	7.50066	11.4483	bin.004	46.0							Bacteria?					
4814	NODE_4815_length_12708_cov_4.842804	12708	7.67789	7.67789	8.7843	bin.004	46.0							Bacteria?					
4874	NODE_4875_length_12626_cov_4.321931	12626	6.78895	6.78895	7.86713	bin.004	46.0							Bacteria?					
4915	NODE_4916_length_12560_cov_4.948900	12560	7.40113	7.40113	6.90126	bin.004	45.0							Bacteria?					
5101	NODE_5102_length_12325_cov_4.595029	12325	6.81175	6.81175	11.8704	bin.004	47.0							Bacteria?					
5172	NODE_5173_length_12253_cov_4.912691	12253	7.85747	7.85747	9.17591	bin.004	46.0							Bacteria?					
5193	NODE_5194_length_12232_cov_4.645233	12232	7.42096	7.42096	7.7162	bin.004	46.0							Bacteria?					
5241	NODE_5242_length_12172_cov_4.186597	12172	6.70704	6.70704	8.21791	bin.004	45.0							Bacteria?					
5255	NODE_5256_length_12154_cov_4.877180	12154	7.61854	7.61854	7.33791	bin.004	47.0							Bacteria?					
5326	NODE_5327_length_12053_cov_4.404651	12053	6.98169	6.98169	8.02189	bin.004	46.0							Bacteria?					
5359	NODE_5360_length_12013_cov_4.425322	12013	7.04063	7.04063	6.35154	bin.004	47.0							Bacteria?					
5673	NODE_5674_length_11644_cov_4.321512	11644	6.80973	6.80973	8.58531	bin.004	47.0							Bacteria?					
5678	NODE_5679_length_11637_cov_4.872043	11637	7.63141	7.63141	9.06156	bin.004	45.0							Bacteria?					
6112	NODE_6113_length_11175_cov_5.118975	11175	7.94113	7.94113	11.2821	bin.004	45.0							Bacteria?					
6204	NODE_6205_length_11089_cov_5.095070	11089	8.06125	8.06125	9.22922	bin.004	45.0							Bacteria?					
6208	NODE_6209_length_11085_cov_4.932276	11085	7.8235	7.8235	11.3361	bin.004	44.0							Bacteria?					
6293	NODE_6294_length_11007_cov_4.919102	11007	7.27917	7.27917	9.10013	bin.004	48.0							Bacteria?					
6309	NODE_6310_length_10995_cov_4.800640	10995	7.59484	7.59484	8.41591	bin.004	45.0							Bacteria?					
6740	NODE_6741_length_10602_cov_4.045226	10602	6.37897	6.37897	7.58223	bin.004	45.0							Bacteria?					
6889	NODE_6890_length_10455_cov_4.646538	10455	7.26036	7.26036	8.38407	bin.004	47.0							Bacteria?					
7026	NODE_7027_length_10337_cov_4.851002	10337	7.68489	7.68489	8.96072	bin.004	47.0							Bacteria?					
7258	NODE_7259_length_10166_cov_4.521017	10166	7.14866	7.14866	8.41294	bin.004	47.0							Bacteria?					
7414	NODE_7415_length_10036_cov_4.418696	10036	6.82116	6.82116	6.33074	bin.004	47.0	bin.004	0.1	0.007	0.0	0.533	0.533	NCLDV	9910.0	0.0	25.0	12.5	|full
7744	NODE_7745_length_9772_cov_4.762787	9772	7.47963	7.47963	8.5226	bin.004	46.0							Bacteria?					
7880	NODE_7881_length_9677_cov_4.806069	9677	7.60995	7.60995	8.3561	bin.004	44.0							Bacteria?					
7973	NODE_7974_length_9605_cov_4.486702	9605	7.11856	7.11856	9.4427	bin.004	47.0	bin.004	0.533	0.033	0.173	0.2	0.533	dsDNAphage	9358.0	0.0	10.0	0.0	|full
8160	NODE_8161_length_9478_cov_4.750080	9478	7.52144	7.52144	9.79307	bin.004	48.0							Bacteria?					
8316	NODE_8317_length_9385_cov_4.674598	9385	7.41797	7.41797	9.74191	bin.004	46.0							Bacteria?					
8466	NODE_8467_length_9303_cov_4.283629	9303	6.80629	6.80629	10.2459	bin.004	44.0							Bacteria?					
8705	NODE_8706_length_9162_cov_5.484572	9162	8.67155	8.67155	10.2173	bin.004	50.0							Bacteria?					
9075	NODE_9076_length_8947_cov_4.721885	8947	7.48869	7.48869	9.93479	bin.004	48.0							Bacteria?					
9585	NODE_9586_length_8664_cov_4.710071	8664	7.37245	7.37245	8.72205	bin.004	47.0							Bacteria?					
9603	NODE_9604_length_8656_cov_4.679688	8656	7.48107	7.48107	9.25795	bin.004	47.0							Bacteria?					
9671	NODE_9672_length_8627_cov_5.250467	8627	8.23676	8.23676	10.3597	bin.004	45.0	bin.004	0.513	0.013	0.28	0.153	0.513	dsDNAphage	8033.0	0.0	12.5	0.0	|full
9913	NODE_9914_length_8509_cov_4.322096	8509	6.80787	6.80787	5.92738	bin.004	50.0							Bacteria?					
10202	NODE_10203_length_8364_cov_4.608376	8364	7.25883	7.25883	8.42361	bin.004	46.0							Bacteria?					
10223	NODE_10224_length_8355_cov_4.932410	8355	7.78026	7.78026	7.70875	bin.004	44.0							Bacteria?					
10385	NODE_10386_length_8281_cov_4.850109	8281	7.26528	7.26528	10.5333	bin.004	45.0							Bacteria?					
10921	NODE_10922_length_8035_cov_3.927569	8035	6.30133	6.30133	7.40702	bin.004	45.0							Bacteria?					
11453	NODE_11454_length_7820_cov_5.069800	7820	8.01082	8.01082	9.59765	bin.004	47.0							Bacteria?					
11981	NODE_11982_length_7643_cov_4.350685	7643	6.90017	6.90017	7.70083	bin.004	47.0							Bacteria?					
12548	NODE_12549_length_7446_cov_5.000812	7446	7.91132	7.91132	11.4338	bin.004	45.0							Bacteria?					
13313	NODE_13314_length_7219_cov_4.360274	7219	6.98345	6.98345	8.52116	bin.004	45.0							Bacteria?					
13950	NODE_13951_length_7043_cov_4.085289	7043	6.58654	6.58654	9.78776	bin.004	49.0							Bacteria?					
14088	NODE_14089_length_7002_cov_4.686052	7002	7.39915	7.39915	9.91437	bin.004	46.0							Bacteria?					
14660	NODE_14661_length_6863_cov_4.816833	6863	7.56234	7.56234	6.71674	bin.004	47.0							Bacteria?					
14955	NODE_14956_length_6792_cov_4.739944	6792	7.46989	7.46989	7.00777	bin.004	47.0							Bacteria?					
15091	NODE_15092_length_6759_cov_4.772822	6759	7.66228	7.66228	10.0204	bin.004	48.0	bin.004	0.153	0.007	0.113	0.593	0.593	NCLDV	6469.0	0.0	33.3	16.7	|full
15187	NODE_15188_length_6738_cov_4.024091	6738	6.40999	6.40999	8.12368	bin.004	48.0							Bacteria?					
16144	NODE_16145_length_6515_cov_4.225387	6515	6.75805	6.75805	8.71336	bin.004	46.0							Bacteria?					
16611	NODE_16612_length_6409_cov_4.973245	6409	7.91644	7.91644	6.93654	bin.004	45.0							Bacteria?					
17928	NODE_17929_length_6160_cov_5.144963	6160	8.19118	8.19118	10.4698	bin.004	46.0							Bacteria?					
18510	NODE_18511_length_6059_cov_5.171719	6059	7.87257	7.87257	7.60201	bin.004	46.0							Bacteria?					
18649	NODE_18650_length_6034_cov_4.320957	6034	6.63171	6.63171	9.12636	bin.004	45.0							Bacteria?					
18785	NODE_18786_length_6009_cov_4.364125	6009	6.85322	6.85322	6.42643	bin.004	47.0							Bacteria?					
18850	NODE_18851_length_5998_cov_4.840989	5998	7.58447	7.58447	10.4647	bin.004	41.0							Bacteria?					
19084	NODE_19085_length_5961_cov_4.480190	5961	7.16056	7.16056	8.85496	bin.004	49.0	bin.004	0.38	0.053	0.267	0.553	0.553	NCLDV	5780.0	0.0	60.0	20.0	|full
19412	NODE_19413_length_5908_cov_4.480608	5908	7.11636	7.11636	13.3894	bin.004	47.0							Bacteria?					
19472	NODE_19473_length_5901_cov_5.202874	5901	8.18327	8.18327	10.0009	bin.004	47.0							Bacteria?					
20106	NODE_20107_length_5799_cov_4.686281	5799	7.54452	7.54452	15.977	bin.004	47.0	bin.004	0.5	0.1	0.46	0.82	0.82	NCLDV	5711.0	0.0	60.0	0.0	|full
20133	NODE_20134_length_5795_cov_4.516376	5795	7.06306	7.06306	8.91703	bin.004	47.0							Bacteria?					
20332	NODE_20333_length_5770_cov_4.440770	5770	7.0952	7.0952	10.7731	bin.004	47.0							Bacteria?					
20862	NODE_20863_length_5685_cov_4.536412	5685	7.28799	7.28799	6.98032	bin.004	48.0							Bacteria?					
21074	NODE_21075_length_5655_cov_5.632679	5655	8.48156	8.48156	8.98221	bin.004	45.0							Bacteria?					
21200	NODE_21201_length_5637_cov_4.052132	5637	6.47986	6.47986	7.59785	bin.004	48.0							Bacteria?					
22897	NODE_22898_length_5407_cov_4.926196	5407	7.85391	7.85391	7.796	bin.004	45.0							Bacteria?					
23397	NODE_23398_length_5346_cov_4.822340	5346	7.68033	7.68033	7.43642	bin.004	44.0							Bacteria?					
23433	NODE_23434_length_5341_cov_4.381952	5341	6.89077	6.89077	6.84374	bin.004	45.0	bin.004	0.273	0.047	0.333	0.66	0.66	NCLDV	5149.0	0.0	28.6	0.0	|full
25956	NODE_25957_length_5060_cov_4.573227	5060	7.20102	7.20102	8.84704	bin.004	46.0							Bacteria?					
25980	NODE_25981_length_5058_cov_4.802119	5058	7.72372	7.72372	10.6166	bin.004	43.0							Bacteria?					
39	NODE_40_length_96851_cov_5.436278	96851	8.54536	8.54536	10.1736	bin.005	44.0							Bacteria?					
71	NODE_72_length_80387_cov_5.546669	80387	8.69626	8.69626	10.6925	bin.005	46.0							Bacteria?					
98	NODE_99_length_74084_cov_5.557592	74084	8.7117	8.7117	9.93208	bin.005	46.0							Bacteria?					
140	NODE_141_length_67078_cov_5.514644	67078	8.67704	8.67704	10.7363	bin.005	47.0							Bacteria?					
240	NODE_241_length_53859_cov_5.150491	53859	8.08848	8.08848	10.4595	bin.005	46.0							Bacteria?					
280	NODE_281_length_51174_cov_5.510828	51174	8.61336	8.61336	10.8858	bin.005	45.0							Bacteria?					
291	NODE_292_length_50649_cov_5.413903	50649	8.54041	8.54041	10.2445	bin.005	44.0							Bacteria?					
415	NODE_416_length_44413_cov_5.689571	44413	8.90421	8.90421	10.0333	bin.005	45.0							Bacteria?					
488	NODE_489_length_42056_cov_5.528154	42056	8.6328	8.6328	9.12268	bin.005	45.0							Bacteria?					
608	NODE_609_length_38603_cov_5.616219	38603	8.8708	8.8708	9.34761	bin.005	44.0							Bacteria?					
638	NODE_639_length_37743_cov_5.272315	37743	8.2618	8.2618	9.18355	bin.005	43.0							Bacteria?					
653	NODE_654_length_37212_cov_5.703367	37212	8.58575	8.58575	12.6745	bin.005	48.0							Bacteria?					
668	NODE_669_length_36807_cov_5.509714	36807	8.67542	8.67542	9.57957	bin.005	46.0							Bacteria?					
691	NODE_692_length_36387_cov_6.013211	36387	9.38262	9.38262	10.9843	bin.005	45.0							Bacteria?					
873	NODE_874_length_31919_cov_5.376475	31919	8.42167	8.42167	10.5879	bin.005	47.0							Bacteria?					
900	NODE_901_length_31314_cov_5.599539	31314	8.75263	8.75263	10.4544	bin.005	45.0							Bacteria?					
1036	NODE_1037_length_29135_cov_5.437208	29135	8.56095	8.56095	10.2519	bin.005	47.0							Bacteria?					
