	seqname	contigLen	totalAvgDepth	2c11f2d7-e513-4790-bed2-3d20f1d9d7cd.inter.fastq.sam.sorted.bam	2c11f2d7-e513-4790-bed2-3d20f1d9d7cd.inter.fastq.sam.sorted.bam-var	bin	%GC	bin_y	dsDNAphage	ssDNA	lavidaviridae	NCLDV	max_score	max_score_group	length	hallmark	viral	cellular	full-partial
25661	NODE_25662_length_5418_cov_3.372553	5418	5.16002	5.16002	5.52918	bin.001	55.0							Bacteria?					
26289	NODE_26290_length_5335_cov_2.863636	5335	4.64436	4.64436	3.48658	bin.001	56.0							Bacteria?					
26413	NODE_26414_length_5320_cov_3.369611	5320	5.37021	5.37021	5.24801	bin.001	54.0	bin.001	0.193	0.0	0.333	0.847	0.847	NCLDV	5102.0	0.0	25.0	0.0	|full
26516	NODE_26517_length_5306_cov_2.970101	5306	4.705	4.705	4.80751	bin.001	55.0							Bacteria?					
26635	NODE_26636_length_5291_cov_3.249045	5291	5.00058	5.00058	6.27919	bin.001	56.0							Bacteria?					
26668	NODE_26669_length_5287_cov_2.589258	5287	4.02647	4.02647	4.45744	bin.001	56.0							Bacteria?					
27034	NODE_27035_length_5238_cov_3.100907	5238	5.01435	5.01435	4.92892	bin.001	54.0							Bacteria?					
27925	NODE_27926_length_5124_cov_2.536200	5124	4.04483	4.04483	2.67465	bin.001	54.0							Bacteria?					
28541	NODE_28542_length_5057_cov_3.249900	5057	5.18586	5.18586	5.23978	bin.001	55.0							Bacteria?					
28575	NODE_28576_length_5053_cov_2.665866	5053	4.27065	4.27065	5.67403	bin.001	53.0	bin.001	0.1	0.013	0.28	0.753	0.753	NCLDV	4974.0	0.0	20.0	0.0	|full
28793	NODE_28794_length_5027_cov_2.450724	5027	3.78491	3.78491	2.75826	bin.001	52.0							Bacteria?					
13093	NODE_13094_length_8610_cov_3.039977	8610	4.80603	4.80603	4.41227	bin.002	66.0							Bacteria?					
13397	NODE_13398_length_8479_cov_3.098172	8479	4.94705	4.94705	4.60677	bin.002	66.0							Bacteria?					
16752	NODE_16753_length_7242_cov_3.148045	7242	5.00028	5.00028	5.38119	bin.002	65.0							Bacteria?					
18354	NODE_18355_length_6802_cov_3.111012	6802	5.03247	5.03247	5.17337	bin.002	64.0							Bacteria?					
19677	NODE_19678_length_6487_cov_2.729944	6487	4.36831	4.36831	3.94863	bin.002	65.0							Bacteria?					
22443	NODE_22444_length_5944_cov_3.071489	5944	4.93027	4.93027	2.93214	bin.002	70.0							Bacteria?					
22658	NODE_22659_length_5906_cov_3.043411	5906	4.86779	4.86779	4.28052	bin.002	65.0							Bacteria?					
23206	NODE_23207_length_5810_cov_2.589053	5810	4.21254	4.21254	3.09653	bin.002	67.0							Bacteria?					
23859	NODE_23860_length_5697_cov_3.025877	5697	4.72724	4.72724	4.63034	bin.002	64.0							Bacteria?					
24693	NODE_24694_length_5563_cov_3.038126	5563	5.04785	5.04785	4.44852	bin.002	65.0							Bacteria?					
25517	NODE_25518_length_5440_cov_2.862767	5440	4.52722	4.52722	5.53727	bin.002	66.0							Bacteria?					
25519	NODE_25520_length_5440_cov_2.734448	5440	4.51701	4.51701	3.4591	bin.002	66.0							Bacteria?					
25643	NODE_25644_length_5422_cov_2.761319	5422	4.4283	4.4283	4.39217	bin.002	64.0							Bacteria?					
25680	NODE_25681_length_5416_cov_2.946838	5416	4.62514	4.62514	3.63759	bin.002	67.0							Bacteria?					
26133	NODE_26134_length_5356_cov_3.327863	5356	5.30081	5.30081	4.63358	bin.002	65.0							Bacteria?					
26488	NODE_26489_length_5309_cov_3.221545	5309	5.21128	5.21128	5.56956	bin.002	64.0							Bacteria?					
27139	NODE_27140_length_5225_cov_2.575435	5225	4.19212	4.19212	3.76775	bin.002	65.0							Bacteria?					
27489	NODE_27490_length_5180_cov_2.743610	5180	4.34811	4.34811	3.85398	bin.002	66.0							Bacteria?					
27663	NODE_27664_length_5157_cov_2.803998	5157	4.54464	4.54464	3.7075	bin.002	66.0							Bacteria?					
28521	NODE_28522_length_5059_cov_2.638489	5059	4.3133	4.3133	3.7303	bin.002	65.0							Bacteria?					
28712	NODE_28713_length_5037_cov_2.635488	5037	4.15961	4.15961	3.31709	bin.002	69.0							Bacteria?					
11719	NODE_11720_length_9340_cov_7.842219	9340	10.9582	10.9582	20.2707	bin.003	60.0							Bacteria?					
12540	NODE_12541_length_8875_cov_10.122562	8875	14.4748	14.4748	22.7751	bin.003	63.0							Bacteria?					
13082	NODE_13083_length_8613_cov_8.861066	8613	10.6923	10.6923	28.4161	bin.003	60.0							Bacteria?					
14612	NODE_14613_length_7962_cov_10.383458	7962	13.9502	13.9502	23.0669	bin.003	65.0							Bacteria?					
15419	NODE_15420_length_7661_cov_5.733237	7661	8.76088	8.76088	13.5217	bin.003	61.0	bin.003	0.787	0.013	0.053	0.16	0.787	dsDNAphage	7543.0	0.0	38.5	7.7	|full
17771	NODE_17772_length_6954_cov_9.015509	6954	12.2862	12.2862	31.2747	bin.003	64.0							Bacteria?					
18472	NODE_18473_length_6776_cov_5.543074	6776	8.20374	8.20374	14.908	bin.003	64.0	bin.003	0.5	0.08	0.34	0.427	0.5	dsDNAphage	6773.0	0.0	28.6	0.0	|full
20365	NODE_20366_length_6341_cov_7.504932	6341	9.82878	9.82878	20.3823	bin.003	60.0							Bacteria?					
21198	NODE_21199_length_6178_cov_8.948065	6178	9.02488	9.02488	33.2924	bin.003	59.0							Bacteria?					
21860	NODE_21861_length_6057_cov_6.241753	6057	8.66988	8.66988	10.1067	bin.003	62.0							Bacteria?					
23117	NODE_23118_length_5827_cov_9.799376	5827	13.3421	13.3421	26.3022	bin.003	63.0							Bacteria?					
23183	NODE_23184_length_5814_cov_7.010245	5814	9.20304	9.20304	15.5379	bin.003	63.0							Bacteria?					
23537	NODE_23538_length_5752_cov_8.847639	5752	12.4016	12.4016	24.2434	bin.003	61.0	bin.003	0.033	0.0	0.04	0.647	0.647	NCLDV	5751.0	0.0	20.0	0.0	|full
23567	NODE_23568_length_5748_cov_5.937467	5748	7.47999	7.47999	14.1853	bin.003	59.0							Bacteria?					
23836	NODE_23837_length_5700_cov_13.590611	5700	11.6859	11.6859	24.667	bin.003	62.0							Bacteria?					
23967	NODE_23968_length_5679_cov_8.622688	5679	12.4603	12.4603	18.1241	bin.003	63.0							Bacteria?					
24304	NODE_24305_length_5624_cov_7.168253	5624	9.93935	9.93935	15.3664	bin.003	64.0							Bacteria?					
24961	NODE_24962_length_5523_cov_8.441112	5523	10.2581	10.2581	20.0965	bin.003	63.0							Bacteria?					
25157	NODE_25158_length_5493_cov_8.472784	5493	10.5714	10.5714	25.9326	bin.003	63.0							Bacteria?					
26524	NODE_26525_length_5304_cov_7.553248	5304	11.5019	11.5019	19.2877	bin.003	63.0							Bacteria?					
26553	NODE_26554_length_5301_cov_7.606939	5301	9.89361	9.89361	21.1479	bin.003	65.0							Bacteria?					
26879	NODE_26880_length_5257_cov_5.830258	5257	7.73115	7.73115	11.3428	bin.003	64.0							Bacteria?					
28759	NODE_28760_length_5031_cov_8.844051	5031	12.3602	12.3602	13.4244	bin.003	62.0							Bacteria?					
12156	NODE_12157_length_9097_cov_3.697633	9097	5.06974	5.06974	5.90393	bin.004	67.0							Bacteria?					
12638	NODE_12639_length_8826_cov_3.633679	8826	5.30071	5.30071	4.54687	bin.004	66.0							Bacteria?					
14437	NODE_14438_length_8033_cov_4.608549	8033	6.62603	6.62603	8.06846	bin.004	65.0							Bacteria?					
15271	NODE_15272_length_7719_cov_3.790710	7719	6.08825	6.08825	8.1404	bin.004	63.0							Bacteria?					
15895	NODE_15896_length_7503_cov_3.608485	7503	5.44499	5.44499	6.8865	bin.004	65.0							Bacteria?					
16018	NODE_16019_length_7469_cov_3.528460	7469	5.42192	5.42192	5.21168	bin.004	66.0							Bacteria?					
16758	NODE_16759_length_7241_cov_3.035903	7241	4.83881	4.83881	5.77713	bin.004	65.0							Bacteria?					
17349	NODE_17350_length_7075_cov_3.866097	7075	5.787	5.787	6.7666	bin.004	64.0							Bacteria?					
17369	NODE_17370_length_7067_cov_3.688391	7067	5.39063	5.39063	5.64744	bin.004	67.0							Bacteria?					
17673	NODE_17674_length_6982_cov_3.627256	6982	5.3346	5.3346	5.48663	bin.004	67.0							Bacteria?					
18636	NODE_18637_length_6736_cov_3.894327	6736	5.90161	5.90161	6.61519	bin.004	66.0							Bacteria?					
21032	NODE_21033_length_6210_cov_3.388140	6210	5.16832	5.16832	4.80911	bin.004	65.0							Bacteria?					
21465	NODE_21466_length_6127_cov_4.319664	6127	6.71323	6.71323	7.66307	bin.004	65.0							Bacteria?					
22098	NODE_22099_length_6012_cov_3.121034	6012	5.14603	5.14603	5.0822	bin.004	62.0							Bacteria?					
22141	NODE_22142_length_6003_cov_3.488904	6003	5.19819	5.19819	5.15368	bin.004	65.0							Bacteria?					
22705	NODE_22706_length_5899_cov_2.742984	5899	4.24526	4.24526	2.34869	bin.004	64.0	bin.004	0.76	0.453	0.98	0.827	0.98	lavidaviridae	5492.0	0.0	16.7	0.0	|full
22904	NODE_22905_length_5861_cov_3.939890	5861	5.74453	5.74453	9.16196	bin.004	65.0							Bacteria?					
23275	NODE_23276_length_5797_cov_3.788401	5797	5.67257	5.67257	7.23266	bin.004	65.0							Bacteria?					
23989	NODE_23990_length_5676_cov_3.612880	5676	5.62088	5.62088	6.40483	bin.004	64.0							Bacteria?					
25068	NODE_25069_length_5508_cov_3.443609	5508	5.47723	5.47723	5.15351	bin.004	65.0							Bacteria?					
25604	NODE_25605_length_5428_cov_3.713196	5428	5.79443	5.79443	6.33246	bin.004	66.0							Bacteria?					
25677	NODE_25678_length_5416_cov_3.715165	5416	5.62742	5.62742	5.56458	bin.004	66.0							Bacteria?					
25824	NODE_25825_length_5395_cov_2.669850	5395	4.30467	4.30467	3.6834	bin.004	64.0							Bacteria?					
25938	NODE_25939_length_5380_cov_2.797559	5380	4.48241	4.48241	5.92605	bin.004	63.0							Bacteria?					
25976	NODE_25977_length_5375_cov_3.676692	5375	5.51636	5.51636	6.50516	bin.004	69.0							Bacteria?					
26633	NODE_26634_length_5291_cov_3.394958	5291	5.51566	5.51566	5.52869	bin.004	64.0	bin.004	0.373	0.02	0.733	0.66	0.733	lavidaviridae	5289.0	0.0	33.3	0.0	|full
26925	NODE_26926_length_5252_cov_3.612469	5252	5.17836	5.17836	5.65376	bin.004	65.0							Bacteria?					
27003	NODE_27004_length_5243_cov_3.808982	5243	6.03809	6.03809	5.32587	bin.004	68.0							Bacteria?					
27507	NODE_27508_length_5177_cov_3.751464	5177	5.51701	5.51701	4.28597	bin.004	64.0							Bacteria?					
27604	NODE_27605_length_5164_cov_4.548640	5164	7.0375	7.0375	6.30944	bin.004	63.0							Bacteria?					
27796	NODE_27797_length_5141_cov_3.898545	5141	5.57604	5.57604	5.42706	bin.004	65.0							Bacteria?					
28013	NODE_28014_length_5113_cov_3.776394	5113	5.11163	5.11163	4.14997	bin.004	66.0	bin.004	0.06	0.0	0.067	0.733	0.733	NCLDV	5111.0	0.0	20.0	0.0	|full
28026	NODE_28027_length_5112_cov_2.475776	5112	4.0526	4.0526	3.82047	bin.004	67.0							Bacteria?					
28288	NODE_28289_length_5084_cov_4.132631	5084	6.0077	6.0077	5.18385	bin.004	65.0							Bacteria?					
28403	NODE_28404_length_5071_cov_3.492026	5071	5.40622	5.40622	4.11114	bin.004	64.0							Bacteria?					
28799	NODE_28800_length_5026_cov_3.600282	5026	5.4112	5.4112	9.13734	bin.004	66.0							Bacteria?					
28801	NODE_28802_length_5026_cov_2.725005	5026	3.96144	3.96144	3.61411	bin.004	66.0							Bacteria?					
28896	NODE_28897_length_5015_cov_2.828629	5015	4.16752	4.16752	3.04208	bin.004	65.0							Bacteria?					
7879	NODE_7880_length_12338_cov_3.740047	12338	5.83599	5.83599	5.34791	bin.005	63.0	bin.005	1.0	0.247	0.467	0.187	1.0	dsDNAphage	12334.0	1.0	82.4	0.0	|full
16573	NODE_16574_length_7298_cov_2.757973	7298	4.37269	4.37269	3.79524	bin.005	64.0							Bacteria?					
16789	NODE_16790_length_7233_cov_2.484118	7233	3.98913	3.98913	5.31025	bin.005	61.0	bin.005	1.0	0.113	0.18	0.78	1.0	dsDNAphage	7231.0	2.0	66.7	11.1	|full
18795	NODE_18796_length_6698_cov_2.951528	6698	4.68296	4.68296	2.99677	bin.005	63.0							Bacteria?					
20269	NODE_20270_length_6363_cov_3.052473	6363	4.84887	4.84887	5.43414	bin.005	63.0							Bacteria?					
20398	NODE_20399_length_6334_cov_2.868450	6334	4.46701	4.46701	3.59969	bin.005	63.0							Bacteria?					
21934	NODE_21935_length_6044_cov_2.929371	6044	4.73176	4.73176	3.64314	bin.005	62.0							Bacteria?					
22307	NODE_22308_length_5971_cov_2.702840	5971	4.68992	4.68992	4.41223	bin.005	64.0	bin.005	0.033	0.0	0.013	0.613	0.613	NCLDV	5372.0	0.0	20.0	0.0	|full
23327	NODE_23328_length_5789_cov_2.296826	5789	3.47402	3.47402	2.4296	bin.005	64.0							Bacteria?					
23946	NODE_23947_length_5683_cov_2.778429	5683	4.3114	4.3114	5.7059	bin.005	64.0							Bacteria?					
24324	NODE_24325_length_5620_cov_2.265588	5620	3.7532	3.7532	3.70243	bin.005	64.0							Bacteria?					
24340	NODE_24341_length_5617_cov_2.435994	5617	3.75562	3.75562	3.21323	bin.005	65.0							Bacteria?					
24497	NODE_24498_length_5595_cov_2.703791	5595	4.41965	4.41965	4.54556	bin.005	64.0							Bacteria?					
25231	NODE_25232_length_5482_cov_2.867699	5482	4.62434	4.62434	3.84411	bin.005	64.0							Bacteria?					
25482	NODE_25483_length_5445_cov_3.113729	5445	4.41265	4.41265	4.47772	bin.005	63.0							Bacteria?					
25849	NODE_25850_length_5392_cov_3.207795	5392	4.91778	4.91778	5.89106	bin.005	65.0							Bacteria?					
26105	NODE_26106_length_5360_cov_2.798303	5360	4.35182	4.35182	3.80037	bin.005	64.0							Bacteria?					
26287	NODE_26288_length_5335_cov_3.192992	5335	4.79074	4.79074	3.42785	bin.005	63.0							Bacteria?					
26712	NODE_26713_length_5279_cov_3.276799	5279	5.15578	5.15578	4.94463	bin.005	63.0							Bacteria?					
26933	NODE_26934_length_5251_cov_3.197844	5251	5.19094	5.19094	3.53605	bin.005	63.0							Bacteria?					
26991	NODE_26992_length_5245_cov_2.703661	5245	4.47713	4.47713	3.61785	bin.005	63.0							Bacteria?					
27387	NODE_27388_length_5195_cov_3.050973	5195	4.50624	4.50624	5.20954	bin.005	63.0							Bacteria?					
27701	NODE_27702_length_5153_cov_3.081601	5153	4.80352	4.80352	6.40422	bin.005	64.0							Bacteria?					
27790	NODE_27791_length_5142_cov_2.809318	5142	4.84415	4.84415	3.26766	bin.005	64.0							Bacteria?					
28061	NODE_28062_length_5108_cov_4.470414	5108	7.01896	7.01896	7.68372	bin.005	63.0	bin.005	0.907	0.313	0.18	0.047	0.907	dsDNAphage	4848.0	0.0	12.5	0.0	|full
28169	NODE_28170_length_5097_cov_2.588655	5097	4.05943	4.05943	2.53148	bin.005	63.0							Bacteria?					
28260	NODE_28261_length_5087_cov_3.163951	5087	5.32125	5.32125	4.05616	bin.005	64.0							Bacteria?					
8514	NODE_8515_length_11691_cov_3.149450	11691	4.8222	4.8222	4.97198	bin.006	41.0							Bacteria?					
8551	NODE_8552_length_11657_cov_3.321238	11657	5.13001	5.13001	4.77206	bin.006	41.0							Bacteria?					
8785	NODE_8786_length_11449_cov_3.096893	11449	4.77777	4.77777	7.35938	bin.006	40.0							Bacteria?					
9008	NODE_9009_length_11254_cov_2.903920	11254	4.46542	4.46542	4.30007	bin.006	41.0							Bacteria?					
9245	NODE_9246_length_11035_cov_3.252186	11035	4.96674	4.96674	4.67175	bin.006	40.0							Bacteria?					
9436	NODE_9437_length_10904_cov_3.234584	10904	4.97964	4.97964	4.42739	bin.006	39.0							Bacteria?					
9920	NODE_9921_length_10531_cov_3.065960	10531	4.65186	4.65186	4.70243	bin.006	40.0	bin.006	0.767	0.0	0.607	0.8	0.8	NCLDV	10395.0	0.0	27.3	9.1	|full
10683	NODE_10684_length_9989_cov_3.017616	9989	4.77823	4.77823	3.81634	bin.006	39.0							Bacteria?					
11443	NODE_11444_length_9504_cov_3.336438	9504	5.22685	5.22685	4.35167	bin.006	38.0	bin.006	0.64	0.033	0.373	0.767	0.767	NCLDV	9172.0	0.0	12.5	0.0	|full
11957	NODE_11958_length_9201_cov_3.081347	9201	4.91338	4.91338	4.98691	bin.006	39.0							Bacteria?					
12142	NODE_12143_length_9106_cov_3.105403	9106	4.83464	4.83464	4.15457	bin.006	40.0							Bacteria?					
12297	NODE_12298_length_9009_cov_3.388876	9009	5.22091	5.22091	4.55626	bin.006	40.0							Bacteria?					
12313	NODE_12314_length_8998_cov_3.154646	8998	4.89964	4.89964	3.81673	bin.006	38.0	bin.006	0.253	0.013	0.307	0.633	0.633	NCLDV	8940.0	0.0	28.6	0.0	|full
12452	NODE_12453_length_8926_cov_3.465562	8926	5.47299	5.47299	4.51535	bin.006	38.0							Bacteria?					
13402	NODE_13403_length_8476_cov_3.201045	8476	4.8375	4.8375	4.55849	bin.006	38.0							Bacteria?					
13731	NODE_13732_length_8323_cov_3.651790	8323	5.70415	5.70415	7.38472	bin.006	40.0							Bacteria?					
14028	NODE_14029_length_8197_cov_2.876320	8197	4.25351	4.25351	3.14323	bin.006	41.0							Bacteria?					
14111	NODE_14112_length_8157_cov_3.537892	8157	5.51555	5.51555	4.05655	bin.006	40.0							Bacteria?					
14112	NODE_14113_length_8157_cov_3.517403	8157	5.47359	5.47359	5.19813	bin.006	39.0							Bacteria?					
14240	NODE_14241_length_8109_cov_2.832257	8109	4.49654	4.49654	3.80212	bin.006	38.0							Bacteria?					
14438	NODE_14439_length_8033_cov_3.016922	8033	4.83877	4.83877	4.73231	bin.006	40.0							Bacteria?					
14557	NODE_14558_length_7982_cov_2.941340	7982	4.62921	4.62921	4.23761	bin.006	39.0							Bacteria?					
14603	NODE_14604_length_7965_cov_3.534387	7965	5.47332	5.47332	6.27463	bin.006	39.0							Bacteria?					
15860	NODE_15861_length_7514_cov_4.145462	7514	6.55853	6.55853	8.06443	bin.006	40.0							Bacteria?					
15990	NODE_15991_length_7477_cov_2.905551	7477	4.46704	4.46704	4.93582	bin.006	42.0							Bacteria?					
16188	NODE_16189_length_7415_cov_2.894429	7415	4.51177	4.51177	4.03395	bin.006	39.0							Bacteria?					
16295	NODE_16296_length_7381_cov_3.166803	7381	4.90458	4.90458	5.32692	bin.006	37.0	bin.006	0.507	0.293	0.92	0.707	0.92	lavidaviridae	7379.0	0.0	40.0	0.0	|full
16391	NODE_16392_length_7355_cov_3.551370	7355	5.46398	5.46398	5.78589	bin.006	38.0							Bacteria?					
16472	NODE_16473_length_7328_cov_3.717998	7328	5.82042	5.82042	6.90161	bin.006	41.0							Bacteria?					
16637	NODE_16638_length_7277_cov_3.619219	7277	5.59646	5.59646	4.83344	bin.006	40.0							Bacteria?					
16665	NODE_16666_length_7267_cov_3.002912	7267	4.71224	4.71224	4.09753	bin.006	37.0							Bacteria?					
16693	NODE_16694_length_7259_cov_3.483898	7259	5.46293	5.46293	8.01857	bin.006	39.0							Bacteria?					
16867	NODE_16868_length_7207_cov_3.534955	7207	5.25875	5.25875	7.66973	bin.006	38.0							Bacteria?					
17130	NODE_17131_length_7132_cov_3.311573	7132	5.16743	5.16743	4.75019	bin.006	39.0							Bacteria?					
18045	NODE_18046_length_6880_cov_3.240733	6880	4.84666	4.84666	5.5953	bin.006	40.0							Bacteria?					
18217	NODE_18218_length_6836_cov_2.953547	6836	4.57703	4.57703	4.81394	bin.006	39.0							Bacteria?					
18228	NODE_18229_length_6833_cov_4.581883	6833	6.92818	6.92818	7.41655	bin.006	36.0							Bacteria?					
18251	NODE_18252_length_6828_cov_3.060239	6828	4.68943	4.68943	4.65965	bin.006	42.0							Bacteria?					
18266	NODE_18267_length_6824_cov_3.241690	6824	4.97438	4.97438	5.7547	bin.006	39.0							Bacteria?					
18551	NODE_18552_length_6757_cov_3.612504	6757	5.67701	5.67701	6.94861	bin.006	38.0							Bacteria?					
18749	NODE_18750_length_6707_cov_3.405442	6707	5.38844	5.38844	5.10494	bin.006	39.0							Bacteria?					
19005	NODE_19006_length_6649_cov_3.120867	6649	4.88675	4.88675	5.20948	bin.006	38.0							Bacteria?					
19094	NODE_19095_length_6626_cov_3.001978	6626	4.54509	4.54509	4.36413	bin.006	38.0							Bacteria?					
19436	NODE_19437_length_6545_cov_3.560709	6545	5.56998	5.56998	4.59048	bin.006	42.0							Bacteria?					
19541	NODE_19542_length_6520_cov_2.846558	6520	4.31727	4.31727	5.27586	bin.006	41.0							Bacteria?					
19701	NODE_19702_length_6483_cov_3.202396	6483	4.79204	4.79204	4.43273	bin.006	36.0							Bacteria?					
19809	NODE_19810_length_6457_cov_2.759606	6457	4.31203	4.31203	2.93033	bin.006	41.0							Bacteria?					
19945	NODE_19946_length_6430_cov_3.158902	6430	4.85271	4.85271	3.16654	bin.006	39.0							Bacteria?					
20024	NODE_20025_length_6412_cov_3.665880	6412	5.53401	5.53401	8.79875	bin.006	41.0							Bacteria?					
20069	NODE_20070_length_6402_cov_2.933039	6402	4.58589	4.58589	4.06662	bin.006	39.0							Bacteria?					
20086	NODE_20087_length_6399_cov_3.138714	6399	4.84317	4.84317	6.71065	bin.006	41.0							Bacteria?					
20137	NODE_20138_length_6389_cov_3.096464	6389	4.8091	4.8091	3.03581	bin.006	39.0							Bacteria?					
20208	NODE_20209_length_6375_cov_3.292722	6375	5.10795	5.10795	4.76995	bin.006	38.0							Bacteria?					
20600	NODE_20601_length_6295_cov_3.701122	6295	5.75053	5.75053	5.32879	bin.006	40.0	bin.006	0.267	0.013	0.26	0.893	0.893	NCLDV	6293.0	0.0	22.2	0.0	|full
20640	NODE_20641_length_6289_cov_3.369586	6289	5.3095	5.3095	5.31176	bin.006	40.0							Bacteria?					
21056	NODE_21057_length_6207_cov_3.087939	6207	4.91514	4.91514	6.52688	bin.006	37.0							Bacteria?					
21243	NODE_21244_length_6170_cov_3.333769	6170	5.14153	5.14153	3.63367	bin.006	40.0							Bacteria?					
21250	NODE_21251_length_6169_cov_2.571639	6169	3.90497	3.90497	3.88802	bin.006	40.0	bin.006	0.487	0.06	0.8	0.293	0.8	lavidaviridae	5883.0	0.0	27.3	9.1	|full
21330	NODE_21331_length_6155_cov_3.378033	6155	5.204	5.204	3.85887	bin.006	38.0							Bacteria?					
21359	NODE_21360_length_6148_cov_3.220745	6148	5.10804	5.10804	5.12587	bin.006	42.0							Bacteria?					
21622	NODE_21623_length_6099_cov_3.614494	6099	5.10153	5.10153	4.71136	bin.006	38.0							Bacteria?					
21788	NODE_21789_length_6069_cov_3.237945	6069	4.98125	4.98125	4.57502	bin.006	41.0							Bacteria?					
21793	NODE_21794_length_6068_cov_3.435390	6068	5.28303	5.28303	4.71707	bin.006	40.0							Bacteria?					
21882	NODE_21883_length_6054_cov_3.306551	6054	5.01389	5.01389	5.54111	bin.006	41.0							Bacteria?					
22551	NODE_22552_length_5924_cov_3.057420	5924	4.74558	4.74558	3.47738	bin.006	40.0							Bacteria?					
22648	NODE_22649_length_5907_cov_3.756664	5907	5.74709	5.74709	6.0161	bin.006	41.0							Bacteria?					
22909	NODE_22910_length_5860_cov_3.162102	5860	4.79685	4.79685	6.72895	bin.006	41.0							Bacteria?					
23154	NODE_23155_length_5821_cov_2.998439	5821	4.62899	4.62899	4.05557	bin.006	39.0	bin.006	0.293	0.06	0.447	0.86	0.86	NCLDV	5821.0	0.0	33.3	0.0	|full
23319	NODE_23320_length_5790_cov_3.434699	5790	5.32801	5.32801	4.7932	bin.006	41.0							Bacteria?					
23377	NODE_23378_length_5782_cov_4.143007	5782	6.32741	6.32741	7.8629	bin.006	40.0							Bacteria?					
23551	NODE_23552_length_5751_cov_3.023350	5751	4.64881	4.64881	3.93295	bin.006	42.0							Bacteria?					
