	seqname	contigLen	totalAvgDepth	080a2ed5-d944-4915-9236-64933bc4da51.inter.fastq.sam.sorted.bam	080a2ed5-d944-4915-9236-64933bc4da51.inter.fastq.sam.sorted.bam-var	bin	%GC	bin_y	dsDNAphage	ssDNA	lavidaviridae	NCLDV	max_score	max_score_group	length	hallmark	viral	cellular	full-partial
974	NODE_975_length_11643_cov_3.603814	11643	5.6363	5.6363	5.89441	bin.003	67.0							Bacteria?					
986	NODE_987_length_11500_cov_3.696549	11500	5.82203	5.82203	6.8964	bin.003	64.0							Bacteria?					
996	NODE_997_length_11369_cov_4.148842	11369	6.01016	6.01016	7.3541	bin.003	64.0							Bacteria?					
999	NODE_1000_length_11344_cov_3.527770	11344	5.59755	5.59755	5.33751	bin.003	66.0							Bacteria?					
1033	NODE_1034_length_10999_cov_3.986111	10999	6.18656	6.18656	6.02891	bin.003	65.0							Bacteria?					
1034	NODE_1035_length_10984_cov_3.658523	10984	5.66236	5.66236	6.43628	bin.003	67.0							Bacteria?					
1059	NODE_1060_length_10822_cov_3.327575	10822	5.2902	5.2902	6.53475	bin.003	64.0							Bacteria?					
1110	NODE_1111_length_10427_cov_3.642885	10427	5.70896	5.70896	5.2916	bin.003	64.0							Bacteria?					
1128	NODE_1129_length_10312_cov_3.175685	10312	5.0309	5.0309	5.85966	bin.003	63.0							Bacteria?					
1138	NODE_1139_length_10251_cov_3.591016	10251	5.68558	5.68558	5.69963	bin.003	59.0							Bacteria?					
1150	NODE_1151_length_10177_cov_3.378976	10177	5.29989	5.29989	5.12441	bin.003	64.0							Bacteria?					
1151	NODE_1152_length_10175_cov_3.829051	10175	6.07242	6.07242	7.60116	bin.003	59.0							Bacteria?					
1153	NODE_1154_length_10154_cov_3.580751	10154	5.61405	5.61405	5.6825	bin.003	63.0							Bacteria?					
1188	NODE_1189_length_9972_cov_4.170717	9972	6.62238	6.62238	6.75015	bin.003	59.0	bin.003	1.0	0.06	0.0	0.207	1.0	dsDNAphage	9865.0	4.0	23.5	5.9	|full
1200	NODE_1201_length_9890_cov_3.751805	9890	5.74466	5.74466	6.14934	bin.003	65.0							Bacteria?					
1205	NODE_1206_length_9878_cov_3.434592	9878	5.44953	5.44953	5.53488	bin.003	62.0							Bacteria?					
1208	NODE_1209_length_9854_cov_3.200020	9854	5.10975	5.10975	5.462	bin.003	66.0							Bacteria?					
1216	NODE_1217_length_9808_cov_3.374039	9808	5.3654	5.3654	7.42626	bin.003	66.0							Bacteria?					
1243	NODE_1244_length_9622_cov_3.450716	9622	5.48416	5.48416	5.51345	bin.003	66.0							Bacteria?					
1245	NODE_1246_length_9614_cov_3.641071	9614	5.7351	5.7351	6.70662	bin.003	61.0							Bacteria?					
1259	NODE_1260_length_9547_cov_4.199958	9547	6.02724	6.02724	6.33537	bin.003	63.0							Bacteria?					
1266	NODE_1267_length_9512_cov_3.598181	9512	5.66984	5.66984	6.18809	bin.003	57.0							Bacteria?					
1269	NODE_1270_length_9496_cov_3.167143	9496	5.05842	5.05842	6.41783	bin.003	66.0							Bacteria?					
1270	NODE_1271_length_9481_cov_3.310418	9481	5.20523	5.20523	4.20486	bin.003	59.0							Bacteria?					
1283	NODE_1284_length_9344_cov_3.684465	9344	5.65521	5.65521	5.75573	bin.003	61.0							Bacteria?					
1306	NODE_1307_length_9206_cov_3.785160	9206	5.96731	5.96731	6.25388	bin.003	63.0							Bacteria?					
1307	NODE_1308_length_9199_cov_2.212708	9199	3.50768	3.50768	2.6724	bin.003	65.0							Bacteria?					
1308	NODE_1309_length_9196_cov_3.615469	9196	5.67234	5.67234	5.60828	bin.003	64.0							Bacteria?					
1317	NODE_1318_length_9153_cov_3.909760	9153	5.37898	5.37898	6.34221	bin.003	62.0							Bacteria?					
1329	NODE_1330_length_9100_cov_3.417468	9100	5.25631	5.25631	4.59686	bin.003	66.0							Bacteria?					
1338	NODE_1339_length_9051_cov_3.095487	9051	4.65105	4.65105	5.22934	bin.003	64.0							Bacteria?					
1368	NODE_1369_length_8923_cov_3.648286	8923	5.63205	5.63205	5.13904	bin.003	65.0							Bacteria?					
1373	NODE_1374_length_8907_cov_3.354496	8907	5.31575	5.31575	6.03837	bin.003	62.0							Bacteria?					
1387	NODE_1388_length_8843_cov_3.546541	8843	5.48108	5.48108	6.6975	bin.003	63.0							Bacteria?					
1389	NODE_1390_length_8832_cov_3.034978	8832	4.70882	4.70882	5.04555	bin.003	67.0							Bacteria?					
1390	NODE_1391_length_8831_cov_3.850160	8831	6.15113	6.15113	7.10831	bin.003	58.0							Bacteria?					
1401	NODE_1402_length_8740_cov_3.488313	8740	5.17718	5.17718	6.09111	bin.003	67.0							Bacteria?					
1404	NODE_1405_length_8717_cov_3.573655	8717	5.81055	5.81055	5.24671	bin.003	70.0							Bacteria?					
1423	NODE_1424_length_8617_cov_3.650549	8617	5.7893	5.7893	5.50964	bin.003	64.0							Bacteria?					
1456	NODE_1457_length_8480_cov_3.072760	8480	4.82521	4.82521	4.15575	bin.003	64.0							Bacteria?					
1457	NODE_1458_length_8479_cov_4.301163	8479	6.3932	6.3932	9.02135	bin.003	66.0							Bacteria?					
1463	NODE_1464_length_8456_cov_3.256993	8456	5.03371	5.03371	4.51901	bin.003	62.0							Bacteria?					
1468	NODE_1469_length_8435_cov_3.799403	8435	5.86663	5.86663	5.29702	bin.003	67.0							Bacteria?					
1500	NODE_1501_length_8295_cov_3.560194	8295	5.66323	5.66323	5.10788	bin.003	60.0							Bacteria?					
1503	NODE_1504_length_8280_cov_3.553313	8280	5.40332	5.40332	6.0527	bin.003	59.0							Bacteria?					
1505	NODE_1506_length_8273_cov_4.239596	8273	6.72621	6.72621	9.91662	bin.003	63.0	bin.003	0.58	0.047	0.227	0.093	0.58	dsDNAphage	8269.0	0.0	8.3	0.0	|full
1516	NODE_1517_length_8242_cov_3.421278	8242	5.41609	5.41609	7.76295	bin.003	67.0							Bacteria?					
1525	NODE_1526_length_8207_cov_2.992395	8207	4.73824	4.73824	5.62155	bin.003	62.0							Bacteria?					
1527	NODE_1528_length_8188_cov_3.658920	8188	5.79249	5.79249	6.92884	bin.003	66.0							Bacteria?					
1560	NODE_1561_length_8066_cov_3.926726	8066	6.26112	6.26112	7.68634	bin.003	61.0	bin.003	1.0	0.293	0.487	0.86	1.0	dsDNAphage	8064.0	4.0	90.0	0.0	|full
1568	NODE_1569_length_8036_cov_3.226287	8036	5.1386	5.1386	5.97039	bin.003	63.0							Bacteria?					
1576	NODE_1577_length_8001_cov_3.585200	8001	5.38874	5.38874	7.79769	bin.003	63.0							Bacteria?					
1587	NODE_1588_length_7970_cov_3.016172	7970	4.67916	4.67916	5.66848	bin.003	64.0							Bacteria?					
1591	NODE_1592_length_7963_cov_3.751391	7963	5.49328	5.49328	7.83056	bin.003	64.0							Bacteria?					
1592	NODE_1593_length_7962_cov_3.182497	7962	5.12993	5.12993	5.11636	bin.003	60.0							Bacteria?					
1606	NODE_1607_length_7917_cov_3.198168	7917	5.00142	5.00142	3.93496	bin.003	65.0							Bacteria?					
1610	NODE_1611_length_7912_cov_3.237623	7912	5.15769	5.15769	6.5676	bin.003	65.0							Bacteria?					
1614	NODE_1615_length_7902_cov_3.221358	7902	4.96388	4.96388	4.65788	bin.003	65.0							Bacteria?					
1616	NODE_1617_length_7896_cov_3.953960	7896	6.02517	6.02517	7.96654	bin.003	66.0							Bacteria?					
1623	NODE_1624_length_7880_cov_3.868115	7880	6.13661	6.13661	9.42339	bin.003	64.0							Bacteria?					
1624	NODE_1625_length_7873_cov_3.913277	7873	6.21015	6.21015	6.71671	bin.003	64.0							Bacteria?					
1656	NODE_1657_length_7772_cov_3.249838	7772	5.15639	5.15639	5.38981	bin.003	59.0	bin.003	0.5	0.14	0.387	0.64	0.64	NCLDV	7575.0	0.0	11.1	0.0	|full
1667	NODE_1668_length_7735_cov_3.816146	7735	5.83876	5.83876	6.05565	bin.003	66.0							Bacteria?					
1673	NODE_1674_length_7720_cov_2.931376	7720	4.6675	4.6675	3.90016	bin.003	64.0							Bacteria?					
1676	NODE_1677_length_7710_cov_3.210320	7710	5.02738	5.02738	5.38096	bin.003	64.0							Bacteria?					
1681	NODE_1682_length_7692_cov_3.807647	7692	6.05662	6.05662	7.57561	bin.003	66.0							Bacteria?					
1685	NODE_1686_length_7689_cov_3.824338	7689	6.10983	6.10983	4.42683	bin.003	66.0							Bacteria?					
1690	NODE_1691_length_7672_cov_3.657345	7672	5.82624	5.82624	5.62839	bin.003	67.0							Bacteria?					
1697	NODE_1698_length_7654_cov_3.602184	7654	5.74587	5.74587	7.25313	bin.003	66.0							Bacteria?					
1711	NODE_1712_length_7601_cov_3.488206	7601	5.56154	5.56154	5.75099	bin.003	65.0							Bacteria?					
1715	NODE_1716_length_7592_cov_3.405466	7592	5.29307	5.29307	6.74107	bin.003	66.0							Bacteria?					
1720	NODE_1721_length_7586_cov_3.005444	7586	4.59266	4.59266	5.80732	bin.003	62.0							Bacteria?					
1732	NODE_1733_length_7542_cov_3.678509	7542	5.70725	5.70725	5.54303	bin.003	66.0							Bacteria?					
1743	NODE_1744_length_7514_cov_3.272959	7514	5.19704	5.19704	3.70432	bin.003	66.0							Bacteria?					
1744	NODE_1745_length_7512_cov_4.028698	7512	5.58449	5.58449	7.37301	bin.003	64.0							Bacteria?					
1750	NODE_1751_length_7503_cov_3.837272	7503	5.85299	5.85299	5.69739	bin.003	67.0	bin.003	0.033	0.0	0.0	0.52	0.52	NCLDV	7501.0	0.0	16.7	0.0	|full
1754	NODE_1755_length_7484_cov_3.503432	7484	5.63376	5.63376	5.0352	bin.003	65.0							Bacteria?					
1761	NODE_1762_length_7463_cov_3.865011	7463	6.16054	6.16054	7.32078	bin.003	59.0							Bacteria?					
1774	NODE_1775_length_7426_cov_3.031746	7426	4.82985	4.82985	4.46759	bin.003	66.0							Bacteria?					
1779	NODE_1780_length_7419_cov_3.972433	7419	6.28161	6.28161	6.63591	bin.003	64.0							Bacteria?					
1785	NODE_1786_length_7402_cov_3.383013	7402	5.28158	5.28158	6.68177	bin.003	64.0							Bacteria?					
1791	NODE_1792_length_7383_cov_3.631141	7383	5.82054	5.82054	7.78635	bin.003	66.0							Bacteria?					
1804	NODE_1805_length_7347_cov_3.289495	7347	5.08712	5.08712	6.95708	bin.003	63.0							Bacteria?					
1805	NODE_1806_length_7345_cov_3.291495	7345	5.29048	5.29048	6.04215	bin.003	64.0							Bacteria?					
1808	NODE_1809_length_7337_cov_2.960725	7337	4.69487	4.69487	4.67273	bin.003	60.0							Bacteria?					
1809	NODE_1810_length_7335_cov_4.170604	7335	6.64565	6.64565	5.46985	bin.003	62.0	bin.003	0.993	0.033	0.007	0.173	0.993	dsDNAphage	7333.0	2.0	57.1	14.3	|full
1830	NODE_1831_length_7239_cov_3.272689	7239	5.11483	5.11483	5.75182	bin.003	64.0							Bacteria?					
1836	NODE_1837_length_7225_cov_4.234868	7225	5.72947	5.72947	6.80364	bin.003	65.0							Bacteria?					
1839	NODE_1840_length_7221_cov_2.525956	7221	3.98232	3.98232	3.64468	bin.003	69.0							Bacteria?					
1841	NODE_1842_length_7217_cov_3.305501	7217	5.18692	5.18692	3.59412	bin.003	61.0							Bacteria?					
1852	NODE_1853_length_7188_cov_3.416655	7188	5.41802	5.41802	5.64415	bin.003	64.0							Bacteria?					
1858	NODE_1859_length_7178_cov_3.174365	7178	5.01423	5.01423	4.49675	bin.003	61.0							Bacteria?					
1872	NODE_1873_length_7146_cov_2.733183	7146	3.99157	3.99157	3.94372	bin.003	66.0							Bacteria?					
1889	NODE_1890_length_7089_cov_3.153113	7089	4.87736	4.87736	4.36394	bin.003	66.0							Bacteria?					
1891	NODE_1892_length_7084_cov_3.273439	7084	5.22916	5.22916	4.91925	bin.003	65.0							Bacteria?					
1899	NODE_1900_length_7053_cov_3.740783	7053	5.80574	5.80574	6.21766	bin.003	68.0							Bacteria?					
1900	NODE_1901_length_7044_cov_3.644441	7044	5.6291	5.6291	6.62529	bin.003	63.0							Bacteria?					
1902	NODE_1903_length_7039_cov_3.857245	7039	5.71549	5.71549	5.97723	bin.003	65.0							Bacteria?					
1919	NODE_1920_length_6992_cov_3.110278	6992	4.79231	4.79231	5.73828	bin.003	66.0							Bacteria?					
1922	NODE_1923_length_6986_cov_3.445102	6986	5.40799	5.40799	4.75361	bin.003	62.0							Bacteria?					
1923	NODE_1924_length_6985_cov_3.297980	6985	5.21346	5.21346	5.41538	bin.003	66.0							Bacteria?					
1928	NODE_1929_length_6971_cov_3.271400	6971	5.22797	5.22797	4.96336	bin.003	56.0							Bacteria?					
1946	NODE_1947_length_6908_cov_3.226470	6908	5.09234	5.09234	4.60591	bin.003	61.0	bin.003	0.667	0.007	0.1	0.12	0.667	dsDNAphage	6908.0	0.0	30.0	10.0	|full
1951	NODE_1952_length_6900_cov_3.492915	6900	5.58148	5.58148	7.37639	bin.003	59.0							Bacteria?					
1991	NODE_1992_length_6780_cov_3.604610	6780	5.75053	5.75053	6.92493	bin.003	66.0							Bacteria?					
1997	NODE_1998_length_6774_cov_3.503646	6774	5.532	5.532	4.23842	bin.003	66.0							Bacteria?					
2011	NODE_2012_length_6750_cov_3.876176	6750	5.92182	5.92182	6.19874	bin.003	66.0							Bacteria?					
2015	NODE_2016_length_6742_cov_3.518170	6742	5.41763	5.41763	4.31101	bin.003	64.0							Bacteria?					
2030	NODE_2031_length_6695_cov_3.692319	6695	5.52452	5.52452	5.24434	bin.003	67.0							Bacteria?					
2033	NODE_2034_length_6679_cov_3.856884	6679	5.94624	5.94624	6.23126	bin.003	64.0							Bacteria?					
2036	NODE_2037_length_6674_cov_3.911165	6674	6.17167	6.17167	5.3941	bin.003	62.0							Bacteria?					
2038	NODE_2039_length_6670_cov_3.414815	6670	5.38911	5.38911	5.55483	bin.003	67.0							Bacteria?					
2074	NODE_2075_length_6570_cov_3.477513	6570	5.61075	5.61075	6.66112	bin.003	66.0							Bacteria?					
2075	NODE_2076_length_6567_cov_4.453624	6567	6.78775	6.78775	9.37246	bin.003	65.0							Bacteria?					
2082	NODE_2083_length_6542_cov_3.221366	6542	5.15269	5.15269	4.86961	bin.003	59.0							Bacteria?					
2094	NODE_2095_length_6523_cov_3.304576	6523	5.24855	5.24855	5.54469	bin.003	64.0							Bacteria?					
2095	NODE_2096_length_6520_cov_3.469760	6520	5.52747	5.52747	4.75598	bin.003	65.0							Bacteria?					
2097	NODE_2098_length_6515_cov_3.578638	6515	5.54218	5.54218	5.2094	bin.003	67.0							Bacteria?					
2106	NODE_2107_length_6493_cov_3.287667	6493	5.14646	5.14646	5.65098	bin.003	65.0							Bacteria?					
2113	NODE_2114_length_6482_cov_4.001712	6482	6.28174	6.28174	9.42821	bin.003	62.0							Bacteria?					
2115	NODE_2116_length_6481_cov_2.933862	6481	4.37751	4.37751	5.75194	bin.003	67.0							Bacteria?					
2132	NODE_2133_length_6444_cov_2.789638	6444	4.40292	4.40292	3.93998	bin.003	61.0							Bacteria?					
2155	NODE_2156_length_6404_cov_3.438179	6404	5.52798	5.52798	4.82781	bin.003	66.0							Bacteria?					
2162	NODE_2163_length_6396_cov_3.722599	6396	5.63849	5.63849	5.31138	bin.003	64.0							Bacteria?					
2167	NODE_2168_length_6388_cov_3.524554	6388	5.62632	5.62632	8.09805	bin.003	66.0							Bacteria?					
2172	NODE_2173_length_6384_cov_3.548902	6384	5.6548	5.6548	7.1004	bin.003	65.0							Bacteria?					
2178	NODE_2179_length_6375_cov_3.593829	6375	5.74602	5.74602	8.22579	bin.003	65.0							Bacteria?					
2181	NODE_2182_length_6374_cov_3.363823	6374	5.42063	5.42063	6.15466	bin.003	63.0							Bacteria?					
2184	NODE_2185_length_6371_cov_3.994617	6371	6.08841	6.08841	4.84654	bin.003	66.0							Bacteria?					
2201	NODE_2202_length_6338_cov_3.125736	6338	4.89803	4.89803	4.44782	bin.003	66.0							Bacteria?					
2202	NODE_2203_length_6337_cov_3.723496	6337	5.96008	5.96008	7.24078	bin.003	65.0							Bacteria?					
2205	NODE_2206_length_6329_cov_3.609021	6329	5.67082	5.67082	3.32564	bin.003	66.0							Bacteria?					
2213	NODE_2214_length_6322_cov_3.663635	6322	5.74789	5.74789	9.59474	bin.003	61.0							Bacteria?					
2224	NODE_2225_length_6305_cov_3.617120	6305	5.68481	5.68481	6.84213	bin.003	66.0							Bacteria?					
2230	NODE_2231_length_6291_cov_3.637749	6291	5.69809	5.69809	4.38549	bin.003	66.0							Bacteria?					
2234	NODE_2235_length_6284_cov_3.252528	6284	5.19775	5.19775	3.56652	bin.003	63.0							Bacteria?					
2235	NODE_2236_length_6283_cov_3.500803	6283	5.53286	5.53286	5.35852	bin.003	65.0							Bacteria?					
2250	NODE_2251_length_6253_cov_3.059374	6253	4.84549	4.84549	3.83202	bin.003	63.0	bin.003	0.053	0.007	0.04	0.567	0.567	NCLDV	6251.0	0.0	20.0	0.0	|full
2266	NODE_2267_length_6212_cov_3.914082	6212	6.1577	6.1577	4.92981	bin.003	62.0							Bacteria?					
2309	NODE_2310_length_6124_cov_3.091943	6124	4.89488	4.89488	3.77026	bin.003	63.0							Bacteria?					
2330	NODE_2331_length_6062_cov_3.956717	6062	5.68742	5.68742	5.30814	bin.003	64.0							Bacteria?					
2341	NODE_2342_length_6046_cov_3.671007	6046	5.74203	5.74203	4.01677	bin.003	69.0							Bacteria?					
2355	NODE_2356_length_6018_cov_3.120241	6018	4.42723	4.42723	4.51845	bin.003	64.0							Bacteria?					
2358	NODE_2359_length_6013_cov_3.912722	6013	6.1605	6.1605	9.90818	bin.003	62.0	bin.003	0.047	0.007	0.02	0.6	0.6	NCLDV	5725.0	0.0	20.0	0.0	|full
2373	NODE_2374_length_5997_cov_2.993437	5997	4.83752	4.83752	4.40647	bin.003	64.0							Bacteria?					
2376	NODE_2377_length_5995_cov_2.941246	5995	4.59846	4.59846	6.48305	bin.003	63.0							Bacteria?					
2378	NODE_2379_length_5992_cov_3.162877	5992	5.03851	5.03851	9.99202	bin.003	60.0							Bacteria?					
2384	NODE_2385_length_5984_cov_3.733007	5984	5.8459	5.8459	8.32833	bin.003	65.0							Bacteria?					
2385	NODE_2386_length_5976_cov_3.568147	5976	5.62719	5.62719	5.76997	bin.003	63.0							Bacteria?					
2410	NODE_2411_length_5934_cov_4.069059	5934	6.5574	6.5574	7.48492	bin.003	68.0							Bacteria?					
2424	NODE_2425_length_5901_cov_3.951933	5901	6.35142	6.35142	7.78391	bin.003	62.0							Bacteria?					
2438	NODE_2439_length_5878_cov_3.592306	5878	5.5522	5.5522	6.06056	bin.003	63.0							Bacteria?					
2439	NODE_2440_length_5878_cov_3.572729	5878	5.69745	5.69745	5.90154	bin.003	59.0							Bacteria?					
2445	NODE_2446_length_5871_cov_3.251032	5871	5.21168	5.21168	5.06755	bin.003	64.0							Bacteria?					
2463	NODE_2464_length_5840_cov_3.154192	5840	4.93093	4.93093	4.91507	bin.003	65.0							Bacteria?					
2483	NODE_2484_length_5804_cov_3.899113	5804	6.1583	6.1583	4.42342	bin.003	58.0							Bacteria?					
2484	NODE_2485_length_5803_cov_3.177975	5803	4.90854	4.90854	5.66351	bin.003	66.0							Bacteria?					
2499	NODE_2500_length_5781_cov_3.622773	5781	5.72314	5.72314	5.09114	bin.003	62.0	bin.003	0.993	0.347	0.807	0.267	0.993	dsDNAphage	5781.0	3.0	42.9	0.0	|full
2502	NODE_2503_length_5778_cov_3.731959	5778	5.57978	5.57978	6.55132	bin.003	67.0							Bacteria?					
2510	NODE_2511_length_5762_cov_3.231996	5762	4.99929	4.99929	7.4372	bin.003	66.0							Bacteria?					
2519	NODE_2520_length_5751_cov_3.707865	5751	5.92716	5.92716	6.34432	bin.003	62.0							Bacteria?					
2531	NODE_2532_length_5730_cov_3.573921	5730	5.08871	5.08871	5.32668	bin.003	69.0							Bacteria?					
2533	NODE_2534_length_5726_cov_3.824370	5726	6.08483	6.08483	6.36505	bin.003	67.0							Bacteria?					
2539	NODE_2540_length_5713_cov_3.522800	5713	5.12062	5.12062	6.1243	bin.003	65.0							Bacteria?					
2550	NODE_2551_length_5693_cov_4.392515	5693	6.11257	6.11257	10.7534	bin.003	65.0							Bacteria?					
2559	NODE_2560_length_5684_cov_2.740984	5684	4.23328	4.23328	4.25167	bin.003	65.0							Bacteria?					
2561	NODE_2562_length_5682_cov_3.221077	5682	5.07068	5.07068	5.62857	bin.003	63.0							Bacteria?					
2586	NODE_2587_length_5628_cov_3.752019	5628	5.79372	5.79372	4.44895	bin.003	64.0							Bacteria?					
2587	NODE_2588_length_5627_cov_3.877064	5627	5.86142	5.86142	6.59199	bin.003	65.0							Bacteria?					
