	seqname	bin	max_contigLen	max_score	max_contigLenGroup	full-partial
65	NODE_66_length_156258_cov_7.113468	bin.056	156258		Bacteria?	
208	NODE_209_length_91504_cov_5.160166	bin.057	91504	1.0	dsDNAphage	|full
13	NODE_14_length_268503_cov_30.224923	bin.058	268503		Bacteria?	
274	NODE_275_length_80665_cov_9.758033	bin.059	80665		Bacteria?	
2414	NODE_2415_length_26808_cov_4.106941	bin.060	26808		Bacteria?	
3367	NODE_3368_length_21748_cov_3.451021	bin.061	21748		Bacteria?	
30	NODE_31_length_213621_cov_14.494868	bin.062	213621		Bacteria?	
189	NODE_190_length_96656_cov_7.650469	bin.063	96656		Bacteria?	
11	NODE_12_length_297226_cov_10.909298	bin.064	297226		Bacteria?	
5374	NODE_5375_length_16045_cov_4.129644	bin.065	16045		Bacteria?	
117	NODE_118_length_119682_cov_6.306896	bin.066	119682	0.92	dsDNAphage	|full
41	NODE_42_length_185913_cov_21.045357	bin.067	185913		Bacteria?	
376	NODE_377_length_69662_cov_7.846768	bin.068	69662		Bacteria?	
22	NODE_23_length_228427_cov_26.443338	bin.069	228427		Bacteria?	
6896	NODE_6897_length_13533_cov_3.191349	bin.070	13533		Bacteria?	
779	NODE_780_length_50273_cov_6.141423	bin.071	50273	0.767	dsDNAphage	|full
46	NODE_47_length_179531_cov_74.080752	bin.072	179531		Bacteria?	
2833	NODE_2834_length_24335_cov_4.194687	bin.073	24335	0.993	dsDNAphage	|full
32	NODE_33_length_210887_cov_12.025300	bin.074	210887		Bacteria?	
86	NODE_87_length_135949_cov_16.392504	bin.075	135949		Bacteria?	
124	NODE_125_length_118200_cov_14.738982	bin.076	118200		Bacteria?	
134	NODE_135_length_115835_cov_7.467620	bin.077	115835		Bacteria?	
1230	NODE_1231_length_39885_cov_21.930203	bin.078	39885		Bacteria?	
156	NODE_157_length_107275_cov_11.346157	bin.079	107275		Bacteria?	
387	NODE_388_length_68563_cov_5.500248	bin.080	68563		Bacteria?	
432	NODE_433_length_65276_cov_4.828261	bin.081	65276		Bacteria?	
523	NODE_524_length_60134_cov_5.065580	bin.082	60134		Bacteria?	
33	NODE_34_length_204220_cov_11.537864	bin.083	204220	1.0	dsDNAphage	|full
192	NODE_193_length_96213_cov_39.748310	bin.084	96213		Bacteria?	
94	NODE_95_length_130710_cov_6.443910	bin.085	130710		Bacteria?	
7	NODE_8_length_330227_cov_27.449214	bin.086	330227		Bacteria?	
2658	NODE_2659_length_25326_cov_4.355031	bin.087	25326		Bacteria?	
17	NODE_18_length_258629_cov_7.719759	bin.088	258629		Bacteria?	
269	NODE_270_length_81343_cov_7.301939	bin.089	81343		Bacteria?	
10551	NODE_10552_length_10087_cov_3.584629	bin.090	10087		Bacteria?	
404	NODE_405_length_67290_cov_6.041481	bin.091	67290		Bacteria?	
120	NODE_121_length_119120_cov_8.249586	bin.092	119120		Bacteria?	
3225	NODE_3226_length_22346_cov_3.674129	bin.093	22346	0.993	dsDNAphage	|full
3396	NODE_3397_length_21637_cov_4.308961	bin.094	21637		Bacteria?	
84	NODE_85_length_137211_cov_12.099668	bin.095	137211	0.873	dsDNAphage	|full
54	NODE_55_length_170624_cov_6.404458	bin.096	170624	0.973	dsDNAphage	|full
296	NODE_297_length_78301_cov_5.620032	bin.097	78301	0.9	dsDNAphage	|0_partial
13613	NODE_13614_length_8372_cov_3.423710	bin.098	8372		Bacteria?	
24	NODE_25_length_224646_cov_12.118972	bin.099	224646	0.993	dsDNAphage	|full
100	NODE_101_length_126663_cov_6.812666	bin.100	126663	0.98	dsDNAphage	|full
1104	NODE_1105_length_42144_cov_6.913136	bin.101	42144		Bacteria?	
4264	NODE_4265_length_18674_cov_4.152640	bin.102	18674		Bacteria?	
4623	NODE_4624_length_17693_cov_3.922213	bin.103	17693		Bacteria?	
4674	NODE_4675_length_17566_cov_3.522472	bin.104	17566		Bacteria?	
34	NODE_35_length_203721_cov_15.233102	bin.105	203721		Bacteria?	
193	NODE_194_length_96173_cov_5.863241	bin.106	96173		Bacteria?	
5572	NODE_5573_length_15669_cov_4.756180	bin.107	15669		Bacteria?	
1472	NODE_1473_length_36282_cov_4.726806	bin.108	36282		Bacteria?	
6254	NODE_6255_length_14474_cov_3.351481	bin.109	14474		Bacteria?	
44	NODE_45_length_180724_cov_12.037776	bin.110	180724		Bacteria?	
2023	NODE_2024_length_30164_cov_3.876781	bin.111	30164		Bacteria?	
11355	NODE_11356_length_9556_cov_2.971266	bin.112	9556	1.0	dsDNAphage	|full
670	NODE_671_length_54288_cov_6.334575	bin.113	54288	0.987	dsDNAphage	|full
461	NODE_462_length_63207_cov_5.918562	bin.114	63207		Bacteria?	
999	NODE_1000_length_44232_cov_6.913190	bin.115	44232		Bacteria?	
731	NODE_732_length_51786_cov_8.788173	bin.116	51786	1.0	dsDNAphage	|full
6204	NODE_6205_length_14568_cov_3.142355	bin.117	14568		Bacteria?	
166	NODE_167_length_103753_cov_5.676840	bin.118	103753		Bacteria?	
3305	NODE_3306_length_22012_cov_5.014984	bin.119	22012	0.707	dsDNAphage	|full
28	NODE_29_length_216869_cov_8.342114	bin.120	216869	0.96	dsDNAphage	|full
1133	NODE_1134_length_41509_cov_4.443697	bin.121	41509	0.987	dsDNAphage	|full
3065	NODE_3066_length_23137_cov_4.249632	bin.122	23137		Bacteria?	
18	NODE_19_length_255398_cov_34.915075	bin.123	255398	0.9	dsDNAphage	|full
1716	NODE_1717_length_33053_cov_6.018274	bin.124	33053	0.993	dsDNAphage	|full
1159	NODE_1160_length_41066_cov_6.430762	bin.125	41066	0.953	dsDNAphage	|full
5915	NODE_5916_length_15035_cov_3.948665	bin.126	15035		Bacteria?	
23	NODE_24_length_228201_cov_12.661348	bin.127	228201	0.987	dsDNAphage	|full
14	NODE_15_length_268235_cov_8.215795	bin.128	268235		Bacteria?	
378	NODE_379_length_69573_cov_7.341494	bin.129	69573	1.0	NCLDV	|full
1037	NODE_1038_length_43449_cov_4.496751	bin.130	43449	0.887	NCLDV	|full
845	NODE_846_length_47847_cov_5.676117	bin.131	47847		Bacteria?	
794	NODE_795_length_49550_cov_5.527831	bin.132	49550	0.967	NCLDV	|full
2734	NODE_2735_length_24823_cov_6.086725	bin.134	24823		Bacteria?	
9065	NODE_9066_length_11202_cov_3.225442	bin.135	11202		Bacteria?	
7172	NODE_7173_length_13175_cov_3.175534	bin.136	13175		Bacteria?	
2328	NODE_2329_length_27407_cov_5.875183	bin.137	27407	0.94	lavidaviridae	|full
1	NODE_2_length_494840_cov_20.338171	bin.138	494840	0.953	dsDNAphage	|full
625	NODE_626_length_55741_cov_4.578799	bin.139	55741		Bacteria?	
439	NODE_440_length_64970_cov_6.275191	bin.140	64970	0.993	dsDNAphage	|full
20	NODE_21_length_237878_cov_10.599013	bin.141	237878		Bacteria?	
85	NODE_86_length_136464_cov_6.806699	bin.142	136464		Bacteria?	
154	NODE_155_length_108086_cov_52.255843	bin.143	108086		Bacteria?	
686	NODE_687_length_53625_cov_4.881352	bin.144	53625		Bacteria?	
720	NODE_721_length_52244_cov_5.258924	bin.145	52244		Bacteria?	
946	NODE_947_length_45516_cov_6.195596	bin.146	45516		Bacteria?	
1013	NODE_1014_length_43945_cov_6.485395	bin.147	43945	0.74	dsDNAphage	|full
240	NODE_241_length_84714_cov_7.545400	bin.148	84714		Bacteria?	
200	NODE_201_length_92141_cov_4.818691	bin.149	92141	0.707	NCLDV	|full
1365	NODE_1366_length_38084_cov_4.768282	bin.150	38084	0.993	dsDNAphage	|full
675	NODE_676_length_54092_cov_6.570924	bin.151	54092		Bacteria?	
566	NODE_567_length_57614_cov_7.660679	bin.152	57614		Bacteria?	
881	NODE_882_length_46924_cov_6.060765	bin.153	46924	0.987	dsDNAphage	|full
3513	NODE_3514_length_21144_cov_3.915454	bin.154	21144		Bacteria?	
4119	NODE_4120_length_19120_cov_3.884553	bin.155	19120	0.953	dsDNAphage	|full
5672	NODE_5673_length_15449_cov_3.300377	bin.156	15449	0.847	dsDNAphage	|full
8666	NODE_8667_length_11534_cov_3.079275	bin.157	11534		Bacteria?	
146	NODE_147_length_109806_cov_7.295642	bin.158	109806	0.913	dsDNAphage	|full
10413	NODE_10414_length_10174_cov_3.396185	bin.159	10174		Bacteria?	
4020	NODE_4021_length_19431_cov_3.359569	bin.160	19431		Bacteria?	
13804	NODE_13805_length_8292_cov_3.021367	bin.161	8292		Bacteria?	
10169	NODE_10170_length_10340_cov_3.122995	bin.162	10340		Bacteria?	
17913	NODE_17914_length_6914_cov_2.846042	bin.163	6914		Bacteria?	
0	NODE_1_length_620688_cov_28.577779	bin.unbinned	620688		Bacteria?	
