	seqname	contigLen	totalAvgDepth	a20d9c2a-d9de-4901-a3a6-c2a954fcfdf4.inter.fastq.sam.sorted.bam	a20d9c2a-d9de-4901-a3a6-c2a954fcfdf4.inter.fastq.sam.sorted.bam-var	bin	%GC	bin_y	dsDNAphage	ssDNA	lavidaviridae	NCLDV	max_score	max_score_group	length	hallmark	viral	cellular	full-partial
7897	NODE_7897_length_13681_cov_4.587113	13681.0	7.24159	7.24159	9.11707	bin.003	66.0							Bacteria?					
7997	NODE_7997_length_13565_cov_4.109030	13565.0	6.56616	6.56616	8.9165	bin.003	64.0							Bacteria?					
8103	NODE_8103_length_13447_cov_4.029943	13447.0	6.42333	6.42333	7.77692	bin.003	67.0							Bacteria?					
8116	NODE_8116_length_13434_cov_4.135586	13434.0	6.57791	6.57791	8.05635	bin.003	62.0							Bacteria?					
8156	NODE_8156_length_13385_cov_3.261890	13385.0	5.5462	5.5462	7.2649	bin.003	63.0							Bacteria?					
8221	NODE_8221_length_13312_cov_4.055216	13312.0	6.47272	6.47272	6.50643	bin.003	62.0							Bacteria?					
8263	NODE_8263_length_13269_cov_4.502724	13269.0	7.22776	7.22776	10.0553	bin.003	63.0							Bacteria?					
8266	NODE_8266_length_13267_cov_3.817969	13267.0	6.06511	6.06511	7.466	bin.003	62.0							Bacteria?					
8334	NODE_8334_length_13195_cov_3.606621	13195.0	6.18567	6.18567	7.95149	bin.003	65.0							Bacteria?					
8375	NODE_8375_length_13163_cov_3.542798	13163.0	5.82694	5.82694	7.39934	bin.003	63.0							Bacteria?					
8666	NODE_8666_length_12841_cov_4.320820	12841.0	6.81648	6.81648	8.88586	bin.003	65.0							Bacteria?					
8693	NODE_8693_length_12813_cov_3.930553	12813.0	6.17342	6.17342	6.33015	bin.003	62.0							Bacteria?					
8753	NODE_8753_length_12759_cov_4.504408	12759.0	7.24935	7.24935	8.26396	bin.003	64.0							Bacteria?					
8756	NODE_8756_length_12755_cov_3.420945	12755.0	6.10163	6.10163	9.62891	bin.003	63.0							Bacteria?					
8762	NODE_8762_length_12752_cov_3.779554	12752.0	5.9781	5.9781	7.31997	bin.003	64.0							Bacteria?					
8846	NODE_8846_length_12666_cov_3.965823	12666.0	6.34252	6.34252	8.48098	bin.003	61.0							Bacteria?					
8939	NODE_8939_length_12557_cov_4.183171	12557.0	6.66406	6.66406	7.01625	bin.003	62.0							Bacteria?					
8997	NODE_8997_length_12500_cov_3.841141	12500.0	6.25004	6.25004	7.0119	bin.003	64.0							Bacteria?					
9025	NODE_9025_length_12470_cov_4.228997	12470.0	6.87695	6.87695	8.9974	bin.003	64.0							Bacteria?					
9087	NODE_9087_length_12399_cov_4.371679	12399.0	6.99763	6.99763	6.12335	bin.003	63.0							Bacteria?					
9107	NODE_9107_length_12377_cov_3.923470	12377.0	6.34113	6.34113	7.70056	bin.003	65.0							Bacteria?					
9109	NODE_9109_length_12376_cov_3.532181	12376.0	5.71454	5.71454	6.31803	bin.003	63.0							Bacteria?					
9114	NODE_9114_length_12372_cov_3.997240	12372.0	6.40223	6.40223	6.63857	bin.003	64.0							Bacteria?					
9115	NODE_9115_length_12372_cov_3.944223	12372.0	6.38774	6.38774	6.54716	bin.003	64.0							Bacteria?					
9190	NODE_9190_length_12300_cov_4.041323	12300.0	6.29333	6.29333	6.48958	bin.003	62.0							Bacteria?					
9252	NODE_9252_length_12242_cov_3.298925	12242.0	5.2519	5.2519	5.84859	bin.003	61.0							Bacteria?					
9269	NODE_9269_length_12223_cov_3.897025	12223.0	6.21859	6.21859	7.12615	bin.003	63.0							Bacteria?					
9292	NODE_9292_length_12208_cov_4.365918	12208.0	6.91342	6.91342	7.48329	bin.003	66.0							Bacteria?					
9336	NODE_9336_length_12171_cov_3.623308	12171.0	5.84693	5.84693	6.6159	bin.003	65.0							Bacteria?					
9461	NODE_9461_length_12046_cov_3.725127	12046.0	6.31775	6.31775	7.14834	bin.003	65.0							Bacteria?					
9547	NODE_9547_length_11986_cov_4.073925	11986.0	6.54089	6.54089	7.02923	bin.003	65.0							Bacteria?					
9573	NODE_9573_length_11962_cov_3.414546	11962.0	6.07966	6.07966	7.55041	bin.003	65.0							Bacteria?					
9616	NODE_9616_length_11930_cov_4.500379	11930.0	7.29134	7.29134	9.34618	bin.003	64.0	bin.003	0.76	0.007	0.133	0.133	0.76	dsDNAphage	11927.0	1.0	41.7	16.7	|full
9691	NODE_9691_length_11865_cov_3.622608	11865.0	6.03158	6.03158	9.72078	bin.003	64.0							Bacteria?					
9727	NODE_9727_length_11842_cov_3.612030	11842.0	5.79276	5.79276	5.68215	bin.003	61.0							Bacteria?					
9731	NODE_9731_length_11839_cov_4.123303	11839.0	6.51296	6.51296	7.60589	bin.003	61.0							Bacteria?					
9734	NODE_9734_length_11837_cov_3.843999	11837.0	6.35655	6.35655	5.84016	bin.003	63.0							Bacteria?					
9747	NODE_9747_length_11830_cov_3.820977	11830.0	6.12166	6.12166	7.0268	bin.003	65.0							Bacteria?					
9753	NODE_9753_length_11827_cov_4.024805	11827.0	6.41723	6.41723	7.2755	bin.003	60.0							Bacteria?					
9768	NODE_9768_length_11818_cov_3.895350	11818.0	6.28514	6.28514	4.53906	bin.003	64.0							Bacteria?					
9808	NODE_9808_length_11787_cov_3.642601	11787.0	5.8937	5.8937	6.95312	bin.003	61.0							Bacteria?					
9913	NODE_9913_length_11709_cov_4.009610	11709.0	6.30297	6.30297	7.78016	bin.003	64.0							Bacteria?					
9945	NODE_9945_length_11685_cov_4.273173	11685.0	6.86138	6.86138	6.91667	bin.003	67.0							Bacteria?					
9963	NODE_9963_length_11672_cov_4.009641	11672.0	6.41937	6.41937	6.6562	bin.003	64.0							Bacteria?					
9971	NODE_9971_length_11663_cov_4.177205	11663.0	6.64449	6.64449	8.62372	bin.003	63.0							Bacteria?					
9978	NODE_9978_length_11659_cov_3.884178	11659.0	6.08237	6.08237	7.02361	bin.003	63.0							Bacteria?					
10148	NODE_10148_length_11504_cov_4.159577	11504.0	6.6086	6.6086	8.7282	bin.003	62.0							Bacteria?					
10237	NODE_10237_length_11439_cov_4.013176	11439.0	6.39109	6.39109	8.14951	bin.003	60.0							Bacteria?					
10272	NODE_10272_length_11403_cov_3.711667	11403.0	5.98365	5.98365	6.09819	bin.003	65.0							Bacteria?					
10275	NODE_10275_length_11401_cov_3.433192	11401.0	5.92614	5.92614	6.33659	bin.003	63.0							Bacteria?					
10283	NODE_10283_length_11390_cov_3.771151	11390.0	6.07233	6.07233	6.59656	bin.003	64.0							Bacteria?					
10323	NODE_10323_length_11365_cov_4.170557	11365.0	6.81703	6.81703	7.88058	bin.003	64.0							Bacteria?					
10324	NODE_10324_length_11365_cov_3.904332	11365.0	7.04512	7.04512	6.48853	bin.003	65.0							Bacteria?					
10391	NODE_10391_length_11304_cov_3.623255	11304.0	6.50583	6.50583	6.87866	bin.003	63.0							Bacteria?					
10426	NODE_10426_length_11281_cov_3.149742	11281.0	5.4014	5.4014	8.78891	bin.003	65.0							Bacteria?					
10454	NODE_10454_length_11257_cov_4.064542	11257.0	6.45602	6.45602	4.878	bin.003	64.0							Bacteria?					
10459	NODE_10459_length_11254_cov_4.514957	11254.0	7.21983	7.21983	7.50963	bin.003	64.0							Bacteria?					
10469	NODE_10469_length_11245_cov_4.069526	11245.0	6.5772	6.5772	6.74504	bin.003	64.0							Bacteria?					
10476	NODE_10476_length_11240_cov_3.873402	11240.0	6.26456	6.26456	8.09287	bin.003	62.0							Bacteria?					
10534	NODE_10534_length_11202_cov_3.132053	11202.0	5.09582	5.09582	5.44522	bin.003	64.0							Bacteria?					
10558	NODE_10558_length_11183_cov_4.241463	11183.0	6.87003	6.87003	10.6118	bin.003	63.0							Bacteria?					
10562	NODE_10562_length_11180_cov_3.876944	11180.0	6.24252	6.24252	6.52548	bin.003	62.0							Bacteria?					
10647	NODE_10647_length_11119_cov_4.674711	11119.0	6.85386	6.85386	7.60676	bin.003	62.0							Bacteria?					
10648	NODE_10648_length_11119_cov_3.441884	11119.0	5.5583	5.5583	5.45082	bin.003	67.0							Bacteria?					
10693	NODE_10693_length_11085_cov_3.578966	11085.0	6.24554	6.24554	6.73153	bin.003	64.0							Bacteria?					
10727	NODE_10727_length_11066_cov_3.908818	11066.0	6.40702	6.40702	7.81535	bin.003	67.0							Bacteria?					
10866	NODE_10866_length_10974_cov_4.822786	10974.0	6.57733	6.57733	7.69314	bin.003	63.0							Bacteria?					
10921	NODE_10921_length_10935_cov_3.682904	10935.0	6.59082	6.59082	9.70331	bin.003	68.0							Bacteria?					
10941	NODE_10941_length_10920_cov_4.158859	10920.0	6.69071	6.69071	6.33753	bin.003	63.0							Bacteria?					
10965	NODE_10965_length_10904_cov_4.407134	10904.0	6.46513	6.46513	6.62072	bin.003	63.0							Bacteria?					
10978	NODE_10978_length_10897_cov_3.817100	10897.0	6.6747	6.6747	7.56969	bin.003	65.0							Bacteria?					
11013	NODE_11013_length_10870_cov_3.941933	10870.0	6.47696	6.47696	6.62503	bin.003	66.0							Bacteria?					
11025	NODE_11025_length_10863_cov_3.930329	10863.0	5.92159	5.92159	6.29079	bin.003	63.0							Bacteria?					
11041	NODE_11041_length_10846_cov_3.418590	10846.0	5.44241	5.44241	5.8513	bin.003	62.0							Bacteria?					
11106	NODE_11106_length_10804_cov_4.077496	10804.0	6.47841	6.47841	5.67772	bin.003	65.0							Bacteria?					
11114	NODE_11114_length_10801_cov_4.237205	10801.0	6.81645	6.81645	9.76844	bin.003	62.0							Bacteria?					
11188	NODE_11188_length_10755_cov_3.185607	10755.0	5.16568	5.16568	3.88363	bin.003	63.0							Bacteria?					
11195	NODE_11195_length_10748_cov_3.767698	10748.0	6.05001	6.05001	5.91378	bin.003	64.0							Bacteria?					
11208	NODE_11208_length_10738_cov_4.033511	10738.0	6.65348	6.65348	6.89557	bin.003	65.0							Bacteria?					
