	seqname	contigLen	totalAvgDepth	111f2644-870d-4a95-ab44-101be3f522ca.inter.fastq.sam.sorted.bam	111f2644-870d-4a95-ab44-101be3f522ca.inter.fastq.sam.sorted.bam-var	bin	%GC	bin_y	dsDNAphage	ssDNA	lavidaviridae	NCLDV	max_score	max_score_group	length	hallmark	viral	cellular	full-partial
3213	NODE_3214_length_15792_cov_4.499968	15792	6.97449	6.97449	8.896	bin.001	56.0							Bacteria?					
3276	NODE_3277_length_15611_cov_5.232772	15611	8.1357	8.1357	7.14284	bin.001	55.0							Bacteria?					
3285	NODE_3286_length_15585_cov_6.078300	15585	9.09621	9.09621	11.0246	bin.001	56.0							Bacteria?					
3333	NODE_3334_length_15467_cov_5.093563	15467	7.84246	7.84246	9.88719	bin.001	51.0							Bacteria?					
3492	NODE_3493_length_15047_cov_4.702174	15047	7.28986	7.28986	7.5865	bin.001	55.0							Bacteria?					
3546	NODE_3547_length_14890_cov_4.908662	14890	7.61248	7.61248	11.4035	bin.001	55.0							Bacteria?					
3561	NODE_3562_length_14861_cov_5.816561	14861	9.02726	9.02726	14.0744	bin.001	51.0							Bacteria?					
3590	NODE_3591_length_14800_cov_5.178908	14800	7.53488	7.53488	9.70288	bin.001	51.0							Bacteria?					
3598	NODE_3599_length_14789_cov_5.116194	14789	7.77902	7.77902	9.98488	bin.001	53.0							Bacteria?					
3707	NODE_3708_length_14515_cov_5.035270	14515	7.77877	7.77877	9.53466	bin.001	55.0							Bacteria?					
3729	NODE_3730_length_14457_cov_4.798153	14457	7.16544	7.16544	9.38766	bin.001	58.0							Bacteria?					
3816	NODE_3817_length_14267_cov_4.958064	14267	7.66027	7.66027	9.50628	bin.001	51.0							Bacteria?					
3824	NODE_3825_length_14255_cov_5.305493	14255	8.25381	8.25381	7.169	bin.001	52.0							Bacteria?					
3898	NODE_3899_length_14093_cov_5.345847	14093	8.25009	8.25009	11.2952	bin.001	55.0							Bacteria?					
4187	NODE_4188_length_13501_cov_4.625167	13501	7.15377	7.15377	8.21921	bin.001	56.0							Bacteria?					
4243	NODE_4244_length_13381_cov_4.794537	13381	7.53851	7.53851	6.61718	bin.001	55.0							Bacteria?					
4263	NODE_4264_length_13347_cov_4.568914	13347	7.12071	7.12071	7.85869	bin.001	57.0							Bacteria?					
4289	NODE_4290_length_13300_cov_4.628011	13300	7.30464	7.30464	9.97803	bin.001	55.0							Bacteria?					
4304	NODE_4305_length_13271_cov_5.093977	13271	7.92661	7.92661	8.59142	bin.001	56.0							Bacteria?					
4335	NODE_4336_length_13228_cov_5.254915	13228	7.83958	7.83958	14.2569	bin.001	57.0							Bacteria?					
4344	NODE_4345_length_13210_cov_4.653060	13210	7.02113	7.02113	8.07727	bin.001	55.0							Bacteria?					
4367	NODE_4368_length_13162_cov_4.747845	13162	6.9761	6.9761	9.31211	bin.001	49.0							Bacteria?					
4370	NODE_4371_length_13153_cov_4.634524	13153	7.03984	7.03984	10.6618	bin.001	56.0							Bacteria?					
4558	NODE_4559_length_12848_cov_4.704057	12848	7.3343	7.3343	7.62311	bin.001	56.0							Bacteria?					
4568	NODE_4569_length_12827_cov_6.423191	12827	8.36838	8.36838	14.8657	bin.001	57.0							Bacteria?					
4816	NODE_4817_length_12433_cov_4.509452	12433	7.13775	7.13775	8.09476	bin.001	56.0							Bacteria?					
4837	NODE_4838_length_12402_cov_4.910829	12402	7.78314	7.78314	8.74001	bin.001	56.0							Bacteria?					
4880	NODE_4881_length_12342_cov_3.787662	12342	5.84031	5.84031	5.29674	bin.001	53.0							Bacteria?					
5055	NODE_5056_length_12087_cov_5.625582	12087	8.82307	8.82307	12.0265	bin.001	55.0							Bacteria?					
5067	NODE_5068_length_12055_cov_5.121000	12055	7.50164	7.50164	9.41151	bin.001	55.0							Bacteria?					
5112	NODE_5113_length_11984_cov_4.003102	11984	6.0894	6.0894	7.42176	bin.001	53.0							Bacteria?					
5126	NODE_5127_length_11959_cov_4.965894	11959	7.70412	7.70412	9.89594	bin.001	55.0							Bacteria?					
5231	NODE_5232_length_11813_cov_5.476016	11813	8.50442	8.50442	11.6675	bin.001	54.0							Bacteria?					
5283	NODE_5284_length_11739_cov_4.891732	11739	7.48572	7.48572	8.75334	bin.001	55.0							Bacteria?					
5290	NODE_5291_length_11727_cov_4.769363	11727	7.46618	7.46618	9.08889	bin.001	55.0							Bacteria?					
5327	NODE_5328_length_11673_cov_4.983044	11673	7.67656	7.67656	9.66902	bin.001	54.0							Bacteria?					
5373	NODE_5374_length_11599_cov_5.109667	11599	7.90252	7.90252	8.96074	bin.001	53.0							Bacteria?					
5479	NODE_5480_length_11443_cov_6.371180	11443	9.51492	9.51492	9.5419	bin.001	56.0							Bacteria?					
5483	NODE_5484_length_11439_cov_4.953092	11439	7.68261	7.68261	7.10838	bin.001	56.0							Bacteria?					
5585	NODE_5586_length_11329_cov_4.768228	11329	7.21675	7.21675	7.56072	bin.001	57.0							Bacteria?					
5716	NODE_5717_length_11177_cov_5.485974	11177	8.59318	8.59318	10.8294	bin.001	54.0							Bacteria?					
5726	NODE_5727_length_11167_cov_4.230562	11167	6.67977	6.67977	10.5867	bin.001	55.0							Bacteria?					
5741	NODE_5742_length_11136_cov_5.223716	11136	8.19443	8.19443	8.21218	bin.001	54.0							Bacteria?					
5905	NODE_5906_length_10940_cov_4.841984	10940	7.46497	7.46497	9.9947	bin.001	53.0							Bacteria?					
5988	NODE_5989_length_10849_cov_5.213359	10849	8.15777	8.15777	9.48074	bin.001	52.0							Bacteria?					
6117	NODE_6118_length_10683_cov_5.193545	10683	7.73417	7.73417	13.5406	bin.001	54.0							Bacteria?					
6128	NODE_6129_length_10668_cov_4.546405	10668	7.17256	7.17256	6.29938	bin.001	56.0							Bacteria?					
6193	NODE_6194_length_10613_cov_4.964671	10613	7.77588	7.77588	10.0044	bin.001	57.0							Bacteria?					
6238	NODE_6239_length_10578_cov_4.542051	10578	7.13013	7.13013	9.02938	bin.001	57.0							Bacteria?					
6255	NODE_6256_length_10554_cov_4.786456	10554	7.53797	7.53797	7.45669	bin.001	55.0							Bacteria?					
6305	NODE_6306_length_10515_cov_5.944742	10515	9.13063	9.13063	8.77619	bin.001	51.0							Bacteria?					
6336	NODE_6337_length_10492_cov_5.082112	10492	7.95446	7.95446	8.97381	bin.001	56.0							Bacteria?					
6357	NODE_6358_length_10476_cov_4.764418	10476	6.91371	6.91371	8.25904	bin.001	57.0							Bacteria?					
6406	NODE_6407_length_10435_cov_5.106069	10435	7.85863	7.85863	8.71229	bin.001	55.0							Bacteria?					
6428	NODE_6429_length_10420_cov_5.571539	10420	8.62872	8.62872	10.6507	bin.001	55.0							Bacteria?					
6451	NODE_6452_length_10393_cov_4.752660	10393	7.14908	7.14908	11.3471	bin.001	56.0							Bacteria?					
6477	NODE_6478_length_10368_cov_4.707651	10368	7.34341	7.34341	7.79951	bin.001	55.0							Bacteria?					
6500	NODE_6501_length_10346_cov_4.354290	10346	6.76697	6.76697	8.683	bin.001	52.0							Bacteria?					
6520	NODE_6521_length_10335_cov_5.620525	10335	8.67275	8.67275	8.45717	bin.001	54.0							Bacteria?					
6573	NODE_6574_length_10293_cov_5.192713	10293	8.06763	8.06763	7.91711	bin.001	57.0							Bacteria?					
6664	NODE_6665_length_10184_cov_4.681410	10184	7.15986	7.15986	7.69254	bin.001	58.0							Bacteria?					
6665	NODE_6666_length_10183_cov_6.459123	10183	9.6373	9.6373	17.7538	bin.001	56.0							Bacteria?					
6725	NODE_6726_length_10135_cov_5.855556	10135	8.90936	8.90936	9.19295	bin.001	55.0							Bacteria?					
6728	NODE_6729_length_10133_cov_5.288549	10133	8.24281	8.24281	10.7066	bin.001	56.0							Bacteria?					
6754	NODE_6755_length_10116_cov_4.885697	10116	7.56	7.56	8.59801	bin.001	57.0							Bacteria?					
6804	NODE_6805_length_10066_cov_5.192888	10066	8.01281	8.01281	9.74226	bin.001	54.0							Bacteria?					
6868	NODE_6869_length_10000_cov_5.149723	10000	7.96944	7.96944	10.1676	bin.001	50.0	bin.001	1.0	0.22	0.473	0.253	1.0	dsDNAphage	9371.0	1.0	28.6	0.0	|full
6914	NODE_6915_length_9956_cov_4.979093	9956	7.80532	7.80532	6.86059	bin.001	54.0							Bacteria?					
6954	NODE_6955_length_9928_cov_6.171174	9928	9.63919	9.63919	19.1708	bin.001	55.0							Bacteria?					
7148	NODE_7149_length_9758_cov_4.914356	9758	7.77165	7.77165	9.29443	bin.001	52.0							Bacteria?					
7234	NODE_7235_length_9695_cov_4.622095	9695	7.05175	7.05175	9.55682	bin.001	57.0							Bacteria?					
7257	NODE_7258_length_9674_cov_5.253145	9674	8.14868	8.14868	11.4506	bin.001	56.0							Bacteria?					
7350	NODE_7351_length_9604_cov_4.943554	9604	7.67157	7.67157	9.30108	bin.001	57.0							Bacteria?					
7434	NODE_7435_length_9540_cov_4.814549	9540	7.682	7.682	8.13725	bin.001	57.0							Bacteria?					
7467	NODE_7468_length_9515_cov_4.250106	9515	6.76241	6.76241	6.19727	bin.001	58.0							Bacteria?					
7531	NODE_7532_length_9468_cov_5.261234	9468	7.83784	7.83784	8.3885	bin.001	55.0							Bacteria?					
7542	NODE_7543_length_9460_cov_4.561935	9460	7.17572	7.17572	9.83877	bin.001	56.0							Bacteria?					
7601	NODE_7602_length_9422_cov_4.777624	9422	7.50863	7.50863	8.03891	bin.001	56.0							Bacteria?					
7616	NODE_7617_length_9408_cov_5.354539	9408	8.3531	8.3531	13.9307	bin.001	55.0							Bacteria?					
7628	NODE_7629_length_9401_cov_5.863899	9401	8.97784	8.97784	10.4348	bin.001	53.0							Bacteria?					
7742	NODE_7743_length_9320_cov_4.819536	9320	7.59477	7.59477	11.2088	bin.001	58.0							Bacteria?					
7761	NODE_7762_length_9305_cov_4.747027	9305	7.47875	7.47875	7.73012	bin.001	55.0							Bacteria?					
7787	NODE_7788_length_9281_cov_4.664969	9281	6.9839	6.9839	7.44703	bin.001	55.0							Bacteria?					
7873	NODE_7874_length_9221_cov_4.945123	9221	7.19546	7.19546	7.60699	bin.001	57.0							Bacteria?					
7881	NODE_7882_length_9215_cov_6.135808	9215	8.87314	8.87314	12.3391	bin.001	51.0							Bacteria?					
7892	NODE_7893_length_9209_cov_4.715425	9209	7.17817	7.17817	6.96403	bin.001	58.0							Bacteria?					
7962	NODE_7963_length_9162_cov_5.622159	9162	8.65069	8.65069	17.4097	bin.001	54.0	bin.001	0.053	0.0	0.02	0.52	0.52	NCLDV	9162.0	0.0	14.3	0.0	|full
8011	NODE_8012_length_9122_cov_5.517591	9122	8.31364	8.31364	11.5753	bin.001	55.0							Bacteria?					
8013	NODE_8014_length_9121_cov_4.182771	9121	6.53896	6.53896	6.47423	bin.001	52.0							Bacteria?					
8050	NODE_8051_length_9091_cov_4.794378	9091	7.40801	7.40801	9.74497	bin.001	51.0							Bacteria?					
8136	NODE_8137_length_9037_cov_4.572144	9037	7.06999	7.06999	6.35546	bin.001	55.0							Bacteria?					
8240	NODE_8241_length_8964_cov_5.582445	8964	8.46766	8.46766	10.5565	bin.001	54.0							Bacteria?					
8285	NODE_8286_length_8935_cov_4.340991	8935	6.85987	6.85987	7.65095	bin.001	55.0							Bacteria?					
8360	NODE_8361_length_8887_cov_4.973505	8887	7.76777	7.76777	7.9382	bin.001	56.0							Bacteria?					
8362	NODE_8363_length_8886_cov_5.701280	8886	8.50412	8.50412	8.85116	bin.001	55.0							Bacteria?					
8408	NODE_8409_length_8860_cov_5.699262	8860	8.88117	8.88117	10.021	bin.001	55.0							Bacteria?					
8412	NODE_8413_length_8859_cov_7.190822	8859	8.5678	8.5678	16.484	bin.001	58.0							Bacteria?					
8425	NODE_8426_length_8855_cov_4.167955	8855	6.27134	6.27134	6.27858	bin.001	57.0							Bacteria?					
8518	NODE_8519_length_8805_cov_4.270400	8805	6.26239	6.26239	5.37827	bin.001	55.0							Bacteria?					
8522	NODE_8523_length_8804_cov_4.917933	8804	6.69505	6.69505	6.94446	bin.001	56.0							Bacteria?					
8684	NODE_8685_length_8705_cov_5.461040	8705	8.07504	8.07504	10.4095	bin.001	55.0							Bacteria?					
8763	NODE_8764_length_8660_cov_6.771644	8660	9.88919	9.88919	16.6984	bin.001	56.0							Bacteria?					
8826	NODE_8827_length_8615_cov_5.542173	8615	8.42812	8.42812	9.15626	bin.001	56.0							Bacteria?					
8869	NODE_8870_length_8596_cov_4.940288	8596	7.75302	7.75302	7.15477	bin.001	56.0							Bacteria?					
9073	NODE_9074_length_8483_cov_4.387280	8483	6.73047	6.73047	6.98636	bin.001	55.0							Bacteria?					
9224	NODE_9225_length_8399_cov_5.040508	8399	7.77985	7.77985	8.23501	bin.001	55.0							Bacteria?					
9257	NODE_9258_length_8382_cov_5.885793	8382	8.72	8.72	11.2614	bin.001	56.0							Bacteria?					
9324	NODE_9325_length_8348_cov_4.745689	8348	7.35362	7.35362	7.72788	bin.001	56.0							Bacteria?					
9370	NODE_9371_length_8323_cov_5.736091	8323	8.93613	8.93613	14.5193	bin.001	56.0							Bacteria?					
9371	NODE_9372_length_8322_cov_5.880852	8322	8.07354	8.07354	12.9624	bin.001	59.0							Bacteria?					
9456	NODE_9457_length_8283_cov_4.937044	8283	7.80757	7.80757	8.78625	bin.001	57.0							Bacteria?					
9479	NODE_9480_length_8268_cov_4.790089	8268	7.30944	7.30944	6.89037	bin.001	55.0							Bacteria?					
9510	NODE_9511_length_8251_cov_4.507687	8251	7.15615	7.15615	8.41964	bin.001	56.0							Bacteria?					
9772	NODE_9773_length_8122_cov_5.043635	8122	7.83266	7.83266	8.39318	bin.001	55.0							Bacteria?					
9804	NODE_9805_length_8106_cov_4.720407	8106	7.24271	7.24271	7.90509	bin.001	56.0							Bacteria?					
10106	NODE_10107_length_7973_cov_5.289341	7973	8.20938	8.20938	8.76771	bin.001	55.0							Bacteria?					
10156	NODE_10157_length_7949_cov_5.238916	7949	7.97769	7.97769	11.6293	bin.001	56.0							Bacteria?					
10171	NODE_10172_length_7941_cov_4.432158	7941	6.98755	6.98755	6.43001	bin.001	57.0							Bacteria?					
10178	NODE_10179_length_7938_cov_5.481416	7938	8.29404	8.29404	11.9303	bin.001	56.0							Bacteria?					
10179	NODE_10180_length_7938_cov_5.160726	7938	8.05675	8.05675	10.6945	bin.001	53.0							Bacteria?					
10221	NODE_10222_length_7917_cov_4.604299	7917	7.13171	7.13171	8.11052	bin.001	56.0							Bacteria?					
10315	NODE_10316_length_7876_cov_4.733538	7876	7.38869	7.38869	11.6119	bin.001	56.0							Bacteria?					
10423	NODE_10424_length_7822_cov_5.518347	7822	8.24518	8.24518	9.9718	bin.001	55.0	bin.001	0.613	0.013	0.147	0.187	0.613	dsDNAphage	7822.0	0.0	25.0	8.3	|full
10499	NODE_10500_length_7790_cov_3.846671	7790	5.88639	5.88639	6.22342	bin.001	55.0							Bacteria?					
10583	NODE_10584_length_7752_cov_5.817721	7752	7.94633	7.94633	17.9064	bin.001	53.0	bin.001	0.127	0.04	0.367	0.6	0.6	NCLDV	7000.0	0.0	25.0	0.0	|full
10744	NODE_10745_length_7678_cov_4.829988	7678	7.47875	7.47875	6.3007	bin.001	56.0							Bacteria?					
10902	NODE_10903_length_7600_cov_5.897946	7600	8.27248	8.27248	9.72067	bin.001	55.0							Bacteria?					
10987	NODE_10988_length_7567_cov_4.764244	7567	7.46946	7.46946	9.27017	bin.001	54.0	bin.001	0.28	0.1	0.573	0.673	0.673	NCLDV	7566.0	0.0	25.0	0.0	|full
10988	NODE_10989_length_7566_cov_4.636666	7566	7.35518	7.35518	9.45513	bin.001	53.0							Bacteria?					
11014	NODE_11015_length_7553_cov_5.729261	7553	8.9719	8.9719	11.0018	bin.001	56.0							Bacteria?					
11053	NODE_11054_length_7536_cov_4.721561	7536	7.03926	7.03926	7.82541	bin.001	56.0							Bacteria?					
11058	NODE_11059_length_7534_cov_4.950127	7534	7.77221	7.77221	12.2899	bin.001	59.0							Bacteria?					
11066	NODE_11067_length_7531_cov_4.401819	7531	6.85747	6.85747	7.73959	bin.001	56.0							Bacteria?					
11073	NODE_11074_length_7528_cov_4.107989	7528	6.50867	6.50867	6.46031	bin.001	55.0							Bacteria?					
11186	NODE_11187_length_7484_cov_4.682191	7484	7.34224	7.34224	7.617	bin.001	55.0							Bacteria?					
11213	NODE_11214_length_7473_cov_4.640469	7473	7.1072	7.1072	7.91467	bin.001	55.0							Bacteria?					
11348	NODE_11349_length_7419_cov_4.851032	7419	7.45481	7.45481	8.37391	bin.001	54.0							Bacteria?					
11360	NODE_11361_length_7414_cov_5.042125	7414	6.9704	6.9704	6.99562	bin.001	56.0							Bacteria?					
11410	NODE_11411_length_7393_cov_4.607659	7393	7.35082	7.35082	6.39718	bin.001	57.0							Bacteria?					
11431	NODE_11432_length_7386_cov_4.398854	7386	6.92137	6.92137	6.9917	bin.001	54.0							Bacteria?					
11518	NODE_11519_length_7351_cov_4.379386	7351	6.74948	6.74948	7.63849	bin.001	55.0							Bacteria?					
11521	NODE_11522_length_7349_cov_4.190842	7349	6.55633	6.55633	7.39499	bin.001	56.0							Bacteria?					
11598	NODE_11599_length_7324_cov_4.583024	7324	7.13688	7.13688	7.34473	bin.001	56.0							Bacteria?					
11665	NODE_11666_length_7301_cov_5.273116	7301	8.28541	8.28541	10.8185	bin.001	55.0	bin.001	0.113	0.0	0.24	0.56	0.56	NCLDV	7159.0	0.0	33.3	16.7	|full
11673	NODE_11674_length_7298_cov_4.319067	7298	6.73629	6.73629	9.39734	bin.001	54.0							Bacteria?					
11682	NODE_11683_length_7294_cov_4.051941	7294	6.16643	6.16643	5.64593	bin.001	57.0							Bacteria?					
11814	NODE_11815_length_7244_cov_4.690778	7244	7.33888	7.33888	8.08849	bin.001	55.0							Bacteria?					
11830	NODE_11831_length_7240_cov_4.146973	7240	6.3732	6.3732	9.31086	bin.001	53.0							Bacteria?					
11944	NODE_11945_length_7203_cov_8.501539	7203	10.3781	10.3781	20.034	bin.001	56.0							Bacteria?					
12135	NODE_12136_length_7134_cov_4.154683	7134	6.54439	6.54439	6.27241	bin.001	55.0							Bacteria?					
12181	NODE_12182_length_7119_cov_4.933890	7119	7.44267	7.44267	8.88053	bin.001	53.0							Bacteria?					
12287	NODE_12288_length_7081_cov_4.624537	7081	7.23085	7.23085	8.74096	bin.001	54.0	bin.001	0.32	0.013	0.713	0.593	0.713	lavidaviridae	6741.0	0.0	28.6	0.0	|full
12289	NODE_12290_length_7080_cov_6.531673	7080	8.36032	8.36032	11.7743	bin.001	56.0							Bacteria?					
12311	NODE_12312_length_7070_cov_4.945830	7070	7.17616	7.17616	10.3132	bin.001	54.0							Bacteria?					
12368	NODE_12369_length_7044_cov_4.757905	7044	7.25834	7.25834	6.08144	bin.001	55.0							Bacteria?					
12411	NODE_12412_length_7030_cov_5.077563	7030	7.87878	7.87878	10.2404	bin.001	56.0							Bacteria?					
12445	NODE_12446_length_7020_cov_4.173869	7020	6.46681	6.46681	9.88024	bin.001	52.0							Bacteria?					
12488	NODE_12489_length_7005_cov_4.340288	7005	6.79606	6.79606	8.24816	bin.001	55.0							Bacteria?					
12493	NODE_12494_length_7004_cov_4.588862	7004	7.10636	7.10636	6.28128	bin.001	57.0							Bacteria?					
12500	NODE_12501_length_7001_cov_4.381083	7001	6.72369	6.72369	8.0046	bin.001	57.0							Bacteria?					
12577	NODE_12578_length_6975_cov_5.035694	6975	7.59473	7.59473	9.15444	bin.001	51.0							Bacteria?					
12581	NODE_12582_length_6974_cov_4.776124	6974	7.50703	7.50703	8.82682	bin.001	56.0							Bacteria?					
12609	NODE_12610_length_6965_cov_5.785384	6965	8.48877	8.48877	12.3822	bin.001	54.0							Bacteria?					
12701	NODE_12702_length_6935_cov_4.398547	6935	6.8311	6.8311	8.14915	bin.001	57.0							Bacteria?					
12702	NODE_12703_length_6934_cov_4.883559	6934	7.73953	7.73953	8.73606	bin.001	56.0							Bacteria?					
12844	NODE_12845_length_6888_cov_4.530075	6888	7.07465	7.07465	7.94769	bin.001	56.0							Bacteria?					
12863	NODE_12864_length_6883_cov_4.719537	6883	7.29571	7.29571	9.09364	bin.001	56.0							Bacteria?					
12946	NODE_12947_length_6860_cov_5.887436	6860	9.27258	9.27258	8.93726	bin.001	53.0							Bacteria?					
12988	NODE_12989_length_6848_cov_4.690711	6848	7.41415	7.41415	8.18083	bin.001	56.0							Bacteria?					
13007	NODE_13008_length_6843_cov_4.747201	6843	7.14762	7.14762	6.66648	bin.001	55.0							Bacteria?					
13022	NODE_13023_length_6839_cov_4.561468	6839	7.02885	7.02885	7.39857	bin.001	56.0							Bacteria?					
13051	NODE_13052_length_6831_cov_5.418831	6831	8.4646	8.4646	7.27023	bin.001	54.0							Bacteria?					
13066	NODE_13067_length_6826_cov_4.572294	6826	6.9624	6.9624	7.96243	bin.001	54.0							Bacteria?					
13124	NODE_13125_length_6807_cov_5.811908	6807	8.98107	8.98107	12.7346	bin.001	52.0							Bacteria?					
13188	NODE_13189_length_6783_cov_4.953924	6783	7.78411	7.78411	6.01642	bin.001	58.0	bin.001	0.333	0.353	0.567	0.787	0.787	NCLDV	6781.0	0.0	50.0	0.0	|full
13263	NODE_13264_length_6764_cov_5.239231	6764	7.86634	7.86634	8.65224	bin.001	54.0							Bacteria?					
13288	NODE_13289_length_6751_cov_5.057348	6751	7.35298	7.35298	7.22108	bin.001	57.0							Bacteria?					
13308	NODE_13309_length_6746_cov_5.143028	6746	8.11007	8.11007	9.55193	bin.001	55.0							Bacteria?					
13348	NODE_13349_length_6734_cov_5.148974	6734	7.67102	7.67102	6.86363	bin.001	56.0							Bacteria?					
13372	NODE_13373_length_6725_cov_4.880660	6725	7.62601	7.62601	9.09865	bin.001	55.0							Bacteria?					
13481	NODE_13482_length_6695_cov_4.683886	6695	7.37128	7.37128	8.30577	bin.001	55.0							Bacteria?					
13541	NODE_13542_length_6677_cov_4.531108	6677	6.97273	6.97273	11.2995	bin.001	54.0	bin.001	0.193	0.007	0.807	0.567	0.807	lavidaviridae	6676.0	0.0	25.0	0.0	|full
13681	NODE_13682_length_6634_cov_5.284238	6634	8.19556	8.19556	10.3688	bin.001	54.0							Bacteria?					
13769	NODE_13770_length_6616_cov_5.562109	6616	8.76771	8.76771	10.8295	bin.001	56.0							Bacteria?					
13879	NODE_13880_length_6585_cov_4.675804	6585	7.49448	7.49448	10.2142	bin.001	53.0							Bacteria?					
13901	NODE_13902_length_6578_cov_4.626552	6578	7.14888	7.14888	9.78469	bin.001	54.0							Bacteria?					
13911	NODE_13912_length_6575_cov_4.555061	6575	7.07331	7.07331	8.57377	bin.001	57.0							Bacteria?					
14089	NODE_14090_length_6528_cov_5.213193	6528	8.23236	8.23236	11.6545	bin.001	56.0							Bacteria?					
14125	NODE_14126_length_6521_cov_4.416332	6521	6.92372	6.92372	9.05997	bin.001	54.0	bin.001	0.587	0.0	0.233	0.093	0.587	dsDNAphage	6519.0	1.0	14.3	0.0	|full
14174	NODE_14175_length_6509_cov_6.963434	6509	8.61724	8.61724	15.4903	bin.001	55.0							Bacteria?					
14240	NODE_14241_length_6489_cov_4.333230	6489	6.8402	6.8402	6.66951	bin.001	57.0							Bacteria?					
14259	NODE_14260_length_6483_cov_4.560361	6483	7.23307	7.23307	9.42484	bin.001	53.0							Bacteria?					
