	seqname	contigLen	totalAvgDepth	4ffd0a6c-7ea3-4023-b6c1-f92716821c2c.inter.fastq.sam.sorted.bam	4ffd0a6c-7ea3-4023-b6c1-f92716821c2c.inter.fastq.sam.sorted.bam-var	bin	%GC	bin_y	dsDNAphage	ssDNA	lavidaviridae	NCLDV	max_score	max_score_group	length	hallmark	viral	cellular	full-partial
357	NODE_358_length_18005_cov_4.977604	18005	7.33716	7.33716	8.02271	bin.001	54							Bacteria?					
359	NODE_360_length_17984_cov_5.785431	17984	8.59645	8.59645	10.2494	bin.001	60							Bacteria?					
360	NODE_361_length_17943_cov_6.088216	17943	9.04772	9.04772	12.2982	bin.001	61							Bacteria?					
362	NODE_363_length_17931_cov_4.579716	17931	6.69242	6.69242	6.86425	bin.001	60							Bacteria?					
364	NODE_365_length_17874_cov_5.224592	17874	7.85257	7.85257	8.40833	bin.001	59							Bacteria?					
369	NODE_370_length_17797_cov_5.769361	17797	8.55035	8.55035	11.0503	bin.001	58							Bacteria?					
370	NODE_371_length_17769_cov_6.450322	17769	9.35717	9.35717	10.978	bin.001	59							Bacteria?					
372	NODE_373_length_17744_cov_4.740347	17744	7.14209	7.14209	11.8961	bin.001	62							Bacteria?					
373	NODE_374_length_17721_cov_5.165006	17721	7.97951	7.97951	7.46602	bin.001	58							Bacteria?					
375	NODE_376_length_17692_cov_4.500595	17692	6.68789	6.68789	6.51231	bin.001	59							Bacteria?					
376	NODE_377_length_17687_cov_4.462398	17687	6.71546	6.71546	7.66691	bin.001	57	bin.001	0.973	0.0	0.0	0.167	0.973	dsDNAphage	17590.0	2.0	13.8	6.9	|full
377	NODE_378_length_17650_cov_5.971924	17650	8.88491	8.88491	10.9412	bin.001	58							Bacteria?					
378	NODE_379_length_17607_cov_6.063412	17607	8.74469	8.74469	11.3263	bin.001	60							Bacteria?					
379	NODE_380_length_17599_cov_4.069254	17599	6.13032	6.13032	6.24317	bin.001	60							Bacteria?					
380	NODE_381_length_17588_cov_5.603605	17588	8.3872	8.3872	10.0035	bin.001	60							Bacteria?					
381	NODE_382_length_17582_cov_5.648770	17582	7.27243	7.27243	16.2623	bin.001	59							Bacteria?					
384	NODE_385_length_17506_cov_4.305427	17506	6.51342	6.51342	8.49673	bin.001	60							Bacteria?					
385	NODE_386_length_17483_cov_4.609249	17483	6.99769	6.99769	7.91248	bin.001	58							Bacteria?					
386	NODE_387_length_17462_cov_4.750675	17462	7.19859	7.19859	8.75287	bin.001	62							Bacteria?					
388	NODE_389_length_17409_cov_5.697303	17409	8.14132	8.14132	12.2904	bin.001	59							Bacteria?					
389	NODE_390_length_17404_cov_5.381117	17404	8.16628	8.16628	10.9013	bin.001	54	bin.001	1.0	0.313	0.113	0.12	1.0	dsDNAphage	17258.0	1.0	15.2	0.0	|full
392	NODE_393_length_17267_cov_5.066233	17267	7.80662	7.80662	12.599	bin.001	61							Bacteria?					
393	NODE_394_length_17259_cov_6.035457	17259	8.93144	8.93144	11.1627	bin.001	61							Bacteria?					
395	NODE_396_length_17251_cov_3.974180	17251	6.19584	6.19584	7.25407	bin.001	58							Bacteria?					
396	NODE_397_length_17203_cov_5.311523	17203	7.85821	7.85821	11.1099	bin.001	62							Bacteria?					
397	NODE_398_length_17177_cov_5.360414	17177	8.3606	8.3606	12.1532	bin.001	57							Bacteria?					
399	NODE_400_length_17167_cov_5.331288	17167	7.82447	7.82447	10.4596	bin.001	60							Bacteria?					
400	NODE_401_length_17155_cov_4.947018	17155	7.57854	7.57854	9.02898	bin.001	58							Bacteria?					
401	NODE_402_length_17121_cov_5.527306	17121	8.39338	8.39338	10.2328	bin.001	59							Bacteria?					
402	NODE_403_length_17094_cov_5.229180	17094	8.0733	8.0733	10.2877	bin.001	58							Bacteria?					
403	NODE_404_length_17093_cov_5.168095	17093	7.27911	7.27911	8.50955	bin.001	62							Bacteria?					
404	NODE_405_length_17080_cov_4.863436	17080	7.45936	7.45936	7.85471	bin.001	62							Bacteria?					
406	NODE_407_length_17054_cov_4.935467	17054	7.73929	7.73929	6.52152	bin.001	60							Bacteria?					
408	NODE_409_length_17009_cov_6.511207	17009	9.92894	9.92894	11.1141	bin.001	59							Bacteria?					
409	NODE_410_length_16995_cov_5.854959	16995	8.73031	8.73031	12.3776	bin.001	61							Bacteria?					
412	NODE_413_length_16962_cov_5.452002	16962	8.38461	8.38461	9.09752	bin.001	56							Bacteria?					
414	NODE_415_length_16894_cov_6.449077	16894	9.73579	9.73579	14.7329	bin.001	60							Bacteria?					
415	NODE_416_length_16849_cov_4.379243	16849	6.64441	6.64441	7.50645	bin.001	62							Bacteria?					
416	NODE_417_length_16842_cov_3.781736	16842	5.75557	5.75557	6.36219	bin.001	57							Bacteria?					
417	NODE_418_length_16803_cov_4.318844	16803	6.57647	6.57647	8.11552	bin.001	56							Bacteria?					
421	NODE_422_length_16766_cov_4.471246	16766	7.06337	7.06337	9.96978	bin.001	62							Bacteria?					
422	NODE_423_length_16728_cov_5.707491	16728	8.531	8.531	13.1793	bin.001	59							Bacteria?					
425	NODE_426_length_16640_cov_6.014591	16640	8.83954	8.83954	13.8962	bin.001	59							Bacteria?					
427	NODE_428_length_16595_cov_4.925514	16595	7.59964	7.59964	8.14387	bin.001	56							Bacteria?					
430	NODE_431_length_16505_cov_4.399757	16505	6.56827	6.56827	8.12059	bin.001	55							Bacteria?					
431	NODE_432_length_16504_cov_5.526780	16504	7.80298	7.80298	11.705	bin.001	58							Bacteria?					
433	NODE_434_length_16454_cov_5.138423	16454	7.90867	7.90867	8.47289	bin.001	59							Bacteria?					
435	NODE_436_length_16422_cov_4.122136	16422	6.34741	6.34741	8.02382	bin.001	57							Bacteria?					
436	NODE_437_length_16402_cov_3.670765	16402	5.76951	5.76951	6.23717	bin.001	58							Bacteria?					
437	NODE_438_length_16384_cov_4.848613	16384	7.06948	7.06948	9.80652	bin.001	56							Bacteria?					
438	NODE_439_length_16383_cov_5.871325	16383	8.85653	8.85653	12.6229	bin.001	58							Bacteria?					
439	NODE_440_length_16366_cov_3.970388	16366	6.10076	6.10076	6.15075	bin.001	59							Bacteria?					
440	NODE_441_length_16360_cov_5.872186	16360	8.48859	8.48859	10.2981	bin.001	58							Bacteria?					
441	NODE_442_length_16348_cov_4.234150	16348	6.39172	6.39172	9.44782	bin.001	58							Bacteria?					
443	NODE_444_length_16331_cov_6.407533	16331	9.70991	9.70991	11.0024	bin.001	58							Bacteria?					
444	NODE_445_length_16305_cov_6.289354	16305	9.26902	9.26902	12.4619	bin.001	56							Bacteria?					
448	NODE_449_length_16266_cov_5.856085	16266	8.84767	8.84767	8.79394	bin.001	55							Bacteria?					
450	NODE_451_length_16249_cov_5.749043	16249	8.54041	8.54041	9.92445	bin.001	60							Bacteria?					
452	NODE_453_length_16222_cov_5.346570	16222	7.96385	7.96385	8.80969	bin.001	59							Bacteria?					
453	NODE_454_length_16214_cov_5.099325	16214	7.68389	7.68389	9.89925	bin.001	55							Bacteria?					
454	NODE_455_length_16209_cov_4.126532	16209	6.50072	6.50072	5.65059	bin.001	61							Bacteria?					
456	NODE_457_length_16174_cov_4.562752	16174	7.32589	7.32589	8.56566	bin.001	62							Bacteria?					
458	NODE_459_length_16164_cov_5.672481	16164	8.37686	8.37686	9.37006	bin.001	59							Bacteria?					
459	NODE_460_length_16118_cov_3.992405	16118	5.92153	5.92153	6.49457	bin.001	61							Bacteria?					
460	NODE_461_length_16110_cov_4.391965	16110	6.69279	6.69279	8.56506	bin.001	61							Bacteria?					
461	NODE_462_length_16105_cov_3.926293	16105	5.93131	5.93131	7.15214	bin.001	60							Bacteria?					
464	NODE_465_length_16063_cov_5.706209	16063	8.36618	8.36618	10.4665	bin.001	58							Bacteria?					
466	NODE_467_length_16036_cov_4.072774	16036	6.06396	6.06396	8.1702	bin.001	59							Bacteria?					
467	NODE_468_length_16027_cov_4.628600	16027	6.9646	6.9646	10.8349	bin.001	61							Bacteria?					
468	NODE_469_length_16021_cov_4.882626	16021	7.55857	7.55857	8.76318	bin.001	56							Bacteria?					
469	NODE_470_length_16001_cov_5.912894	16001	8.43789	8.43789	11.0594	bin.001	60							Bacteria?					
470	NODE_471_length_16000_cov_6.414174	16000	9.72991	9.72991	13.8694	bin.001	56							Bacteria?					
471	NODE_472_length_15992_cov_6.244023	15992	9.09772	9.09772	13.0131	bin.001	61							Bacteria?					
472	NODE_473_length_15989_cov_4.336513	15989	6.53362	6.53362	6.2517	bin.001	56							Bacteria?					
473	NODE_474_length_15978_cov_5.651259	15978	8.2675	8.2675	10.6951	bin.001	59							Bacteria?					
474	NODE_475_length_15972_cov_6.329019	15972	9.40911	9.40911	14.537	bin.001	58							Bacteria?					
475	NODE_476_length_15963_cov_5.680161	15963	8.28179	8.28179	10.5911	bin.001	58							Bacteria?					
477	NODE_478_length_15954_cov_4.404931	15954	6.57378	6.57378	7.6622	bin.001	61							Bacteria?					
479	NODE_480_length_15934_cov_5.194345	15934	7.89831	7.89831	10.0608	bin.001	60							Bacteria?					
480	NODE_481_length_15926_cov_4.864029	15926	7.40137	7.40137	8.1176	bin.001	58							Bacteria?					
481	NODE_482_length_15921_cov_5.289676	15921	7.64752	7.64752	11.3658	bin.001	56							Bacteria?					
482	NODE_483_length_15913_cov_6.172783	15913	9.25496	9.25496	11.4306	bin.001	58							Bacteria?					
